tar_member_name	extracted_absolute_path	member_size_bytes	geo_accession	sample_stem	file_role	matrix_format	extraction_verified
GSM6213956_Colon_MGI_111_v2_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213956_Colon_MGI_111_v2_barcodes.tsv.gz	9447	GSM6213956	GSM6213956_Colon_MGI_111_v2	barcodes	TSV gzip	TRUE
GSM6213956_Colon_MGI_111_v2_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213956_Colon_MGI_111_v2_features.tsv.gz	304728	GSM6213956	GSM6213956_Colon_MGI_111_v2	features	TSV gzip	TRUE
GSM6213956_Colon_MGI_111_v2_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213956_Colon_MGI_111_v2_matrix.mtx.gz	9701771	GSM6213956	GSM6213956_Colon_MGI_111_v2	matrix	Matrix Market MTX gzip	TRUE
GSM6213957_Colon_MGI_112_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213957_Colon_MGI_112_v3_barcodes.tsv.gz	34124	GSM6213957	GSM6213957_Colon_MGI_112_v3	barcodes	TSV gzip	TRUE
GSM6213957_Colon_MGI_112_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213957_Colon_MGI_112_v3_features.tsv.gz	304728	GSM6213957	GSM6213957_Colon_MGI_112_v3	features	TSV gzip	TRUE
GSM6213957_Colon_MGI_112_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213957_Colon_MGI_112_v3_matrix.mtx.gz	26238703	GSM6213957	GSM6213957_Colon_MGI_112_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213958_Colon_MGI_121_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213958_Colon_MGI_121_v3_barcodes.tsv.gz	38898	GSM6213958	GSM6213958_Colon_MGI_121_v3	barcodes	TSV gzip	TRUE
GSM6213958_Colon_MGI_121_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213958_Colon_MGI_121_v3_features.tsv.gz	304728	GSM6213958	GSM6213958_Colon_MGI_121_v3	features	TSV gzip	TRUE
GSM6213958_Colon_MGI_121_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213958_Colon_MGI_121_v3_matrix.mtx.gz	45497586	GSM6213958	GSM6213958_Colon_MGI_121_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213959_Colon_MGI_122_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213959_Colon_MGI_122_v3_barcodes.tsv.gz	39992	GSM6213959	GSM6213959_Colon_MGI_122_v3	barcodes	TSV gzip	TRUE
GSM6213959_Colon_MGI_122_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213959_Colon_MGI_122_v3_features.tsv.gz	304728	GSM6213959	GSM6213959_Colon_MGI_122_v3	features	TSV gzip	TRUE
GSM6213959_Colon_MGI_122_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213959_Colon_MGI_122_v3_matrix.mtx.gz	43848745	GSM6213959	GSM6213959_Colon_MGI_122_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213960_Colon_MGI_141_v2_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213960_Colon_MGI_141_v2_barcodes.tsv.gz	40125	GSM6213960	GSM6213960_Colon_MGI_141_v2	barcodes	TSV gzip	TRUE
GSM6213960_Colon_MGI_141_v2_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213960_Colon_MGI_141_v2_features.tsv.gz	304728	GSM6213960	GSM6213960_Colon_MGI_141_v2	features	TSV gzip	TRUE
GSM6213960_Colon_MGI_141_v2_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213960_Colon_MGI_141_v2_matrix.mtx.gz	36959639	GSM6213960	GSM6213960_Colon_MGI_141_v2	matrix	Matrix Market MTX gzip	TRUE
GSM6213961_Colon_MGI_151_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213961_Colon_MGI_151_v3_barcodes.tsv.gz	77796	GSM6213961	GSM6213961_Colon_MGI_151_v3	barcodes	TSV gzip	TRUE
GSM6213961_Colon_MGI_151_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213961_Colon_MGI_151_v3_features.tsv.gz	304728	GSM6213961	GSM6213961_Colon_MGI_151_v3	features	TSV gzip	TRUE
GSM6213961_Colon_MGI_151_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213961_Colon_MGI_151_v3_matrix.mtx.gz	80309473	GSM6213961	GSM6213961_Colon_MGI_151_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213962_Colon_MGI_152_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213962_Colon_MGI_152_v3_barcodes.tsv.gz	80629	GSM6213962	GSM6213962_Colon_MGI_152_v3	barcodes	TSV gzip	TRUE
GSM6213962_Colon_MGI_152_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213962_Colon_MGI_152_v3_features.tsv.gz	304728	GSM6213962	GSM6213962_Colon_MGI_152_v3	features	TSV gzip	TRUE
GSM6213962_Colon_MGI_152_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213962_Colon_MGI_152_v3_matrix.mtx.gz	74055584	GSM6213962	GSM6213962_Colon_MGI_152_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213963_Colon_171_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213963_Colon_171_v3_barcodes.tsv.gz	44378	GSM6213963	GSM6213963_Colon_171_v3	barcodes	TSV gzip	TRUE
GSM6213963_Colon_171_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213963_Colon_171_v3_features.tsv.gz	304728	GSM6213963	GSM6213963_Colon_171_v3	features	TSV gzip	TRUE
GSM6213963_Colon_171_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213963_Colon_171_v3_matrix.mtx.gz	14903872	GSM6213963	GSM6213963_Colon_171_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213964_Colon_172_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213964_Colon_172_v3_barcodes.tsv.gz	50507	GSM6213964	GSM6213964_Colon_172_v3	barcodes	TSV gzip	TRUE
GSM6213964_Colon_172_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213964_Colon_172_v3_features.tsv.gz	304728	GSM6213964	GSM6213964_Colon_172_v3	features	TSV gzip	TRUE
GSM6213964_Colon_172_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213964_Colon_172_v3_matrix.mtx.gz	25897243	GSM6213964	GSM6213964_Colon_172_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213965_Colon_181_v2_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213965_Colon_181_v2_barcodes.tsv.gz	38186	GSM6213965	GSM6213965_Colon_181_v2	barcodes	TSV gzip	TRUE
GSM6213965_Colon_181_v2_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213965_Colon_181_v2_features.tsv.gz	304728	GSM6213965	GSM6213965_Colon_181_v2	features	TSV gzip	TRUE
GSM6213965_Colon_181_v2_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213965_Colon_181_v2_matrix.mtx.gz	47489789	GSM6213965	GSM6213965_Colon_181_v2	matrix	Matrix Market MTX gzip	TRUE
GSM6213966_Colon_182_v2_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213966_Colon_182_v2_barcodes.tsv.gz	34027	GSM6213966	GSM6213966_Colon_182_v2	barcodes	TSV gzip	TRUE
GSM6213966_Colon_182_v2_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213966_Colon_182_v2_features.tsv.gz	304728	GSM6213966	GSM6213966_Colon_182_v2	features	TSV gzip	TRUE
GSM6213966_Colon_182_v2_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213966_Colon_182_v2_matrix.mtx.gz	20198771	GSM6213966	GSM6213966_Colon_182_v2	matrix	Matrix Market MTX gzip	TRUE
GSM6213967_Colon_MGI_191_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213967_Colon_MGI_191_v3_barcodes.tsv.gz	44667	GSM6213967	GSM6213967_Colon_MGI_191_v3	barcodes	TSV gzip	TRUE
GSM6213967_Colon_MGI_191_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213967_Colon_MGI_191_v3_features.tsv.gz	304728	GSM6213967	GSM6213967_Colon_MGI_191_v3	features	TSV gzip	TRUE
