cluster_harmony_r0_5	cells	maximum_sample	maximum_sample_fraction	maximum_patient	maximum_patient_fraction	dominant_broad_label	dominant_broad_fraction	median_nFeature_RNA	median_nCount_RNA	median_pct_mt	median_pct_ribo	median_pct_hb	median_local_linearity	evidence_labels	action	top50_markers
9	75	GSM5709996	0.2	DSF03	0.266666666666667	Mast_cells	1	1767	32070	5.62697576396207	9.91556186868687	0	6.86069745157259	geometry_only_review	retain cells and request review; no automatic rename or deletion	CPA3;TPSB2;TPSAB1;MS4A2;GATA2;VWA5A;KIT;SLC18A2;VIM;FOSB;CLU;HDC;HPGDS;LMO4;TPSD1;CD9;NR4A1;SIGLEC6;EEF1A1;ANXA1;ACSL4;UBB;LTC4S;RGS1;RHEX;PTMA;LAPTM4A;RPL34;HSP90AB1;CD63;PTGS1;RPL37A;CAPG;MT-ND4;ARHGEF6;MT-ND2;EEF1A1P5;IL1RL1;EEF1A1P6;AHNAK;FOXP1;PALM2AKAP2;NR4A2;BMP2K;MT-ND5;SLC45A3;GCSAML;CTSD;AC011295.1;BHLHE40
12	34	GSM5709979	0.382352941176471	DSF01	0.441176470588235	Endothelial_like	1	2044	27075.5	13.0590013917264	6.80575516596261	0	5.67114468399854	geometry_only_review	retain cells and request review; no automatic rename or deletion	PLVAP;SPARCL1;IGFBP7;A2M;GNG11;SPARC;PECAM1;VWF;IGFBP4;ENG;HSPG2;MGP;CAVIN1;TGFBR2;EPAS1;GSN;ID1;CAV1;CRIP2;FLT1;APP;IFI27;COL4A1;SPTBN1;ID3;RNASE1;PRSS23;CD34;ESAM;CD59;RAMP2;TM4SF1;PTPRB;EGFL7;ITGA6;AQP1;COL15A1;CD93;SOX18;TIMP3;ADGRL4;NFIB;PLPP3;COL4A2;CLEC14A;CDH5;STOM;EMCN;SLCO2A1;SLC9A3R2
6	31	GSM5709996	0.258064516129032	DSF12	0.32258064516129	Macrophages	1	2612	34261	7.31427478726456	10.8020523899541	0	5.36145248864761	geometry_only_review	retain cells and request review; no automatic rename or deletion	C1QB;CD74;C1QA;C1QC;HLA-DRA;CTSB;HLA-DRB1;HLA-DPA1;HLA-DRB3;HLA-DPB1;HLA-DQA1;APOE;AL662796.1;PSAP;HLA-DQB1;CST3;FTL;CTSD;LGMN;NPC2;GPX1;MS4A6A;CTSC;SELENOP;HLA-DMA;MS4A7;HLA-DMB;CTSZ;TMSB4X;CTSL;IFI30;CD68;AC007192.1;SLC40A1;GRN;CYBB;APOC1;TMEM176B;AIF1;TGFBI;FCGRT;CSF1R;CREG1;FCGR3A;FCER1G;MPEG1;LIPA;PLD3;SLCO2B1;TMSB10
7	58	GSM5709988	0.275862068965517	DSF06	0.344827586206897	Monocytes	1	3196.5	59194	4.42967262980967	7.68716113622732	0	6.56583728215773	geometry_only_review	retain cells and request review; no automatic rename or deletion	TIMP1;HLA-DRA;LYZ;CXCL2;AL662796.1;CTSB;IFI30;AC007192.1;FCER1G;ANXA5;HLA-DRB1;PSAP;SERPINB9;CD74;IL1B;HLA-DRB3;EREG;CXCL3;CCL3;VCAN;FCN1;VIM;CTSL;HLA-DPA1;CDKN1A;CST3;CTSS;CD300E;HLA-DQB1;PLAUR;TYROBP;C15orf48;CD83;CD44;S100A10;LGALS1;AIF1;HLA-DPB1;NINJ1;KYNU;CYBB;CD68;ATP1B3;KLF4;GSTO1;EMP3;PKM;SERPINA1;IER3;OLR1
5	54	GSM5709981	0.296296296296296	DSF02	0.314814814814815	Epithelial_like	1	1609.5	11257.5	11.3088924246442	10.8204456129218	0	5.36954608680442	geometry_only_review	retain cells and request review; no automatic rename or deletion	AGR2;KRT8;SPINK1;KRT18;LYZ;EPCAM;CD24;KRT19;TSPAN8;FXYD3;PIGR;PGC;MUC1;S100P;CST3;MT-ND3;ELF3;GOLM1;S100A6;CLDN4;MT-CO3;CYSTM1;TFF2;TFF1;LGALS4;GSTP1;MT-CO2;GPX2;SMIM22;LCN2;MTCO1P12;RPS3;RPL36;RPL37A;RPL8;C19orf33;REG1A;IFI27;RPL13;RPS21;MUC6;NQO1;CLDN18;ATP1B1;MT-CO1;RPS12;RPL41;TFF3;KLF5;TSPAN1
10	57	GSM5709984	0.263157894736842	DSF03	0.333333333333333	Stromal_perivascular_like	1	2212	26221	8.89845898407098	7.10627511165526	0	5.3910229452293	geometry_only_review	retain cells and request review; no automatic rename or deletion	IGFBP7;COL3A1;COL1A2;CALD1;SPARC;A2M;COL1A1;COL6A1;C1S;C1R;COL6A2;SERPING1;COL4A2;FSTL1;ITGB1;MYL9;SPARCL1;MYLK;LGALS1;NID1;COL5A2;DCN;DKK3;C11orf96;LHFPL6;TPM1;TPM2;COL4A1;COL18A1;CAVIN1;TIMP2;MFGE8;IGFBP4;SERPINH1;LAMA4;BGN;RGS5;ID3;AEBP1;LAMC1;VIM;CCN1;APP;FILIP1L;PDGFRB;TAGLN;CNN3;COL6A3;LAMB1;RARRES2
15	35	GSM5709988	0.342857142857143	DSF06	0.428571428571429	Epithelial_like	1	2819	53530	8.24742268041237	9.18908494841385	0	5.64197097338275	geometry_only_review	retain cells and request review; no automatic rename or deletion	EPCAM;KRT8;MDK;KRT18;PCSK1N;CST3;PERP;DSP;RBP1;CAMK2N1;TMEM176A;TMEM176B;MIF;GPX2;LGALS3BP;AZGP1;CLDN4;PEBP1;CANX;CD24;ASPSCR1;SEC11C;DNAJC15;SERPINA1;GTF2I;LAMP1;RPLP0;P4HB;ASS1;ATP1B1;PRAP1;GABBR1;CLU;AKR1C3;PTMS;GTF2IP1;ZNF511-PRAP1;DSTN;COX6C;APP;UBD;MDH2;IFI6;CHCHD2;MT-ND4;GPX3;CYSTM1;SNHG29;KRT19;KDELR1
14	39	GSM5709991	0.17948717948718	DSF10	0.230769230769231	Unresolved	1	1349	10008	5.90470622624964	5.75432831428712	0	5.22030879971909	geometry_only_review	retain cells and request review; no automatic rename or deletion	MALAT1;LINC00632;AL162581.1;RN7SK;MIR663AHG;Metazoa;XACT;ANKRD30BL;FAM153CP;MT-RNR2;KLF15;KCNQ1OT1;OLMALINC;NEAT1;AL022322.2;PCSK7;SLC35E3;ORAI2;CACNA1A;MOG;HELLPAR;IGHG1;USP8;CHST12;NPIPB5;IGKC;IGHG3;IGHG4;Z82195.3;LINC01551;AL360020.1;JUN;MT-RNR1;AC087473.1;PIGN;MT-ND4;ACSL6;AC092445.1;GABPB1-AS1;Z95114.1;AC005005.4;CCL5;MKLN1-AS;RPAP2;AGO3;MUC20-OT1;FBLIM1;GPSM2;MT-ND2;TSC2
1	17	GSM5710000	0.294117647058824	DSF13	0.294117647058824	T_cells	1	819	6706	5.78297309219233	13.5196737044146	0	8.60043103620175	geometry_only_review	retain cells and request review; no automatic rename or deletion	EEF1A1;RPS27;RPL13A;RPLP1;RPLP2;TRBC2;PTMA;RPL23A;RPS12;RPL30;RPL28;RPS27A;RPL13;RPS19;RPS15A;RPS29;RPS6;TMSB4X;BTG1;RPL41;RPS25;RPS20;RPL10;RPS2;RPS18;MT-CO1;CXCR4;RPS11;EEF1A1P5;TRAC;RPS23;MT-ND4;EEF1A1P6;RPS3A;RPS14;RPL9;MT-ND5;RPL3;RPS3;RPL19;CD52;RPL32;SPOCK2;RPS16;MT-ND2;RPS8;RPL27A;RPL31;RPL41P2;RPSA
2	16	GSM5709988	0.25	DSF06	0.3125	CD8_T_NK	1	2165.5	18436	5.96048022370369	12.6610422837151	0	6.42885476330687	geometry_only_review	retain cells and request review; no automatic rename or deletion	CCL5;NKG7;GZMB;TRBC2;IL32;GZMA;RPS27;PTMA;TMSB4X;RPL23A;CALM1;RPS15A;TRBC1;CD3E;RPS19;RPS27A;ARL4C;ZFP36L2;RPLP1;RPL13A;RPLP2;RUNX3;CD2;RPS29;RPS12;RPL28;CD3D;CST7;CD52;RPL30;ETS1;HSPA8;RPS25;TRAC;BTG1;RPS20;RPL10;EEF1A1;RPS3;HNRNPA1;RPL27A;CD7;RPL41;IL2RB;RPS7;RPL31;RPS3A;RPSA;FYN;RPS2
