resolution	cluster	strongest_marker_program	strongest_overlap_count	strongest_overlap_genes	second_marker_program	second_overlap_count	second_overlap_genes	broad_marker_conflict_review	conflict_rule
0.2	0	Granulocyte	4	CSF3R;S100A9;S100A8;FCGR3B	Inflammatory_myeloid	2	S100A9;S100A8	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.2	1	T_cell	2	TRAC;CD3E	CD8_T_NK	1	CCL5	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.2	10	Dendritic	2	LAMP3;FSCN1	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.2	11	CD8_T_NK	1	CCL5	Dendritic	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.2	12	Plasma	3	JCHAIN;MZB1;XBP1	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.2	13	Plasma	2	JCHAIN;MZB1	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.2	14	CD8_T_NK	0		Dendritic	0		TRUE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.2	2	Macrophage	3	C1QB;C1QA;C1QC	Inflammatory_myeloid	1	LYZ	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.2	3	Epithelial	4	KRT8;KRT18;EPCAM;KRT19	Inflammatory_myeloid	1	LYZ	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.2	4	Plasma	3	JCHAIN;MZB1;XBP1	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.2	5	Plasma	3	JCHAIN;MZB1;XBP1	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.2	6	Mast	4	TPSAB1;TPSB2;CPA3;KIT	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.2	7	Stromal_perivascular	4	COL3A1;COL1A2;COL1A1;RGS5	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.2	8	Epithelial	1	KRT19	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.2	9	Endothelial	4	PLVAP;PECAM1;VWF;EMCN	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.3	0	Granulocyte	4	S100A9;S100A8;CSF3R;FCGR3B	Inflammatory_myeloid	2	S100A9;S100A8	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.3	1	T_cell	1	TRAC	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.3	10	Stromal_perivascular	4	COL3A1;COL1A2;COL1A1;RGS5	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.3	11	Epithelial	1	KRT19	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.3	12	Endothelial	4	PLVAP;PECAM1;VWF;EMCN	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.3	13	Dendritic	2	LAMP3;FSCN1	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.3	14	CD8_T_NK	1	CCL5	Dendritic	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.3	15	Plasma	3	JCHAIN;MZB1;XBP1	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.3	16	Plasma	2	JCHAIN;MZB1	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.3	17	CD8_T_NK	0		Dendritic	0		TRUE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.3	2	CD8_T_NK	3	CCL5;NKG7;CD3D	T_cell	3	CD3E;CD3D;TRAC	TRUE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.3	3	Epithelial	4	KRT8;KRT18;EPCAM;KRT19	Inflammatory_myeloid	1	LYZ	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.3	4	Granulocyte	2	CSF3R;S100A9	Inflammatory_myeloid	1	S100A9	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.3	5	Plasma	3	JCHAIN;MZB1;XBP1	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.3	6	Macrophage	4	C1QB;C1QA;C1QC;APOE	Inflammatory_myeloid	1	FCGR3A	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.3	7	Monocyte	2	LYZ;FCN1	Inflammatory_myeloid	1	LYZ	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.3	8	Plasma	3	JCHAIN;MZB1;XBP1	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.3	9	Mast	4	CPA3;TPSB2;TPSAB1;KIT	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.4	0	Granulocyte	4	S100A9;S100A8;CSF3R;FCGR3B	Inflammatory_myeloid	2	S100A9;S100A8	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.4	1	T_cell	1	TRAC	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.4	10	Stromal_perivascular	4	COL3A1;COL1A2;COL1A1;RGS5	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.4	11	Epithelial	1	KRT19	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.4	12	Endothelial	4	PLVAP;PECAM1;VWF;EMCN	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.4	13	Dendritic	2	LAMP3;FSCN1	T_cell	1	CCR7	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.4	14	CD8_T_NK	1	CCL5	Dendritic	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.4	15	Epithelial	4	EPCAM;KRT8;KRT18;KRT19	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.4	16	Plasma	3	JCHAIN;MZB1;XBP1	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.4	17	Plasma	2	JCHAIN;MZB1	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.4	18	CD8_T_NK	0		Dendritic	0		TRUE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.4	2	CD8_T_NK	3	CCL5;NKG7;CD3D	T_cell	3	CD3E;CD3D;TRAC	TRUE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.4	3	Granulocyte	2	CSF3R;S100A9	Inflammatory_myeloid	1	S100A9	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.4	4	Plasma	3	JCHAIN;MZB1;XBP1	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.4	5	Epithelial	4	KRT8;KRT18;EPCAM;KRT19	Inflammatory_myeloid	1	LYZ	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.4	6	Macrophage	4	C1QB;C1QA;C1QC;APOE	Inflammatory_myeloid	1	FCGR3A	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.4	7	Monocyte	2	LYZ;FCN1	Inflammatory_myeloid	1	LYZ	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.4	8	Plasma	3	JCHAIN;MZB1;XBP1	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.4	9	Mast	4	CPA3;TPSB2;TPSAB1;KIT	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.5	0	Granulocyte	4	S100A9;S100A8;CSF3R;FCGR3B	Inflammatory_myeloid	2	S100A9;S100A8	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.5	1	T_cell	1	TRAC	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.5	10	Stromal_perivascular	4	COL3A1;COL1A2;COL1A1;RGS5	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.5	11	Epithelial	1	KRT19	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.5	12	Endothelial	4	PLVAP;PECAM1;VWF;EMCN	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.5	13	Dendritic	2	LAMP3;FSCN1	T_cell	1	CCR7	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.5	14	CD8_T_NK	1	CCL5	Dendritic	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.5	15	Epithelial	4	EPCAM;KRT8;KRT18;KRT19	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.5	16	CD8_T_NK	0		Dendritic	0		TRUE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.5	17	Plasma	3	JCHAIN;MZB1;XBP1	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.5	18	Plasma	2	JCHAIN;MZB1	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.5	2	CD8_T_NK	3	CCL5;NKG7;CD3D	T_cell	3	CD3E;CD3D;TRAC	TRUE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.5	3	Plasma	3	JCHAIN;MZB1;XBP1	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.5	4	Granulocyte	2	CSF3R;S100A9	Inflammatory_myeloid	1	S100A9	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.5	5	Epithelial	4	KRT8;KRT18;EPCAM;KRT19	Inflammatory_myeloid	1	LYZ	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.5	6	Macrophage	4	C1QB;C1QA;C1QC;APOE	Inflammatory_myeloid	1	FCGR3A	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.5	7	Monocyte	2	LYZ;FCN1	Inflammatory_myeloid	1	LYZ	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.5	8	Plasma	3	JCHAIN;MZB1;XBP1	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.5	9	Mast	4	CPA3;TPSB2;TPSAB1;KIT	CD8_T_NK	0		FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
0.6	0	Granulocyte	4	S100A9;S100A8;CSF3R;FCGR3B	Inflammatory_myeloid	2	S100A9;S100A8	FALSE	review if no canonical overlap or second program has >=2 overlaps and >=75% of strongest overlap; review flag only, no cell deletion
