cluster	cells	resolution
0	25796	0.2
1	21236	0.2
2	10250	0.2
3	6880	0.2
4	6538	0.2
5	4424	0.2
6	3250	0.2
7	2943	0.2
8	2577	0.2
9	2214	0.2
10	1843	0.2
11	1307	0.2
12	192	0.2
13	81	0.2
14	56	0.2
0	18684	0.3
1	13263	0.3
2	8480	0.3
3	6888	0.3
4	6589	0.3
5	6495	0.3
6	5327	0.3
7	4968	0.3
8	4420	0.3
9	3187	0.3
10	2943	0.3
11	2581	0.3
12	2214	0.3
13	1887	0.3
14	1332	0.3
15	192	0.3
16	81	0.3
17	56	0.3
0	18408	0.4
1	13495	0.4
2	8254	0.4
3	6758	0.4
4	6695	0.4
5	6603	0.4
6	5422	0.4
7	4922	0.4
8	4420	0.4
9	3187	0.4
10	2943	0.4
11	2581	0.4
12	2214	0.4
13	1681	0.4
14	1383	0.4
15	292	0.4
16	192	0.4
17	81	0.4
18	56	0.4
0	17878	0.5
1	13911	0.5
2	8367	0.5
3	6666	0.5
4	6657	0.5
5	6604	0.5
6	5352	0.5
7	4945	0.5
8	4407	0.5
9	3187	0.5
10	2919	0.5
11	2603	0.5
12	2214	0.5
13	1679	0.5
14	1434	0.5
15	292	0.5
16	198	0.5
17	193	0.5
18	81	0.5
0	17592	0.6
1	12864	0.6
2	7945	0.6
3	6692	0.6
4	6599	0.6
5	6253	0.6
6	5368	0.6
7	4859	0.6
8	4407	0.6
9	3254	0.6
10	2454	0.6
11	2214	0.6
12	2130	0.6
13	1904	0.6
14	1527	0.6
15	1415	0.6
16	845	0.6
17	789	0.6
18	293	0.6
19	127	0.6
20	56	0.6
0	11620	0.8
1	10421	0.8
2	8548	0.8
3	7415	0.8
4	6319	0.8
5	5441	0.8
6	5374	0.8
7	4865	0.8
8	4537	0.8
9	4407	0.8
10	3187	0.8
11	2454	0.8
12	2243	0.8
13	2214	0.8
14	2087	0.8
15	2003	0.8
16	1709	0.8
17	1519	0.8
18	1424	0.8
19	812	0.8
20	318	0.8
21	293	0.8
22	194	0.8
23	127	0.8
24	56	0.8
0	10650	1.0
1	9885	1.0
2	8110	1.0
3	7642	1.0
4	7183	1.0
5	5395	1.0
6	4896	1.0
7	4532	1.0
8	4437	1.0
9	4424	1.0
10	3254	1.0
11	2459	1.0
12	2214	1.0
13	2202	1.0
14	2040	1.0
15	1824	1.0
16	1562	1.0
17	1527	1.0
18	1415	1.0
19	1297	1.0
20	823	1.0
21	340	1.0
22	306	1.0
23	293	1.0
24	253	1.0
25	214	1.0
26	202	1.0
27	127	1.0
28	81	1.0
