cluster	cells	samples	patients	max_sample	max_sample_cells	max_patient	max_patient_cells	resolution	max_sample_fraction	max_patient_fraction
0	25796	22	12	GSM5709989	2733	DSF07	4515	0.2	0.105946658396651	0.175027135990076
1	21236	22	12	GSM5709988	2935	DSF06	4493	0.2	0.138208702203805	0.211574684498022
2	10250	22	12	GSM5709988	1212	DSF06	2088	0.2	0.118243902439024	0.203707317073171
3	6880	22	12	GSM5709997	1767	DSF12	2300	0.2	0.256831395348837	0.334302325581395
4	6538	22	12	GSM5709999	1501	DSF06	1518	0.2	0.22958091159376	0.232181095136127
5	4424	20	11	GSM5709999	1074	DSF13	1074	0.2	0.242766726943942	0.242766726943942
6	3250	22	12	GSM5709993	465	DSF12	730	0.2	0.143076923076923	0.224615384615385
7	2943	22	12	GSM5709983	372	DSF03	672	0.2	0.126401630988787	0.228338430173293
8	2577	7	6	GSM5710000	2483	DSF13	2488	0.2	0.963523476911137	0.96546371750097
9	2214	21	12	GSM5709979	552	DSF01	740	0.2	0.249322493224932	0.33423667570009
10	1843	22	12	GSM5709990	359	DSF06	458	0.2	0.194791101465003	0.248507867607162
11	1307	22	12	GSM5709993	194	DSF10	267	0.2	0.148431522570773	0.204284621270084
12	192	1	1	GSM5709999	192	DSF13	192	0.2	1	1
13	81	2	2	GSM5709999	80	DSF13	80	0.2	0.987654320987654	0.987654320987654
14	56	2	1	GSM5709988	45	DSF06	56	0.2	0.803571428571429	1
0	18684	22	12	GSM5709995	1879	DSF07	3245	0.3	0.100567330336116	0.173678013273389
1	13263	22	12	GSM5709988	1687	DSF06	2535	0.3	0.127195958682048	0.191133227776521
2	8480	22	12	GSM5709988	1243	DSF06	1967	0.3	0.146580188679245	0.231957547169811
3	6888	22	12	GSM5709997	1766	DSF12	2299	0.3	0.256387921022067	0.33376887340302
4	6589	22	12	GSM5709989	817	DSF06	1335	0.3	0.12399453634846	0.202610411291547
5	6495	22	12	GSM5709999	1493	DSF06	1502	0.3	0.229869130100077	0.23125481139338
6	5327	22	12	GSM5709996	909	DSF12	1309	0.3	0.170640135160503	0.245729303547963
7	4968	22	12	GSM5709981	610	DSF06	1027	0.3	0.122785829307568	0.206723027375201
8	4420	20	11	GSM5709999	1074	DSF13	1074	0.3	0.242986425339367	0.242986425339367
9	3187	22	12	GSM5709993	461	DSF12	723	0.3	0.144650141198619	0.226859115155319
10	2943	22	12	GSM5709983	372	DSF03	672	0.3	0.126401630988787	0.228338430173293
11	2581	7	6	GSM5710000	2487	DSF13	2492	0.3	0.963580007748934	0.96551724137931
12	2214	21	12	GSM5709979	552	DSF01	740	0.3	0.249322493224932	0.33423667570009
13	1887	22	12	GSM5709990	363	DSF06	469	0.3	0.192368839427663	0.248542660307366
14	1332	22	12	GSM5709993	197	DSF10	271	0.3	0.147897897897898	0.203453453453453
15	192	1	1	GSM5709999	192	DSF13	192	0.3	1	1
16	81	2	2	GSM5709999	80	DSF13	80	0.3	0.987654320987654	0.987654320987654
17	56	2	1	GSM5709988	45	DSF06	56	0.3	0.803571428571429	1
0	18408	22	12	GSM5709995	1866	DSF07	3238	0.4	0.101368970013038	0.175901781833985
1	13495	22	12	GSM5709988	1733	DSF06	2600	0.4	0.128417932567618	0.192663949610967
2	8254	22	12	GSM5709988	1233	DSF06	1937	0.4	0.149382117761086	0.234674097407318
