gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	resolution	positive_direction	passes_primary_filter	rank
NAMPT	0	3.66457762744524	2.71141525013857	1513007332.5	0.919452407294494	0	0	95.793921538223	54.0656205420827	0.2	TRUE	TRUE	1
CXCL8	0	5.37650667666504	4.0626266496387	1509960450	0.91760082112621	0	0	96.8405954411537	58.4094935022182	0.2	TRUE	TRUE	2
IFITM2	0	3.95082686435303	2.69150320655552	1489277312.5	0.905031707840186	0	0	95.2899674368119	67.6521766393378	0.2	TRUE	TRUE	3
NAMPTP1	0	2.68696984837912	2.12615980385314	1487391092	0.903885454321013	0	0	92.5104667390293	42.753679986205	0.2	TRUE	TRUE	4
FTH1	0	5.46071941230458	2.34055673477575	1479527435.5	0.89910672143337	0	0	99.5580710187626	93.2388581461335	0.2	TRUE	TRUE	5
SOD2	0	3.83525342482905	2.7646286850978	1477526392	0.89789069014016	0	0	95.6776244378974	57.7824457995642	0.2	TRUE	TRUE	6
CSF3R	0	2.80823618756447	2.4859272004441	1477254086	0.89772521017067	0	0	88.3005117072415	23.5048831339844	0.2	TRUE	TRUE	7
G0S2	0	3.54263431116638	3.0248917841729	1474137491	0.895831259815137	0	0	89.537137540704	30.1939145020457	0.2	TRUE	TRUE	8
S100A9	0	4.32743778126603	3.28449151828362	1458380396	0.886255695560747	0	0	93.770351992557	44.9295355144143	0.2	TRUE	TRUE	9
HCAR2	0	3.33239481289426	2.91317276701771	1440524919.5	0.875404947848779	0	0	84.34641029617	25.9033405966359	0.2	TRUE	TRUE	10
RPS27	1	2.9629447646699	1.3150526149531	1132353995	0.780125775190546	0	0	92.1359954793746	73.7414229491888	0.2	TRUE	TRUE	1
PTMA	1	3.08939096280018	1.35059071304645	1119956091.5	0.771584343693521	0	0	91.7922395931437	70.9879884712733	0.2	TRUE	TRUE	2
TRBC2	1	1.70821224366395	1.44690577062601	1117104095	0.769619484656305	0	0	66.3778489357695	20.712206112566	0.2	TRUE	TRUE	3
RPL23A	1	2.6108326434815	1.25982881023735	1107342126	0.762894058096114	0	0	87.8979092107742	62.752556656084	0.2	TRUE	TRUE	4
RPL13A	1	3.10966243169705	1.3141496849814	1104043014	0.760621162590111	0	0	90.8127707666227	70.3896065895159	0.2	TRUE	TRUE	5
RPLP1	1	3.50101486939276	1.29705310491031	1101397717	0.758798707437529	0	0	92.4279525334338	76.4465772263756	0.2	TRUE	TRUE	6
EEF1A1	1	4.22588615031846	1.37004046234899	1099575916.5	0.757543593282785	0	0	95.2580523639103	85.0697136837793	0.2	TRUE	TRUE	7
RPLP2	1	2.6293509701595	1.19917502666623	1095941926.5	0.755039986391033	0	0	89.0704464117536	65.9726997410426	0.2	TRUE	TRUE	8
RPS15A	1	2.50490756278484	1.17290219991781	1085887858.5	0.74811332067788	0	0	86.838387643624	63.7576626530702	0.2	TRUE	TRUE	9
RPS19	1	2.73448463545466	1.21666186812856	1082481860	0.74576678661535	0	0	87.9026181955171	65.2587379848137	0.2	TRUE	TRUE	10
HLA-DRA	2	3.5888033431052	2.7367635189203	735137523	0.904001083368662	0	0	94.809756097561	48.1944111826764	0.2	TRUE	TRUE	1
CTSB	2	2.79675586096504	2.23071347066517	716162127	0.88066697511726	0	0	90.1951219512195	42.2299809672662	0.2	TRUE	TRUE	2
CD74	2	3.90779224170269	2.3992612255162	712750595	0.876471802748203	0	0	96.5951219512195	67.177987572003	0.2	TRUE	TRUE	3
HLA-DRB1	2	2.78815213765445	2.17118402264025	705212441.5	0.867202110047998	0	0	89.5414634146342	39.7910180621904	0.2	TRUE	TRUE	4
AL662796.1	2	1.36231912990344	1.14722714764001	691989227.5	0.850941479339293	0	0	83.219512195122	21.812017091647	0.2	TRUE	TRUE	5
HLA-DRB3	2	2.26598500588373	1.82099843474396	691109768	0.849860005035635	0	0	85.4439024390244	31.5477015768179	0.2	TRUE	TRUE	6
HLA-DPA1	2	2.26054178824854	1.84465650795119	685850539.5	0.843392714069067	0	0	83.2390243902439	31.2010789417296	0.2	TRUE	TRUE	7
PSAP	2	2.79135089821797	1.80499516290184	679641512	0.835757452079229	0	0	90.4585365853659	57.6691833570717	0.2	TRUE	TRUE	8
HLA-DPB1	2	2.10485248860976	1.66424832153334	667933174.5	0.821359670095182	0	0	81.209756097561	32.4098466037284	0.2	TRUE	TRUE	9
HLA-DQB1	2	1.71570846380364	1.42926589832031	658803657.5	0.81013307234929	0	0	75.7365853658537	23.2590090373974	0.2	TRUE	TRUE	10
AGR2	3	2.31176765933034	2.21151751078309	492843979.5	0.866121360295141	0	0	78.1831395348837	14.6396314701295	0.2	TRUE	TRUE	1
KRT8	3	1.65290185229352	1.52955756177107	475622126	0.835855767530152	0	0	75.0872093023256	18.750528975782	0.2	TRUE	TRUE	2
KRT18	3	1.53660346324541	1.43904212693229	462445388.5	0.81269903987908	0	0	69.0406976744186	13.5369436686133	0.2	TRUE	TRUE	3
SPINK1	3	1.55271422971229	1.47937840373543	460701720	0.809634726230254	0	0	67.4127906976744	11.0861233027434	0.2	TRUE	TRUE	4
LYZ	3	2.68864348026397	1.8661770774994	436274508.5	0.766706476048398	0	0	80.5668604651163	47.7553290531636	0.2	TRUE	TRUE	5
EPCAM	3	1.03747634549976	1.00315790220264	430918313.5	0.757293527747574	0	0	55.0436046511628	6.15304629596044	0.2	TRUE	TRUE	6
CD24	3	1.26942731145055	1.12678913693001	427579716.5	0.751426295326371	0	0	59.3895348837209	13.530898231105	0.2	TRUE	TRUE	7
KRT19	3	1.2237955174932	1.07563340888905	425414052	0.74762036817558	0	0	58.3720930232558	11.4536859032488	0.2	TRUE	TRUE	8
FXYD3	3	1.0822088342313	0.948392479076803	419921404	0.737967618106057	0	0	56.0610465116279	10.7427424522713	0.2	TRUE	TRUE	9
TSPAN8	3	0.94062800057086	0.915323424527423	419363984.5	0.73698801207316	0	0	50.5668604651163	5.23776705720193	0.2	TRUE	TRUE	10
IGKC	4	7.68689857341718	5.74755584852414	539205294.5	0.993058479803509	0	0	99.9235240134598	85.2725499403966	0.2	TRUE	TRUE	1
JCHAIN	4	4.52182877061736	3.64225185383288	493300043	0.908514430005445	0	0	95.1361272560416	47.2118869583017	0.2	TRUE	TRUE	2
MZB1	4	2.18076946084755	1.92104409080409	477591629.5	0.879584125741834	0	0	85.484857754665	19.3367770834086	0.2	TRUE	TRUE	3
SSR4	4	2.68492746198384	1.95308255409488	475125769.5	0.875042732680627	0	0	91.8017742428877	45.1239629616251	0.2	TRUE	TRUE	4
IGKV3-20	4	1.53944351517116	1.43600149875734	466269925.5	0.858732857629842	0	0	80.4374426430101	15.0537634408602	0.2	TRUE	TRUE	5
IGKV4-1	4	1.25982393560008	1.16922185123557	456884132.5	0.841446971487026	0	0	76.8124808810034	13.9652494310588	0.2	TRUE	TRUE	6
IGKV1-39	4	1.35744447266252	1.25739083744857	450197756	0.829132621182582	0	0	75.0841235851943	14.4721790750039	0.2	TRUE	TRUE	7
IGHA1	4	4.78384384353277	3.2670552544711	446198283	0.82176676142952	0	0	96.5126950137657	71.0905609941119	0.2	TRUE	TRUE	8
IGKV3-15	4	0.998786252415445	0.94783980226912	445554560	0.820581211898915	0	0	70.1437748546956	8.5575985261713	0.2	TRUE	TRUE	9
IGKV1-5	4	1.17384097460661	1.08913370486365	445042438	0.819638032927971	0	0	72.973386356684	12.9971462630495	0.2	TRUE	TRUE	10
IGLC2	5	6.63975721303523	5.50489508703209	368921695.5	0.979192607065031	0	0	99.7739602169982	70.1043880558459	0.2	TRUE	TRUE	1
