from_cluster	to_cluster	cells	from_resolution	to_resolution
1	2	8465	0.2	0.3
7	10	2943	0.2	0.3
1	1	12524	0.2	0.3
3	3	6872	0.2	0.3
6	9	3187	0.2	0.3
0	0	18596	0.2	0.3
9	12	2214	0.2	0.3
4	5	6492	0.2	0.3
5	8	4419	0.2	0.3
2	6	5242	0.2	0.3
0	4	6467	0.2	0.3
2	7	4957	0.2	0.3
10	13	1822	0.2	0.3
11	14	1296	0.2	0.3
0	1	660	0.2	0.3
2	1	20	0.2	0.3
3	1	6	0.2	0.3
1	4	108	0.2	0.3
6	1	51	0.2	0.3
1	6	34	0.2	0.3
0	13	38	0.2	0.3
4	14	14	0.2	0.3
1	13	14	0.2	0.3
1	14	20	0.2	0.3
1	0	60	0.2	0.3
2	13	13	0.2	0.3
10	4	8	0.2	0.3
3	14	1	0.2	0.3
6	0	12	0.2	0.3
11	0	11	0.2	0.3
3	6	1	0.2	0.3
1	7	4	0.2	0.3
8	11	2577	0.2	0.3
2	4	6	0.2	0.3
0	7	7	0.2	0.3
0	5	3	0.2	0.3
0	6	12	0.2	0.3
10	6	7	0.2	0.3
10	1	2	0.2	0.3
2	0	1	0.2	0.3
2	2	10	0.2	0.3
4	6	26	0.2	0.3
1	8	1	0.2	0.3
0	3	11	0.2	0.3
10	0	4	0.2	0.3
14	17	56	0.2	0.3
4	2	3	0.2	0.3
1	3	2	0.2	0.3
5	6	5	0.2	0.3
0	2	2	0.2	0.3
2	14	1	0.2	0.3
4	3	3	0.2	0.3
13	16	81	0.2	0.3
12	15	192	0.2	0.3
1	11	4	0.2	0.3
2	2	8126	0.3	0.4
10	10	2943	0.3	0.4
1	1	13128	0.3	0.4
3	5	6595	0.3	0.4
9	9	3187	0.3	0.4
0	0	18308	0.3	0.4
12	12	2214	0.3	0.4
5	4	6483	0.3	0.4
8	8	4420	0.3	0.4
6	6	5288	0.3	0.4
4	3	6440	0.3	0.4
7	7	4910	0.3	0.4
13	13	1652	0.3	0.4
14	14	1318	0.3	0.4
3	15	292	0.3	0.4
1	2	57	0.3	0.4
1	6	5	0.3	0.4
2	6	97	0.3	0.4
1	5	6	0.3	0.4
2	1	216	0.3	0.4
0	4	195	0.3	0.4
2	14	37	0.3	0.4
4	1	95	0.3	0.4
6	1	15	0.3	0.4
1	14	22	0.3	0.4
14	4	14	0.3	0.4
7	3	38	0.3	0.4
13	3	220	0.3	0.4
0	2	68	0.3	0.4
7	13	3	0.3	0.4
1	4	2	0.3	0.4
4	0	45	0.3	0.4
13	6	7	0.3	0.4
3	3	1	0.3	0.4
7	6	12	0.3	0.4
0	1	37	0.3	0.4
0	3	56	0.3	0.4
1	0	40	0.3	0.4
0	14	5	0.3	0.4
6	5	1	0.3	0.4
11	11	2581	0.3	0.4
0	13	14	0.3	0.4
4	7	4	0.3	0.4
2	4	1	0.3	0.4
6	0	9	0.3	0.4
6	13	7	0.3	0.4
5	6	12	0.3	0.4
1	13	2	0.3	0.4
13	1	4	0.3	0.4
2	7	1	0.3	0.4
6	14	1	0.3	0.4
13	0	3	0.3	0.4
17	18	56	0.3	0.4
7	2	2	0.3	0.4
4	5	1	0.3	0.4
0	7	1	0.3	0.4
13	7	1	0.3	0.4
6	2	1	0.3	0.4
4	13	3	0.3	0.4
6	7	5	0.3	0.4
2	3	2	0.3	0.4
4	6	1	0.3	0.4
1	3	1	0.3	0.4
7	0	3	0.3	0.4
16	17	81	0.3	0.4
15	16	192	0.3	0.4
2	2	8175	0.4	0.5
10	10	2919	0.4	0.5
1	1	13313	0.4	0.5
5	5	6592	0.4	0.5
9	9	3187	0.4	0.5
0	0	17797	0.4	0.5
12	12	2214	0.4	0.5
4	3	6650	0.4	0.5
8	8	4407	0.4	0.5
6	6	5294	0.4	0.5
3	4	6622	0.4	0.5
1	16	109	0.4	0.5
7	7	4916	0.4	0.5
13	13	1652	0.4	0.5
14	14	1351	0.4	0.5
2	1	42	0.4	0.5
15	15	292	0.4	0.5
2	16	31	0.4	0.5
6	2	93	0.4	0.5
14	2	30	0.4	0.5
0	1	514	0.4	0.5
13	1	18	0.4	0.5
1	2	14	0.4	0.5
1	14	29	0.4	0.5
3	0	81	0.4	0.5
4	14	43	0.4	0.5
3	2	40	0.4	0.5
14	1	2	0.4	0.5
1	5	12	0.4	0.5
6	13	7	0.4	0.5
6	7	12	0.4	0.5
0	2	14	0.4	0.5
0	6	28	0.4	0.5
3	1	11	0.4	0.5
3	7	2	0.4	0.5
13	7	4	0.4	0.5
5	6	1	0.4	0.5
0	14	6	0.4	0.5
11	11	2581	0.4	0.5
13	6	7	0.4	0.5
0	4	27	0.4	0.5
0	13	15	0.4	0.5
4	1	2	0.4	0.5
1	7	3	0.4	0.5
6	3	12	0.4	0.5
8	6	13	0.4	0.5
5	14	5	0.4	0.5
7	2	1	0.4	0.5
10	11	22	0.4	0.5
1	4	7	0.4	0.5
18	16	56	0.4	0.5
2	7	2	0.4	0.5
5	1	3	0.4	0.5
3	13	2	0.4	0.5
1	13	3	0.4	0.5
2	3	2	0.4	0.5
5	16	2	0.4	0.5
7	1	2	0.4	0.5
7	6	3	0.4	0.5
0	3	1	0.4	0.5
1	6	3	0.4	0.5
0	7	6	0.4	0.5
2	6	1	0.4	0.5
10	6	2	0.4	0.5
1	3	1	0.4	0.5
6	1	4	0.4	0.5
2	4	1	0.4	0.5
17	18	81	0.4	0.5
16	17	192	0.4	0.5
1	17	1	0.4	0.5
2	2	7582	0.5	0.6
10	15	1392	0.5	0.6
1	1	12796	0.5	0.6
5	5	6133	0.5	0.6
9	9	3187	0.5	0.6
0	0	17484	0.5	0.6
12	11	2214	0.5	0.6
3	3	6662	0.5	0.6
8	8	4407	0.5	0.6
6	6	5319	0.5	0.6
4	4	6402	0.5	0.6
16	5	111	0.5	0.6
7	7	4854	0.5	0.6
13	12	1671	0.5	0.6
14	13	1427	0.5	0.6
1	2	323	0.5	0.6
2	4	4	0.5	0.6
10	14	1527	0.5	0.6
15	18	292	0.5	0.6
5	13	469	0.5	0.6
6	1	11	0.5	0.6
16	2	31	0.5	0.6
1	12	36	0.5	0.6
1	5	7	0.5	0.6
1	9	54	0.5	0.6
4	1	6	0.5	0.6
2	17	765	0.5	0.6
1	6	13	0.5	0.6
0	4	187	0.5	0.6
7	12	66	0.5	0.6
0	12	128	0.5	0.6
4	12	227	0.5	0.6
14	2	7	0.5	0.6
1	17	12	0.5	0.6
0	5	2	0.5	0.6
7	6	18	0.5	0.6
6	0	17	0.5	0.6
1	0	69	0.5	0.6
0	9	13	0.5	0.6
4	13	1	0.5	0.6
2	3	4	0.5	0.6
4	0	17	0.5	0.6
0	1	49	0.5	0.6
11	10	2454	0.5	0.6
0	17	8	0.5	0.6
6	12	1	0.5	0.6
0	13	5	0.5	0.6
1	3	24	0.5	0.6
4	6	1	0.5	0.6
4	17	3	0.5	0.6
5	18	1	0.5	0.6
1	4	5	0.5	0.6
6	2	2	0.5	0.6
13	1	1	0.5	0.6
2	6	8	0.5	0.6
11	15	22	0.5	0.6
16	20	56	0.5	0.6
5	4	1	0.5	0.6
13	6	6	0.5	0.6
7	17	1	0.5	0.6
2	1	1	0.5	0.6
2	7	2	0.5	0.6
7	0	5	0.5	0.6
2	12	1	0.5	0.6
1	7	3	0.5	0.6
0	3	2	0.5	0.6
1	16	568	0.5	0.6
7	13	1	0.5	0.6
6	15	1	0.5	0.6
1	13	1	0.5	0.6
18	16	81	0.5	0.6
17	16	193	0.5	0.6
6	16	1	0.5	0.6
3	6	3	0.5	0.6
13	16	1	0.5	0.6
3	16	1	0.5	0.6
11	19	127	0.5	0.6
2	3	7408	0.6	0.8
15	18	1415	0.6	0.8
1	0	11271	0.6	0.8
5	16	1666	0.6	0.8
9	10	3187	0.6	0.8
0	1	9051	0.6	0.8
11	13	2214	0.6	0.8
3	6	5371	0.6	0.8
8	9	4407	0.6	0.8
0	2	8241	0.6	0.8
6	5	5328	0.6	0.8
4	4	6255	0.6	0.8
3	14	1202	0.6	0.8
7	7	4848	0.6	0.8
12	15	1971	0.6	0.8
13	12	1850	0.6	0.8
14	17	1518	0.6	0.8
18	21	293	0.6	0.8
1	1	1155	0.6	0.8
2	16	43	0.6	0.8
5	8	4523	0.6	0.8
2	20	71	0.6	0.8
1	20	247	0.6	0.8
1	5	28	0.6	0.8
5	12	43	0.6	0.8
2	0	235	0.6	0.8
2	5	82	0.6	0.8
2	14	98	0.6	0.8
1	14	117	0.6	0.8
1	3	4	0.6	0.8
5	0	6	0.6	0.8
1	4	17	0.6	0.8
9	0	53	0.6	0.8
17	19	785	0.6	0.8
13	0	41	0.6	0.8
3	12	107	0.6	0.8
4	2	299	0.6	0.8
4	1	29	0.6	0.8
13	8	10	0.6	0.8
13	14	1	0.6	0.8
12	1	143	0.6	0.8
0	12	235	0.6	0.8
1	19	10	0.6	0.8
2	19	5	0.6	0.8
5	1	11	0.6	0.8
6	7	8	0.6	0.8
4	12	7	0.6	0.8
7	15	8	0.6	0.8
1	8	3	0.6	0.8
9	1	14	0.6	0.8
4	15	2	0.6	0.8
0	4	43	0.6	0.8
2	15	2	0.6	0.8
1	15	8	0.6	0.8
10	11	2454	0.6	0.8
17	1	3	0.6	0.8
12	4	2	0.6	0.8
6	4	2	0.6	0.8
6	1	11	0.6	0.8
0	14	10	0.6	0.8
2	7	1	0.6	0.8
0	0	2	0.6	0.8
13	5	1	0.6	0.8
0	19	5	0.6	0.8
0	5	1	0.6	0.8
14	18	9	0.6	0.8
12	2	7	0.6	0.8
4	0	3	0.6	0.8
1	12	1	0.6	0.8
6	15	9	0.6	0.8
20	24	56	0.6	0.8
6	3	3	0.6	0.8
4	8	1	0.6	0.8
12	19	4	0.6	0.8
1	7	3	0.6	0.8
12	0	2	0.6	0.8
4	19	3	0.6	0.8
0	15	1	0.6	0.8
17	14	1	0.6	0.8
6	2	1	0.6	0.8
3	0	4	0.6	0.8
3	1	3	0.6	0.8
7	14	2	0.6	0.8
12	14	1	0.6	0.8
3	7	2	0.6	0.8
7	1	1	0.6	0.8
3	15	2	0.6	0.8
5	6	3	0.6	0.8
16	14	649	0.6	0.8
5	5	1	0.6	0.8
0	7	3	0.6	0.8
16	22	193	0.6	0.8
