[2026-07-17 19:41:40] Running first-round RPCA integration
[2026-07-17 19:42:46] first normalizing sample GSM6213956
[2026-07-17 19:42:47] first normalizing sample GSM6213957
[2026-07-17 19:42:49] first normalizing sample GSM6213958
[2026-07-17 19:42:51] first normalizing sample GSM6213959
[2026-07-17 19:42:53] first normalizing sample GSM6213960
[2026-07-17 19:42:55] first normalizing sample GSM6213961
[2026-07-17 19:42:59] first normalizing sample GSM6213962
[2026-07-17 19:43:02] first normalizing sample GSM6213963
[2026-07-17 19:43:03] first normalizing sample GSM6213964
[2026-07-17 19:43:05] first normalizing sample GSM6213965
[2026-07-17 19:43:08] first normalizing sample GSM6213966
[2026-07-17 19:43:09] first normalizing sample GSM6213967
[2026-07-17 19:43:12] first normalizing sample GSM6213968
[2026-07-17 19:43:14] first normalizing sample GSM6213969
[2026-07-17 19:43:16] first normalizing sample GSM6213970
[2026-07-17 19:43:18] first normalizing sample GSM6213971
[2026-07-17 19:43:21] first normalizing sample GSM6213972
[2026-07-17 19:43:23] first normalizing sample GSM6213973
[2026-07-17 19:43:25] first normalizing sample GSM6213974
[2026-07-17 19:43:27] first normalizing sample GSM6213975
[2026-07-17 19:43:29] first normalizing sample GSM6213976
[2026-07-17 19:43:32] first normalizing sample GSM6213977
[2026-07-17 19:43:34] first normalizing sample GSM6213978
[2026-07-17 19:43:36] first normalizing sample GSM6213979
[2026-07-17 19:43:38] first normalizing sample GSM6213980
[2026-07-17 19:43:40] first normalizing sample GSM6213981
[2026-07-17 19:43:42] first normalizing sample GSM6213982
[2026-07-17 19:43:44] first normalizing sample GSM6213983
[2026-07-17 19:43:46] first normalizing sample GSM6213984
[2026-07-17 19:43:48] first normalizing sample GSM6213985
[2026-07-17 19:43:49] first normalizing sample GSM6213986
[2026-07-17 19:43:51] first normalizing sample GSM6213987
[2026-07-17 19:43:53] first normalizing sample GSM6213988
[2026-07-17 19:43:55] first normalizing sample GSM6213989
[2026-07-17 19:43:58] first normalizing sample GSM6213990
[2026-07-17 19:44:00] first normalizing sample GSM6213991
[2026-07-17 19:44:02] first normalizing sample GSM6213992
[2026-07-17 19:44:04] first normalizing sample GSM6213993
[2026-07-17 19:44:06] first normalizing sample GSM6213994
[2026-07-17 19:44:09] first normalizing sample GSM6213995
[2026-07-17 19:51:22] first finding RPCA anchors
[2026-07-17 21:28:12] first integrating data
