cluster	compartment	top10_markers	top50_markers	canonical_positive_marker_evidence	canonical_negative_or_conflicting_evidence	top10_mito_ribosomal_markers	top10_mito_ribosomal_count	top10_conflicting_broad_marker_count	author_sheet	top_author_subtype	top_author_overlap_count	second_author_overlap_count	top_author_overlap_genes	top_author_jaccard	author_label_rule_pass	final_reviewed_label	review_flag	action	cells	samples	subjects	maximum_sample_fraction	maximum_subject_fraction
0	B	RPS14;B2M;RPL11;HLA-A;RPS3;RPL9;RPL30;RPS18;RPLP1;RPL13A	RPS14;B2M;RPL11;HLA-A;RPS3;RPL9;RPL30;RPS18;RPLP1;RPL13A;HLA-B;RPL14;RPS25;RPS29;RPS28;RPL23A;RPS15A;EEF1A1;RPL32;RPS8;RPLP2;HLA-C;RPS12;RPL41;RPL39;RPS27;TPT1;RPL3;RPL10;RPS23;RPS3A;RPL19;RPS27A;HLA-DRA;RPS2;RPL35A;RPL13;RPL34;RPL18;EEF1B2;RPL36;RPL21;RPS13;RPS16;RPS7;RPS15;RPL27;RPS6;RPS10;HLA-DPB1			RPS14;RPL11;RPS3;RPL9;RPL30;RPS18;RPL13A	7	0	B cell markers	Bmem	28	4	RPS14;B2M;RPL11;HLA-A;RPS3;RPL9;RPL30;RPS18;RPL13A;HLA-B;RPL14;RPS25;RPS29;RPS28;RPL23A;RPS15A;RPL32;RPLP2;RPS12;RPL41;RPL39;RPS27;RPL35A;RPL34;EEF1B2;RPL36;RPL27;RPS10	0.388888888888889	FALSE	Unresolved_review	manual_review_required	retain cluster; no whole-cluster deletion	4059	39	18	0.112589307711259	0.157674304015767
1	B	JCHAIN;HSP90B1;SSR4;MZB1;XBP1;HERPUD1;BTG2;NEAT1;TENT5C;RRBP1	JCHAIN;HSP90B1;SSR4;MZB1;XBP1;HERPUD1;BTG2;NEAT1;TENT5C;RRBP1;DERL3;SELENOS;IGHA1;FKBP11;SEC61B;JUN;SEC11C;SSR3;TNFRSF17;SUB1;FKBP2;SPCS1;PDK1;HSPA5;PDIA4;SELENOK;SPCS3;PRDM1;LMAN1;HM13;HSPA1B;FCRL5;HIST1H2BG;PRDX4;HSPA1A;PIM2;CPEB4;SEL1L;TXNDC11;PPIB;H1FX;RPN1;FNDC3B;ANKRD28;CREB3L2;IGHA2;FOSB;SPCS2;TP53INP1;IGKC	MZB1;TNFRSF17			0	0	B cell markers	pB IgA	34	33	JCHAIN;HSP90B1;SSR4;MZB1;XBP1;HERPUD1;BTG2;NEAT1;TENT5C;RRBP1;DERL3;SELENOS;IGHA1;FKBP11;SEC61B;JUN;SEC11C;SSR3;TNFRSF17;FKBP2;SPCS1;PDK1;HSPA5;PDIA4;SELENOK;PRDM1;HSPA1B;HIST1H2BG;HSPA1A;H1FX;ANKRD28;IGHA2;FOSB;IGKC	0.515151515151515	TRUE	pB IgA	author_overlap_supported	retain cluster; no whole-cluster deletion	3333	40	19	0.153015301530153	0.215721572157216
2	B	MT-ATP6;MT-CO2;MT-ND4;MT-CYB;MT-CO3;MT-ND3;MT-ND2;MT-ND1;MT-CO1;MT-ND5	MT-ATP6;MT-CO2;MT-ND4;MT-CYB;MT-CO3;MT-ND3;MT-ND2;MT-ND1;MT-CO1;MT-ND5;MALAT1;IGHM;BANK1;RPL34;MS4A1;RPL39;CD52;BCL11A;RPL37;PNISR;RPL32;MARCH1;RPS19;LINC00926;RPL30;RPL26;ADAM28;POLR2J3.1;RPLP2;RPS12;LINC02397;TMSB10;SF1;HLA-DQB1;MT-ND4L;ARID1B;N4BP2L2;RPS25;BTG1;ANKRD44;RPS23;ARHGAP24;RPS27A;RPS24;CIITA;RPS15A;DDX17;RPL12;RPL29;STX7	MS4A1		MT-ATP6;MT-CO2;MT-ND4;MT-CYB;MT-CO3;MT-ND3;MT-ND2;MT-ND1;MT-CO1;MT-ND5	10	0	B cell markers	Bmem	10	9	BANK1;RPL34;RPL39;RPL32;RPL30;RPLP2;RPS12;RPS25;ARHGAP24;RPS15A	0.111111111111111	FALSE	Unresolved_review	manual_review_required	retain cluster; no whole-cluster deletion	3125	38	18	0.24928	0.31424
3	B	IGHM;RPL18A;IGHD;RPL13;TCL1A;HLA-DRA;HLA-DPA1;RPS5;HLA-DPB1;RPL10	IGHM;RPL18A;IGHD;RPL13;TCL1A;HLA-DRA;HLA-DPA1;RPS5;HLA-DPB1;RPL10;CD74;HLA-DRB1;RPS19;RPS9;RPS3A;CD37;TMSB10;RPL18;RPL29;RPSA;RPL15;RPS27;RPS27A;RPL9;RPL21;BTG1;CD52;CD79A;EEF1A1;RPL10A;RPL8;CD79B;RPL13A;RPL19;RPL11;EEF1D;RPS11;RPS2;FAU;RPS23;RPS8;RPS12;HLA-DQB1;RPL30;RACK1;RPS10;RPL32;RPL7A;RPS13;RPL3	CD79A;CD79B		RPL18A;RPL13;RPS5;RPL10	4	0	B cell markers	Bn	22	8	RPL18A;IGHD;RPL13;TCL1A;HLA-DRA;HLA-DPA1;RPS5;HLA-DPB1;CD74;HLA-DRB1;RPS19;RPS9;CD37;TMSB10;RPSA;RPS27;BTG1;CD52;CD79A;CD79B;EEF1D;HLA-DQB1	0.282051282051282	FALSE	Unresolved_review	manual_review_required	retain cluster; no whole-cluster deletion	3094	37	17	0.190045248868778	0.248545572074984
4	B	DUSP1;JUND;JUNB;KLF2;FOSB;CD69;EIF1;TSC22D3;CXCR4;FOS	DUSP1;JUND;JUNB;KLF2;FOSB;CD69;EIF1;TSC22D3;CXCR4;FOS;BTG1;H3F3B;PPP1R15A;KLF6;JUN;NR4A2;FTH1;B2M;RPL30;RPL9;HLA-E;SLC2A3;HLA-DRA;RPS27A;RPL11;CD37;RPS14;HLA-A;RPS3;HSP90AA1;PNRC1;CD83;RSRP1;RPL13;NR4A1;RPS23;CD74;DDX5;RPS8;NFKBIA;RPS27;RPL18;RPL41;RPL32;RPS12;RPL13A;HLA-DPA1;HLA-DPB1;DDX3X;SERTAD1				0	0	B cell markers	Bgc	24	12	DUSP1;JUND;JUNB;KLF2;FOSB;CD69;EIF1;TSC22D3;CXCR4;FOS;BTG1;H3F3B;PPP1R15A;KLF6;NR4A2;SLC2A3;HSP90AA1;PNRC1;CD83;RSRP1;NR4A1;NFKBIA;DDX3X;SERTAD1	0.315789473684211	TRUE	Bgc	author_overlap_supported	retain cluster; no whole-cluster deletion	2564	39	18	0.155226209048362	0.196177847113885
5	B	ACTG1;SERF2;MARCKSL1;BASP1;GAPDH;HMGN1;RGS13;ACTB;H3F3A;NEIL1	ACTG1;SERF2;MARCKSL1;BASP1;GAPDH;HMGN1;RGS13;ACTB;H3F3A;NEIL1;LIMD2;ARPC2;LRMP;ATP5MG;PFN1;CFL1;OAZ1;ACTR3;TCL1A;LMO2;CD79B;CCDC88A;CORO1A;ISG20;SLC25A5;ARPC3;LCP1;UCP2;MS4A1;PARP1;EZR;BTF3;LAPTM5;CD22;SERPINA9;PTPRC;ANP32B;IRF8;SMIM14;HMCES;MYL6;RPL28;LPP;TMSB4X;RFTN1;ARHGDIB;CD53;SUGCT;TCEA1;PABPC1	CD79B;MS4A1			0	0	B cell markers	Bfoc	35	2	ACTG1;SERF2;MARCKSL1;BASP1;GAPDH;HMGN1;RGS13;ACTB;H3F3A;NEIL1;LIMD2;ARPC2;LRMP;ATP5MG;PFN1;CFL1;ACTR3;TCL1A;LMO2;CCDC88A;CORO1A;ISG20;SLC25A5;LCP1;UCP2;PARP1;EZR;CD22;SERPINA9;ANP32B;SMIM14;HMCES;LPP;RFTN1;SUGCT	0.538461538461538	TRUE	Bfoc	author_overlap_supported	retain cluster; no whole-cluster deletion	1810	31	15	0.446408839779006	0.449723756906077
6	B	STMN1;HMGB2;HMGB1;H2AFZ;TUBA1B;HMGN2;GAPDH;TUBB;PTMA;PCLAF	STMN1;HMGB2;HMGB1;H2AFZ;TUBA1B;HMGN2;GAPDH;TUBB;PTMA;PCLAF;H2AFV;H3F3A;HMGN1;DUT;PPIA;PTTG1;RAN;ACTB;CFL1;ACTG1;PFN1;SLC25A5;ANP32B;RANBP1;SERF2;YBX1;NUSAP1;MKI67;HNRNPA2B1;PKM;TUBB4B;DEK;MRPL51;ARPC2;MYBL2;UBE2S;SMC4;RGS13;CBX3;HNRNPA1;PCNA;UBE2C;H2AFY;PRDX1;HNRNPD;TOP2A;DNMT1;TYMS;DBI;HMGA1				0	0	B cell markers	Bfoc	15	9	STMN1;HMGN2;GAPDH;H3F3A;HMGN1;ACTB;CFL1;ACTG1;PFN1;SLC25A5;ANP32B;SERF2;ARPC2;RGS13;PRDX1	0.176470588235294	TRUE	Bfoc	author_overlap_supported	retain cluster; no whole-cluster deletion	1748	37	18	0.362128146453089	0.371281464530892
7	B	PIGR;S100A6;LGALS4;KRT8;MT-ND4;MT-ND2;EPCAM;MT-CO3;MT-ND1;MT-CO1	PIGR;S100A6;LGALS4;KRT8;MT-ND4;MT-ND2;EPCAM;MT-CO3;MT-ND1;MT-CO1;MT-CO2;ELF3;MT-ND3;MT-ATP6;PHGR1;KRT18;MT-CYB;LGALS3;TSPAN8;MT-ND5;C15orf48;S100A10;KRT19;ATP1B1;KLF5;TPM1;AGR2;FABP1;CD24;ABCC3;FXYD3;DSP;MGST1;SELENBP1;TXN;MT-ND4L;CLDN7;CDH17;MUC4;LLGL2;CLDN3;CD9;CEACAM5;HMGCS2;FAM3D;IFI27;CST3;CTNND1;SLC26A2;CLDN4		EPCAM	MT-ND4;MT-ND2;MT-CO3;MT-ND1;MT-CO1	5	1	B cell markers	Bmem	1	1	CD24	0.0101010101010101	FALSE	Unresolved_review	manual_review_required	retain cluster; no whole-cluster deletion	1092	39	18	0.17032967032967	0.207875457875458
8	B	JCHAIN;SSR4;IGHA1;MZB1;FKBP11;TNFRSF17;XBP1;PRDX4;DERL3;SEC11C	JCHAIN;SSR4;IGHA1;MZB1;FKBP11;TNFRSF17;XBP1;PRDX4;DERL3;SEC11C;IGHA2;SSR3;FKBP2;HSP90B1;HERPUD1;ITM2C;MANF;SELENOS;DNAJB9;SDF2L1;MYDGF;SPCS3;PDIA4;CD63;TENT5C;RRBP1;BTG2;HM13;KDELR2;TXNDC15;RPN2;SPCS1;PIM2;HSPA5;SRGN;SELENOK;CRELD2;LMAN2;PPIB;ALG5;NUCB2;TMEM59;SLAMF7;LMAN1;PRDM1;CCPG1;RPN1;PLPP5;ERLEC1;TRAM1	MZB1;TNFRSF17			0	0	B cell markers	pB IgG	26	24	SSR4;MZB1;FKBP11;XBP1;PRDX4;DERL3;SEC11C;SSR3;FKBP2;HSP90B1;HERPUD1;ITM2C;SELENOS;SPCS3;TENT5C;RRBP1;BTG2;HM13;KDELR2;PIM2;HSPA5;SELENOK;NUCB2;LMAN1;PRDM1;ERLEC1	0.351351351351351	TRUE	pB IgG	author_overlap_supported	retain cluster; no whole-cluster deletion	924	37	18	0.194805194805195	0.254329004329004
9	B	SSR4;IGHG1;XBP1;PRDX4;MZB1;FKBP11;IGHG4;DERL3;ITM2C;SEC11C	SSR4;IGHG1;XBP1;PRDX4;MZB1;FKBP11;IGHG4;DERL3;ITM2C;SEC11C;SSR3;HSP90B1;FKBP2;SELENOS;ERLEC1;SPCS3;IGKC;NUCB2;PIM2;HERPUD1;DNAJB9;LMAN1;IGHG3;CD63;TXNDC15;RPN2;SEL1L;MYDGF;GAS6;SDC1;TENT5C;MANF;SELENOK;SDF2L1;KDELR2;PLPP5;JSRP1;TMEM59;RRBP1;SELENOM;TMED10;IGHG2;SPAG4;HM13;KDELR1;CPEB4;ALG5;CRELD2;PRDM1;SPCS2	MZB1			0	0	B cell markers	pB IgG	35	22	SSR4;IGHG1;XBP1;PRDX4;MZB1;FKBP11;IGHG4;DERL3;ITM2C;SEC11C;SSR3;HSP90B1;FKBP2;SELENOS;ERLEC1;SPCS3;IGKC;NUCB2;PIM2;HERPUD1;LMAN1;IGHG3;SEL1L;GAS6;SDC1;TENT5C;SELENOK;KDELR2;JSRP1;RRBP1;IGHG2;HM13;CPEB4;PRDM1;SPCS2	0.538461538461538	TRUE	pB IgG	author_overlap_supported	retain cluster; no whole-cluster deletion	814	33	18	0.136363636363636	0.196560196560197
10	B	IL32;FYB1;CD3D;CD2;MALAT1;TRAC;IL7R;TRBC1;CCL5;TRBC2	IL32;FYB1;CD3D;CD2;MALAT1;TRAC;IL7R;TRBC1;CCL5;TRBC2;CD3E;NEAT1;S100A4;GIMAP7;JUN;FYN;CD7;GIMAP4;CD3G;AAK1;EVL;RNF213;SRGN;BCL11B;ID2;B2M;LCP2;HCST;LAT;PTPRC;N4BP2L2;MBNL1;LCK;ITM2B;CLEC2D;ANKRD12;LEPROTL1;RORA;CD96;KLRB1;RARRES3;HLA-A;NKTR;CD247;KIAA1551;ATM;HSPA1B;CST7;TRAF3IP3;SLFN5		CD3D;TRAC;TRBC1		0	3	B cell markers	Bmem	3	3	S100A4;B2M;HLA-A	0.0309278350515464	FALSE	Unresolved_review	manual_review_required	retain cluster; no whole-cluster deletion	505	34	18	0.279207920792079	0.320792079207921
11	B	HSP90AB1;YBX1;PRDX1;PTMA;ACTB;NPM1;NME1;ENO1;RAN;PFN1	HSP90AB1;YBX1;PRDX1;PTMA;ACTB;NPM1;NME1;ENO1;RAN;PFN1;EIF5A;ACTG1;RPLP0;PKM;PPIA;HNRNPA1;SET;LDHA;PSMA7;RPS24;NCL;HLA-DQA1;BTF3;RPL7;RPS2;HSPE1;FABP5;RPS5;HSPD1;RPL6;RANBP1;GAPDH;RPL10A;TMSB4X;PSME2;CFL1;C1QBP;HNRNPF;RPS6;SRM;RPL7A;RPL35;RPS18;HSPA8;RPL14;RPL12;RPL22L1;PRMT1;NHP2;RPS19				0	0	B cell markers	Bfoc	6	2	PRDX1;ACTB;PFN1;ACTG1;GAPDH;CFL1	0.0638297872340426	TRUE	Bfoc	author_overlap_supported	retain cluster; no whole-cluster deletion	230	34	17	0.195652173913043	0.21304347826087
12	B	FTL;B2M;MALAT1;FTH1;RPS29;RPL34;LYZ;RPS27;APOE;RPL36	FTL;B2M;MALAT1;FTH1;RPS29;RPL34;LYZ;RPS27;APOE;RPL36;RPLP2;RPL32;RPS28;C1QA;RPL39;C1QB;RPS25;RPS27A;RPS19;RPL13;RPL27A;RPL11;RPL26;TMSB4X;RPS18;RPL35;RPL41;RPS14;TMSB10;RPS15A;RPL38;CD74;RPL30;RPS15;RPL35A;RPL13A;RPL37;RPS23;HLA-DRA;SPP1;RPS12;TYROBP;CST3;HLA-A;RPS20;RPS6;RPL27;RPL23A;RPL31;UBA52			RPS29;RPL34;RPS27;RPL36	4	0	B cell markers	Bmem	26	6	B2M;RPS29;RPL34;RPS27;RPL36;RPLP2;RPL32;RPS28;RPL39;RPS25;RPL27A;RPL11;RPS18;RPL41;RPS14;RPS15A;RPL38;RPL30;RPL35A;RPL13A;RPS12;HLA-A;RPS20;RPL27;RPL23A;RPL31	0.351351351351351	FALSE	Unresolved_review	manual_review_required	retain cluster; no whole-cluster deletion	166	26	16	0.325301204819277	0.373493975903614
