author_subtype	compartment	cluster	overlap_count	overlap_genes	jaccard	author_overlap_rank
Bmem	B	0	28	RPS14;B2M;RPL11;HLA-A;RPS3;RPL9;RPL30;RPS18;RPL13A;HLA-B;RPL14;RPS25;RPS29;RPS28;RPL23A;RPS15A;RPL32;RPLP2;RPS12;RPL41;RPL39;RPS27;RPL35A;RPL34;EEF1B2;RPL36;RPL27;RPS10	0.388888888888889	1
Bn	B	0	4	RPS27;HLA-DRA;RPL13;HLA-DPB1	0.0416666666666667	2
Bfoc	B	0	0		0	3
Bgc	B	0	0		0	4
pB IgA	B	0	0		0	5
pB IgG	B	0	0		0	6
pB prolif	B	0	0		0	7
pB IgA	B	1	34	JCHAIN;HSP90B1;SSR4;MZB1;XBP1;HERPUD1;BTG2;NEAT1;TENT5C;RRBP1;DERL3;SELENOS;IGHA1;FKBP11;SEC61B;JUN;SEC11C;SSR3;TNFRSF17;FKBP2;SPCS1;PDK1;HSPA5;PDIA4;SELENOK;PRDM1;HSPA1B;HIST1H2BG;HSPA1A;H1FX;ANKRD28;IGHA2;FOSB;IGKC	0.515151515151515	1
pB IgG	B	1	33	HSP90B1;SSR4;MZB1;XBP1;HERPUD1;BTG2;NEAT1;TENT5C;RRBP1;DERL3;SELENOS;FKBP11;SEC61B;SEC11C;SSR3;FKBP2;PDK1;HSPA5;SELENOK;SPCS3;PRDM1;LMAN1;HM13;PRDX4;PIM2;CPEB4;SEL1L;H1FX;FNDC3B;CREB3L2;SPCS2;TP53INP1;IGKC	0.492537313432836	2
pB prolif	B	1	19	HSP90B1;MZB1;XBP1;RRBP1;DERL3;SELENOS;FKBP11;SEC61B;SEC11C;SSR3;SUB1;HSPA5;PDIA4;SPCS3;LMAN1;PRDX4;PPIB;SPCS2;IGKC	0.234567901234568	3
Bgc	B	1	2	HSPA1B;FOSB	0.0204081632653061	4
Bfoc	B	1	0		0	5
Bmem	B	1	0		0	6
Bn	B	1	0		0	7
Bmem	B	10	3	S100A4;B2M;HLA-A	0.0309278350515464	1
pB IgA	B	10	3	NEAT1;JUN;HSPA1B	0.0309278350515464	2
Bn	B	10	2	TRBC2;EVL	0.0204081632653061	3
Bgc	B	10	1	HSPA1B	0.0101010101010101	4
pB IgG	B	10	1	NEAT1	0.0101010101010101	5
Bfoc	B	10	0		0	6
pB prolif	B	10	0		0	7
Bfoc	B	11	6	PRDX1;ACTB;PFN1;ACTG1;GAPDH;CFL1	0.0638297872340426	1
Bmem	B	11	2	RPS18;RPL14	0.0204081632653061	2
Bn	B	11	2	RPS5;RPS19	0.0204081632653061	3
pB prolif	B	11	1	PSME2	0.0101010101010101	4
Bgc	B	11	0		0	5
pB IgA	B	11	0		0	6
pB IgG	B	11	0		0	7
Bmem	B	12	26	B2M;RPS29;RPL34;RPS27;RPL36;RPLP2;RPL32;RPS28;RPL39;RPS25;RPL27A;RPL11;RPS18;RPL41;RPS14;RPS15A;RPL38;RPL30;RPL35A;RPL13A;RPS12;HLA-A;RPS20;RPL27;RPL23A;RPL31	0.351351351351351	1
Bn	B	12	6	RPS27;RPS19;RPL13;TMSB10;CD74;HLA-DRA	0.0638297872340426	2
Bfoc	B	12	0		0	3
Bgc	B	12	0		0	4
pB IgA	B	12	0		0	5
pB IgG	B	12	0		0	6
pB prolif	B	12	0		0	7
Bmem	B	2	10	BANK1;RPL34;RPL39;RPL32;RPL30;RPLP2;RPS12;RPS25;ARHGAP24;RPS15A	0.111111111111111	1
Bn	B	2	9	CD52;BCL11A;RPS19;LINC00926;LINC02397;TMSB10;HLA-DQB1;BTG1;STX7	0.0989010989010989	2
Bgc	B	2	1	BTG1	0.0101010101010101	3
pB IgA	B	2	1	IGHM	0.0101010101010101	4
pB IgG	B	2	1	IGHM	0.0101010101010101	5
Bfoc	B	2	0		0	6
pB prolif	B	2	0		0	7
Bn	B	3	22	RPL18A;IGHD;RPL13;TCL1A;HLA-DRA;HLA-DPA1;RPS5;HLA-DPB1;CD74;HLA-DRB1;RPS19;RPS9;CD37;TMSB10;RPSA;RPS27;BTG1;CD52;CD79A;CD79B;EEF1D;HLA-DQB1	0.282051282051282	1
Bmem	B	3	8	RPS27;RPL9;RPL13A;RPL11;RPS12;RPL30;RPS10;RPL32	0.0869565217391304	2
Bfoc	B	3	1	TCL1A	0.0101010101010101	3
Bgc	B	3	1	BTG1	0.0101010101010101	4
pB IgA	B	3	1	IGHM	0.0101010101010101	5
pB IgG	B	3	1	IGHM	0.0101010101010101	6
pB prolif	B	3	0		0	7
Bgc	B	4	24	DUSP1;JUND;JUNB;KLF2;FOSB;CD69;EIF1;TSC22D3;CXCR4;FOS;BTG1;H3F3B;PPP1R15A;KLF6;NR4A2;SLC2A3;HSP90AA1;PNRC1;CD83;RSRP1;NR4A1;NFKBIA;DDX3X;SERTAD1	0.315789473684211	1
Bmem	B	4	12	B2M;RPL30;RPL9;RPL11;RPS14;HLA-A;RPS3;RPS27;RPL41;RPL32;RPS12;RPL13A	0.136363636363636	2
Bn	B	4	9	CXCR4;BTG1;HLA-DRA;CD37;RPL13;CD74;RPS27;HLA-DPA1;HLA-DPB1	0.0989010989010989	3
pB IgA	B	4	4	FOSB;FOS;JUN;HSP90AA1	0.0416666666666667	4
