gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	positive_direction	passes_primary_filter	rank
RPS14	0	3.99729349152129	0.953278003755798	64685897.5	0.821252888104529	0	0	99.3840847499384	95.4547796959547	TRUE	TRUE	1
B2M	0	4.63084497081461	0.741043523393034	64298016	0.816328340182514	0	0	99.9260901699926	99.3094563256893	TRUE	TRUE	2
RPL11	0	3.92724310376955	0.855872528417873	61532778.5	0.78122085352872	0	0	99.6058142399606	96.4390620973976	TRUE	TRUE	3
HLA-A	0	2.71683031816969	0.961332345060692	60541009	0.768629336711488	0	0	95.4175905395418	80.7575367173409	TRUE	TRUE	4
RPS3	0	3.77015875233602	0.889677066582979	59736028	0.758409288808168	0	0	98.989898989899	93.5119814480804	TRUE	TRUE	5
RPL9	0	3.57355423219746	0.818982398159099	59544357	0.755975831618896	0	0	99.1623552599162	94.0633857253285	TRUE	TRUE	6
RPL30	0	3.69926321219296	0.841654150666066	59470529.5	0.755038516841799	0	0	99.310174919931	94.7436227776346	TRUE	TRUE	7
RPS18	0	4.09393734574436	0.79308772286091	59422334.5	0.754426632575337	0	0	99.7536338999754	97.1862921927338	TRUE	TRUE	8
RPLP1	0	4.43119703784808	0.589052053861174	59381626.5	0.753909803345767	0	0	99.8275437299828	99.1703169286266	TRUE	TRUE	9
RPL13A	0	3.76707680398765	0.817802024741044	59208687	0.751714161492883	0	0	99.2855383099286	95.6351455810358	TRUE	TRUE	10
JCHAIN	1	5.03308944168136	3.68457103893766	60642326.5	0.90380594117233	0	0	95.6495649564957	51.6467140231484	TRUE	TRUE	1
HSP90B1	1	2.39109742520714	1.75097303155778	59372517	0.884880853094499	0	0	94.1794179417942	35.1298991604987	TRUE	TRUE	2
SSR4	1	2.98704564925821	1.991207505739	59167004.5	0.881817919509899	0	0	94.6594659465947	48.8599672147434	TRUE	TRUE	3
MZB1	1	2.26081503049717	1.76533361340909	58767229	0.875859713535806	0	0	91.2391239123912	26.2580100342755	TRUE	TRUE	4
XBP1	1	2.08183471844645	1.71452878060115	58297689	0.868861745843751	0	0	87.5487548754876	19.3085291341712	TRUE	TRUE	5
HERPUD1	1	2.43102766013311	1.57027782446599	57473137.5	0.856572729450184	0	0	94.1794179417942	46.6494461278625	TRUE	TRUE	6
BTG2	1	2.02691856692768	1.46822709975007	55823978.5	0.831993862045784	0	0	85.8085808580858	33.5005712582584	TRUE	TRUE	7
NEAT1	1	2.8744291839434	1.57025980404835	55262275	0.823622300633521	0	0	95.5295529552955	60.6477571904029	TRUE	TRUE	8
TENT5C	1	1.05607721199487	0.899290548997469	52948980.5	0.789145237607562	0	0	67.8667866786679	13.0246882916894	TRUE	TRUE	9
RRBP1	1	1.1105454833287	0.927863609026325	52828820.5	0.787354387418276	0	0	68.5268526852685	15.215339526104	TRUE	TRUE	10
MT-ATP6	2	5.95170615156619	0.726516801074105	48839683	0.768410372191357	0	0	100	99.955750036875	TRUE	TRUE	1
MT-CO2	2	6.1486075849583	0.718251870601264	48559295.5	0.763998945867545	0	0	100	100	TRUE	TRUE	2
MT-ND4	2	5.4570220067317	0.676657179855887	48410263.5	0.761654177688185	0	0	100	99.955750036875	TRUE	TRUE	3
MT-CYB	2	5.50594603327615	0.709936766110968	48198843.5	0.758327839126801	0	0	99.936	99.901666748611	TRUE	TRUE	4
MT-CO3	2	6.47829256971127	0.768717018214093	48130048.5	0.757245465362112	0	0	100	100	TRUE	TRUE	5
MT-ND3	2	4.75243383529265	0.760010783288375	47517380.5	0.747606163528197	0	0	99.904	99.7984168346527	TRUE	TRUE	6
MT-ND2	2	4.09296319886384	0.721100500187077	47231330.5	0.743105647278627	0	0	99.552	98.7167510693741	TRUE	TRUE	7
MT-ND1	2	4.61875010486534	0.680037267200026	47033626.5	0.739995106937411	0	0	99.936	99.626333644722	TRUE	TRUE	8
