cluster	compartment	top10_markers	top50_markers	canonical_positive_marker_evidence	canonical_negative_or_conflicting_evidence	top10_mito_ribosomal_markers	top10_mito_ribosomal_count	top10_conflicting_broad_marker_count	author_sheet	top_author_subtype	top_author_overlap_count	second_author_overlap_count	top_author_overlap_genes	top_author_jaccard	author_label_rule_pass	final_reviewed_label	review_flag	action	cells	samples	subjects	maximum_sample_fraction	maximum_subject_fraction
0	Endothelial	RPL10;HLA-DRA;RPS2;RPS18;RPL13;RPL3;HLA-DPB1;RPL30;RPL11;RPS14	RPL10;HLA-DRA;RPS2;RPS18;RPL13;RPL3;HLA-DPB1;RPL30;RPL11;RPS14;RPS3;RPS3A;RPS6;RPL7A;RPS4X;ACKR1;RPS9;RPL8;RPL32;RPS23;RPL5;RPL19;RPL9;RPS27A;RPS8;RPL10A;RPS5;RACK1;HLA-DRB1;AQP1;CD74;HLA-DPA1;CCL14;IGFBP4;TPT1;RPL18;HLA-E;RPL12;RPL7;RPL24;EEF1A1;RPS13;NACA;RPL35A;RPS7;RPL29;RPS15;RPL15;EEF1B2;RPS15A			RPL10;RPS2;RPS18;RPL13;RPL3;RPL30;RPL11;RPS14	8	0	Endothelial cell markers	HLA-DRA+EC	28	1	RPL10;HLA-DRA;RPS2;RPS18;RPL13;RPL3;HLA-DPB1;RPL30;RPL11;RPS14;RPS3;RPS3A;RPS6;RPL7A;RPS4X;ACKR1;RPS9;RPL8;RPS23;RPL5;RPL9;RPL10A;RPS5;HLA-DRB1;AQP1;HLA-DPA1;CCL14;EEF1B2	0.388888888888889	FALSE	Unresolved_review	manual_review_required	retain cluster; no whole-cluster deletion	2241	37	18	0.318161535029005	0.333333333333333
1	Endothelial	SOCS3;ZFP36;ACKR1;ACTG1;ADAMTS1;CDKN1A;JUNB;YBX3;C2CD4B;NDRG1	SOCS3;ZFP36;ACKR1;ACTG1;ADAMTS1;CDKN1A;JUNB;YBX3;C2CD4B;NDRG1;EMP1;ATF3;HLA-DRA;GADD45B;EGR1;SLC2A3;DLC1;TM4SF1;EIF1;TPM4;NAMPT;APOLD1;AQP1;ADAMTS9;NR4A1;SPRY1;H3F3B;CSRNP1;JUND;CCNL1;MYC;HLA-DPB1;FOSL2;CLU;ADAMTS4;ATP1A1;CD74;FOS;HLA-DPA1;NFKBIA;CYR61;EGR3;LDLR;MAT2A;THBD;NEDD9;NNMT;CCL14;SLC25A25;RPL10				0	0	Endothelial cell markers	HLA-DRA+EC	20	2	SOCS3;ZFP36;ACKR1;ACTG1;ADAMTS1;CDKN1A;JUNB;C2CD4B;ATF3;HLA-DRA;GADD45B;EGR1;SLC2A3;AQP1;HLA-DPB1;FOS;HLA-DPA1;NFKBIA;CCL14;RPL10	0.25	TRUE	HLA-DRA+EC	author_overlap_supported	retain cluster; no whole-cluster deletion	2101	29	16	0.375059495478344	0.398857686815802
2	Endothelial	MT-ND1;MT-CYB;MT-ATP6;MT-ND4;MT-CO1;MT-CO3;MT-ND2;MT-CO2;MT-ND3;MT-ND5	MT-ND1;MT-CYB;MT-ATP6;MT-ND4;MT-CO1;MT-CO3;MT-ND2;MT-CO2;MT-ND3;MT-ND5;MALAT1;NKTR;LIFR;SYNE2;DDX17;MT-ND4L;N4BP2L2;SRRM2;WSB1;RASA4;XAF1;TSHZ2;CADM3-AS1;PNISR;LYST;FTX;ANKRD29;ARGLU1;GOLGA8A;MKL2;RBM39;RNF213;ZNF385D;NEAT1;TLL1;STARD9;CCNL2;LUC7L3;BAZ2B;SUN1;LIMA1;KLF8;IFI44L;ANKRD36C;POSTN;RBM25;SEMA6A;TXNIP;HERC2;RNPC3			MT-ND1;MT-CYB;MT-ATP6;MT-ND4;MT-CO1;MT-CO3;MT-ND2;MT-CO2;MT-ND3;MT-ND5	10	0	Endothelial cell markers	SYNE2+EC	35	3	MT-ND1;MT-CYB;MT-ATP6;MT-ND4;MT-CO1;MT-ND2;MT-ND3;MT-ND5;MALAT1;NKTR;SYNE2;DDX17;MT-ND4L;N4BP2L2;SRRM2;WSB1;RASA4;XAF1;TSHZ2;CADM3-AS1;LYST;FTX;ANKRD29;ARGLU1;GOLGA8A;MKL2;STARD9;CCNL2;LUC7L3;BAZ2B;LIMA1;ANKRD36C;POSTN;RBM25;HERC2	0.538461538461538	FALSE	Unresolved_review	manual_review_required	retain cluster; no whole-cluster deletion	1890	39	18	0.283068783068783	0.308994708994709
3	Endothelial	PRCP;COL15A1;HSPG2;IGFBP7;COL4A2;COL4A1;PRSS23;FKBP1A;COL6A2;S100A6	PRCP;COL15A1;HSPG2;IGFBP7;COL4A2;COL4A1;PRSS23;FKBP1A;COL6A2;S100A6;S100A11;ENG;SPARC;SERF2;RAI14;VWA1;FSTL1;TMSB10;LGALS1;HSP90B1;COTL1;VWF;CALCRL;SELP;MGP;HYAL2;CALR;HTRA1;COL18A1;ENTPD1;RAMP3;SLCO2A1;SH3BGRL3;PCDH17;APLNR;TGM2;PPIA;A2M;MATN2;MARCKS;ANXA2;GRN;FAM167B;THBS1;CAVIN3;LAMC1;SERPINH1;LAMB1;PLVAP;FBN1	VWF			0	0	Endothelial cell markers	PLVAP+EC	16	1	COL15A1;HSPG2;COL4A2;COL4A1;PRSS23;COL6A2;SPARC;VWA1;FSTL1;LGALS1;HTRA1;COL18A1;PCDH17;CAVIN3;SERPINH1;PLVAP	0.19047619047619	TRUE	PLVAP+EC	author_overlap_supported	retain cluster; no whole-cluster deletion	1845	37	19	0.117615176151762	0.128455284552846
4	Endothelial	COL4A1;COL4A2;COL15A1;SPARC;HSPG2;RGCC;INSR;PLVAP;ADGRF5;NOTCH4	COL4A1;COL4A2;COL15A1;SPARC;HSPG2;RGCC;INSR;PLVAP;ADGRF5;NOTCH4;MCAM;KDR;PODXL;SERPINH1;FLT1;ETS1;VWA1;HECW2;LGALS1;PDGFB;A2M;IGFBP3;LAMA4;CALM1;ITGB1;RFLNB;PXDN;MYO1B;SPRY4;HTRA1;CDH5;ACTB;MSN;LBH;RASGRP3;CXCL12;COL18A1;IL32;CDH13;NID2;LAMB1;MMP2;PCDH17;CYTOR;PRSS23;TCF4;ADGRL4;NID1;SLC9A3R2;MAP1B				0	0	Endothelial cell markers	PLVAP+EC	37	6	COL4A1;COL4A2;COL15A1;SPARC;HSPG2;RGCC;INSR;PLVAP;ADGRF5;NOTCH4;MCAM;KDR;PODXL;SERPINH1;FLT1;ETS1;VWA1;HECW2;LGALS1;PDGFB;IGFBP3;LAMA4;RFLNB;PXDN;MYO1B;SPRY4;HTRA1;LBH;RASGRP3;CXCL12;COL18A1;IL32;NID2;PCDH17;CYTOR;PRSS23;SLC9A3R2	0.587301587301587	TRUE	PLVAP+EC	author_overlap_supported	retain cluster; no whole-cluster deletion	1668	35	19	0.170863309352518	0.177458033573142
5	Endothelial	CPE;ADGRG6;CLU;NPC2;LIFR;CLDN5;LEPR;IL1R1;ITM2B;PDCD4	CPE;ADGRG6;CLU;NPC2;LIFR;CLDN5;LEPR;IL1R1;ITM2B;PDCD4;KCTD12;CTGF;TXNIP;LIMCH1;ACKR1;MADCAM1;JAM2;NTN4;PTPRB;C7;TGFBR2;HLA-E;NR2F2;BCAT1;TNFSF10;CTNNAL1;CYP1B1;ADIRF;LY6E;LYST;SDCBP;SEMA6A;ENPP2;CTTNBP2;ALDH1A1;FBLN2;FOXP1;VWF;CCDC68;NCOA7;TLL1;GIMAP4;SRPX;GAS6;CD74;STXBP6;IGFBP4;FAM213A;MKL2;PCDH7	VWF			0	0	Endothelial cell markers	MADCAM1+HEV	36	2	CPE;ADGRG6;CLU;NPC2;LIFR;CLDN5;LEPR;IL1R1;ITM2B;PDCD4;KCTD12;CTGF;LIMCH1;ACKR1;MADCAM1;JAM2;NTN4;C7;TGFBR2;NR2F2;BCAT1;TNFSF10;CTNNAL1;CYP1B1;ADIRF;LY6E;SEMA6A;ENPP2;CTTNBP2;ALDH1A1;CCDC68;NCOA7;TLL1;SRPX;STXBP6;PCDH7	0.5625	TRUE	MADCAM1+HEV	author_overlap_supported	retain cluster; no whole-cluster deletion	1279	37	17	0.17670054730258	0.211884284597342
6	Endothelial	SRGN;SRP14;SEMA3G;SLC9A3R2;EFNB2;ICAM2;CAV1;CXCL12;IGFBP3;RHOB	SRGN;SRP14;SEMA3G;SLC9A3R2;EFNB2;ICAM2;CAV1;CXCL12;IGFBP3;RHOB;PLPP1;PODXL;RAMP2;SULF1;PPA1;GJA5;LTBP4;KCTD12;HEY1;TSPAN2;PCSK5;JAG1;FBLN5;CD9;ARL15;TM4SF1;S100A6;DEPP1;EPAS1;NOTCH4;FN1;SERPINE2;IFI6;IFI27;ELN;MGP;STOM;GJA4;STMN1;PLLP;GSN;PTPRB;LTC4S;CALM1;TSC22D1;GAS6;BST2;CAPZA2;CD81;SOX17				0	0	Endothelial cell markers	CXCL12+EC	36	5	SRGN;SRP14;SEMA3G;SLC9A3R2;EFNB2;ICAM2;CAV1;CXCL12;IGFBP3;RHOB;PLPP1;PODXL;SULF1;PPA1;GJA5;LTBP4;KCTD12;HEY1;TSPAN2;PCSK5;JAG1;FBLN5;ARL15;DEPP1;NOTCH4;FN1;SERPINE2;IFI6;ELN;MGP;GJA4;STMN1;PLLP;LTC4S;GAS6;SOX17	0.5625	TRUE	CXCL12+EC	author_overlap_supported	retain cluster; no whole-cluster deletion	996	40	19	0.220883534136546	0.26004016064257
7	Endothelial	CCL21;TFPI;TFF3;AKAP12;MMRN1;LYVE1;PPFIBP1;PROX1;EFEMP1;TIMP3	CCL21;TFPI;TFF3;AKAP12;MMRN1;LYVE1;PPFIBP1;PROX1;EFEMP1;TIMP3;TBX1;CAVIN2;NR2F1;CD9;S100A10;ADD3;FTH1;GNG11;COLEC12;GNAS;MAF;GYPC;CLDN5;NUPR1;PARD6G;MRC1;ATP5F1E;ANXA2;NTS;PTPRE;FABP4;FXYD6;RELN;CEBPD;DSP;TNXB;MT-CO3;DKK3;MT-CO2;TC2N;PKHD1L1;ARL6IP1;HSPB1;PLSCR4;MT-CO1;PLIN5;FLT4;RBP1;FGL2;KBTBD11				0	0	Endothelial cell markers	LYVE1+LEC	40	1	CCL21;TFPI;TFF3;AKAP12;MMRN1;LYVE1;PPFIBP1;PROX1;EFEMP1;TIMP3;TBX1;CAVIN2;NR2F1;CD9;ADD3;FTH1;COLEC12;MAF;GYPC;CLDN5;NUPR1;PARD6G;MRC1;ATP5F1E;NTS;PTPRE;FABP4;FXYD6;RELN;DSP;TNXB;DKK3;TC2N;PKHD1L1;PLSCR4;PLIN5;FLT4;RBP1;FGL2;KBTBD11	0.666666666666667	TRUE	LYVE1+LEC	author_overlap_supported	retain cluster; no whole-cluster deletion	808	31	16	0.157178217821782	0.181930693069307
8	Endothelial	RGCC;SLC9A3R2;GSN;VAMP5;RAMP2;PLVAP;TSC22D1;B2M;RBP7;IFI27	RGCC;SLC9A3R2;GSN;VAMP5;RAMP2;PLVAP;TSC22D1;B2M;RBP7;IFI27;TCIM;GNG11;SPARC;A2M;CD81;IFITM3;SNX3;CD320;NOTCH4;HLA-C;COL15A1;BTNL9;TMEM88;RNASE1;PLPP1;H3F3A;PTMA;VWA1;TM4SF18;CCDC85B;HSPA1A;SGK1;MLEC;ADGRF5;CD34;PODXL;HSPA1B;DDIT4;RDX;TMEM204;SOX18;HLA-A;BST2;RAMP3;ESAM;TIMP3;FOSB;C11orf96;SRGN;RHOC				0	0	Endothelial cell markers	PLVAP+EC	9	5	RGCC;SLC9A3R2;PLVAP;SPARC;NOTCH4;COL15A1;VWA1;ADGRF5;PODXL	0.0989010989010989	TRUE	PLVAP+EC	author_overlap_supported	retain cluster; no whole-cluster deletion	502	38	19	0.205179282868526	0.205179282868526
9	Endothelial	PIGR;LGALS4;KRT8;EPCAM;ELF3;PHGR1;CD24;TSPAN8;KRT18;C15orf48	PIGR;LGALS4;KRT8;EPCAM;ELF3;PHGR1;CD24;TSPAN8;KRT18;C15orf48;MT-CO1;ATP1B1;MT-CO2;KRT19;SPINT2;MT-ND4;MT-CO3;AGR2;CEACAM5;KLF5;FXYD3;CLDN4;CLDN7;ABCC3;CDH17;FABP1;CLDN3;FAM3D;MT-ND2;CHCHD10;LLGL2;MT-ND1;ITM2C;MGST1;LCN2;SELENBP1;LGALS3BP;MT-CYB;MT-ND5;GPX2;MT-ATP6;DSG2;CAMK2N1;ERBB3;MUC13;MT1E;HMGCS2;ST14;DSP;MT-ND3		EPCAM;CD24		0	2	Endothelial cell markers	SYNE2+EC	8	1	MT-CO1;MT-ND4;MT-ND2;MT-ND1;MT-CYB;MT-ND5;MT-ATP6;MT-ND3	0.0869565217391304	FALSE	Unresolved_review	manual_review_required	retain cluster; no whole-cluster deletion	417	39	19	0.0935251798561151	0.122302158273381
