author_subtype	compartment	cluster	overlap_count	overlap_genes	jaccard	author_overlap_rank
HLA-DRA+EC	Endothelial	0	28	RPL10;HLA-DRA;RPS2;RPS18;RPL13;RPL3;HLA-DPB1;RPL30;RPL11;RPS14;RPS3;RPS3A;RPS6;RPL7A;RPS4X;ACKR1;RPS9;RPL8;RPS23;RPL5;RPL9;RPL10A;RPS5;HLA-DRB1;AQP1;HLA-DPA1;CCL14;EEF1B2	0.388888888888889	1
MADCAM1+HEV	Endothelial	0	1	ACKR1	0.0101010101010101	2
CXCL12+EC	Endothelial	0	0		0	3
LYVE1+LEC	Endothelial	0	0		0	4
PLVAP+EC	Endothelial	0	0		0	5
SYNE2+EC	Endothelial	0	0		0	6
HLA-DRA+EC	Endothelial	1	20	SOCS3;ZFP36;ACKR1;ACTG1;ADAMTS1;CDKN1A;JUNB;C2CD4B;ATF3;HLA-DRA;GADD45B;EGR1;SLC2A3;AQP1;HLA-DPB1;FOS;HLA-DPA1;NFKBIA;CCL14;RPL10	0.25	1
MADCAM1+HEV	Endothelial	1	2	ACKR1;CLU	0.0204081632653061	2
CXCL12+EC	Endothelial	1	0		0	3
LYVE1+LEC	Endothelial	1	0		0	4
PLVAP+EC	Endothelial	1	0		0	5
SYNE2+EC	Endothelial	1	0		0	6
CXCL12+EC	Endothelial	10	1	S100A4	0.0101010101010101	1
PLVAP+EC	Endothelial	10	1	IL32	0.0101010101010101	2
HLA-DRA+EC	Endothelial	10	0		0	3
LYVE1+LEC	Endothelial	10	0		0	4
MADCAM1+HEV	Endothelial	10	0		0	5
SYNE2+EC	Endothelial	10	0		0	6
SYNE2+EC	Endothelial	11	12	MALAT1;MT-ND1;MT-ATP6;MT-CO1;MT-ND4;MT-CYB;MT-ND5;MT-ND2;MT-ND3;ARGLU1;WSB1;NKTR	0.136363636363636	1
HLA-DRA+EC	Endothelial	11	9	HSPA1B;HSPA1A;FOS;JUNB;SLC2A3;SOCS3;GADD45B;ZFP36;IER3	0.0989010989010989	2
CXCL12+EC	Endothelial	11	1	SAT1	0.0101010101010101	3
LYVE1+LEC	Endothelial	11	0		0	4
MADCAM1+HEV	Endothelial	11	0		0	5
PLVAP+EC	Endothelial	11	0		0	6
PLVAP+EC	Endothelial	12	6	LGALS1;COL4A1;COL4A2;COL15A1;SPARC;SERPINH1	0.0638297872340426	1
CXCL12+EC	Endothelial	12	1	STMN1	0.0101010101010101	2
HLA-DRA+EC	Endothelial	12	0		0	3
LYVE1+LEC	Endothelial	12	0		0	4
MADCAM1+HEV	Endothelial	12	0		0	5
SYNE2+EC	Endothelial	12	0		0	6
MADCAM1+HEV	Endothelial	13	11	NPC2;ENPP2;ACKR1;MADCAM1;RBP5;CLDN5;TMEM176B;CTNNAL1;NCOA7;TNFSF10;ITM2B	0.123595505617978	1
HLA-DRA+EC	Endothelial	13	2	ACKR1;HLA-DRB1	0.0204081632653061	2
CXCL12+EC	Endothelial	13	1	MGP	0.0101010101010101	3
LYVE1+LEC	Endothelial	13	1	CLDN5	0.0101010101010101	4
PLVAP+EC	Endothelial	13	0		0	5
SYNE2+EC	Endothelial	13	0		0	6
HLA-DRA+EC	Endothelial	14	2	HLA-DQA1;HLA-DRA	0.0204081632653061	1
CXCL12+EC	Endothelial	14	0		0	2
LYVE1+LEC	Endothelial	14	0		0	3
MADCAM1+HEV	Endothelial	14	0		0	4
PLVAP+EC	Endothelial	14	0		0	5
SYNE2+EC	Endothelial	14	0		0	6
HLA-DRA+EC	Endothelial	15	5	NFKBIA;C2CD4B;SOCS3;IER3;ADAMTS1	0.0526315789473684	1
SYNE2+EC	Endothelial	15	4	VMP1;MALAT1;MBNL1;MT-ND4L	0.0416666666666667	2
MADCAM1+HEV	Endothelial	15	1	NCOA7	0.0101010101010101	3
PLVAP+EC	Endothelial	15	1	SERPINE1	0.0101010101010101	4
CXCL12+EC	Endothelial	15	0		0	5
LYVE1+LEC	Endothelial	15	0		0	6
HLA-DRA+EC	Endothelial	16	5	HLA-DRA;HLA-DQA1;HLA-DPA1;FOS;HLA-DRB1	0.0526315789473684	1
CXCL12+EC	Endothelial	16	2	SAT1;S100A4	0.0204081632653061	2
LYVE1+LEC	Endothelial	16	1	FTH1	0.0101010101010101	3
MADCAM1+HEV	Endothelial	16	1	CLEC7A	0.0101010101010101	4
PLVAP+EC	Endothelial	16	0		0	5
SYNE2+EC	Endothelial	16	0		0	6
SYNE2+EC	Endothelial	2	35	MT-ND1;MT-CYB;MT-ATP6;MT-ND4;MT-CO1;MT-ND2;MT-ND3;MT-ND5;MALAT1;NKTR;SYNE2;DDX17;MT-ND4L;N4BP2L2;SRRM2;WSB1;RASA4;XAF1;TSHZ2;CADM3-AS1;LYST;FTX;ANKRD29;ARGLU1;GOLGA8A;MKL2;STARD9;CCNL2;LUC7L3;BAZ2B;LIMA1;ANKRD36C;POSTN;RBM25;HERC2	0.538461538461538	1
MADCAM1+HEV	Endothelial	2	3	LIFR;TLL1;SEMA6A	0.0309278350515464	2
CXCL12+EC	Endothelial	2	0		0	3
HLA-DRA+EC	Endothelial	2	0		0	4
LYVE1+LEC	Endothelial	2	0		0	5
PLVAP+EC	Endothelial	2	0		0	6
PLVAP+EC	Endothelial	3	16	COL15A1;HSPG2;COL4A2;COL4A1;PRSS23;COL6A2;SPARC;VWA1;FSTL1;LGALS1;HTRA1;COL18A1;PCDH17;CAVIN3;SERPINH1;PLVAP	0.19047619047619	1
CXCL12+EC	Endothelial	3	1	MGP	0.0101010101010101	2
HLA-DRA+EC	Endothelial	3	0		0	3
LYVE1+LEC	Endothelial	3	0		0	4
MADCAM1+HEV	Endothelial	3	0		0	5
SYNE2+EC	Endothelial	3	0		0	6
PLVAP+EC	Endothelial	4	37	COL4A1;COL4A2;COL15A1;SPARC;HSPG2;RGCC;INSR;PLVAP;ADGRF5;NOTCH4;MCAM;KDR;PODXL;SERPINH1;FLT1;ETS1;VWA1;HECW2;LGALS1;PDGFB;IGFBP3;LAMA4;RFLNB;PXDN;MYO1B;SPRY4;HTRA1;LBH;RASGRP3;CXCL12;COL18A1;IL32;NID2;PCDH17;CYTOR;PRSS23;SLC9A3R2	0.587301587301587	1
CXCL12+EC	Endothelial	4	6	NOTCH4;PODXL;IGFBP3;CXCL12;MMP2;SLC9A3R2	0.0638297872340426	2
HLA-DRA+EC	Endothelial	4	0		0	3
LYVE1+LEC	Endothelial	4	0		0	4
MADCAM1+HEV	Endothelial	4	0		0	5
SYNE2+EC	Endothelial	4	0		0	6
MADCAM1+HEV	Endothelial	5	36	CPE;ADGRG6;CLU;NPC2;LIFR;CLDN5;LEPR;IL1R1;ITM2B;PDCD4;KCTD12;CTGF;LIMCH1;ACKR1;MADCAM1;JAM2;NTN4;C7;TGFBR2;NR2F2;BCAT1;TNFSF10;CTNNAL1;CYP1B1;ADIRF;LY6E;SEMA6A;ENPP2;CTTNBP2;ALDH1A1;CCDC68;NCOA7;TLL1;SRPX;STXBP6;PCDH7	0.5625	1
CXCL12+EC	Endothelial	5	2	KCTD12;GAS6	0.0204081632653061	2
SYNE2+EC	Endothelial	5	2	LYST;MKL2	0.0204081632653061	3
HLA-DRA+EC	Endothelial	5	1	ACKR1	0.0101010101010101	4
LYVE1+LEC	Endothelial	5	1	CLDN5	0.0101010101010101	5
PLVAP+EC	Endothelial	5	0		0	6
CXCL12+EC	Endothelial	6	36	SRGN;SRP14;SEMA3G;SLC9A3R2;EFNB2;ICAM2;CAV1;CXCL12;IGFBP3;RHOB;PLPP1;PODXL;SULF1;PPA1;GJA5;LTBP4;KCTD12;HEY1;TSPAN2;PCSK5;JAG1;FBLN5;ARL15;DEPP1;NOTCH4;FN1;SERPINE2;IFI6;ELN;MGP;GJA4;STMN1;PLLP;LTC4S;GAS6;SOX17	0.5625	1
PLVAP+EC	Endothelial	6	5	SLC9A3R2;CXCL12;IGFBP3;PODXL;NOTCH4	0.0526315789473684	2
LYVE1+LEC	Endothelial	6	1	CD9	0.0101010101010101	3
MADCAM1+HEV	Endothelial	6	1	KCTD12	0.0101010101010101	4
HLA-DRA+EC	Endothelial	6	0		0	5
SYNE2+EC	Endothelial	6	0		0	6
LYVE1+LEC	Endothelial	7	40	CCL21;TFPI;TFF3;AKAP12;MMRN1;LYVE1;PPFIBP1;PROX1;EFEMP1;TIMP3;TBX1;CAVIN2;NR2F1;CD9;ADD3;FTH1;COLEC12;MAF;GYPC;CLDN5;NUPR1;PARD6G;MRC1;ATP5F1E;NTS;PTPRE;FABP4;FXYD6;RELN;DSP;TNXB;DKK3;TC2N;PKHD1L1;PLSCR4;PLIN5;FLT4;RBP1;FGL2;KBTBD11	0.666666666666667	1
MADCAM1+HEV	Endothelial	7	1	CLDN5	0.0101010101010101	2
SYNE2+EC	Endothelial	7	1	MT-CO1	0.0101010101010101	3
CXCL12+EC	Endothelial	7	0		0	4
HLA-DRA+EC	Endothelial	7	0		0	5
PLVAP+EC	Endothelial	7	0		0	6
PLVAP+EC	Endothelial	8	9	RGCC;SLC9A3R2;PLVAP;SPARC;NOTCH4;COL15A1;VWA1;ADGRF5;PODXL	0.0989010989010989	1
CXCL12+EC	Endothelial	8	5	SLC9A3R2;NOTCH4;PLPP1;PODXL;SRGN	0.0526315789473684	2
HLA-DRA+EC	Endothelial	8	2	HSPA1A;HSPA1B	0.0204081632653061	3
LYVE1+LEC	Endothelial	8	1	TIMP3	0.0101010101010101	4
MADCAM1+HEV	Endothelial	8	1	CD320	0.0101010101010101	5
SYNE2+EC	Endothelial	8	0		0	6
SYNE2+EC	Endothelial	9	8	MT-CO1;MT-ND4;MT-ND2;MT-ND1;MT-CYB;MT-ND5;MT-ATP6;MT-ND3	0.0869565217391304	1
LYVE1+LEC	Endothelial	9	1	DSP	0.0101010101010101	2
CXCL12+EC	Endothelial	9	0		0	3
HLA-DRA+EC	Endothelial	9	0		0	4
MADCAM1+HEV	Endothelial	9	0		0	5
PLVAP+EC	Endothelial	9	0		0	6
