gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	positive_direction	passes_primary_filter	rank
RPL10	0	3.99410663180396	0.952248096740238	22858797.5	0.789372126763948	0	0	99.8215082552432	93.9096115152453	TRUE	TRUE	1
HLA-DRA	0	2.92127830181628	1.16176079420496	22406785	0.773762991224386	0	0	98.3489513609996	73.0150131558582	TRUE	TRUE	2
RPS2	0	3.39918550796905	0.856970944190273	22265952	0.768899671326279	0	0	99.1521642124052	90.8141154620028	TRUE	TRUE	3
RPS18	0	3.63682636778568	0.81159670476492	22260364	0.768706703544647	0	0	99.7322623828648	93.4375483671258	TRUE	TRUE	4
RPL13	0	3.76964948685903	0.705872483208762	22243714.5	0.768131754174517	0	0	99.9553770638108	95.7436929267915	TRUE	TRUE	5
RPL3	0	3.30850945876774	0.817670531240876	22205109.5	0.766798625826286	0	0	99.4199018295404	90.7831605014704	TRUE	TRUE	6
HLA-DPB1	0	2.02993955551497	0.981146423489151	22175276.5	0.765768416837482	0	0	93.1726907630522	57.932208636434	TRUE	TRUE	7
RPL30	0	3.12306235066901	0.828662000711994	22161049	0.765277105256742	0	0	98.88442659527	87.3703761027705	TRUE	TRUE	8
RPL11	0	3.35699292289703	0.753268698731973	22101483.5	0.763220157798471	0	0	99.5983935742972	91.8356291595728	TRUE	TRUE	9
RPS14	0	3.33923994503314	0.805968812401588	22038306	0.76103847883926	0	0	99.3752788933512	90.3575297941495	TRUE	TRUE	10
SOCS3	1	2.78802573173208	1.59724334558486	22956739	0.8365164097475	0	0	93.146120894812	59.3553820241923	TRUE	TRUE	1
ZFP36	1	3.19967198773275	1.61528324518509	22686231.5	0.826659436476611	0	0	95.9067110899572	67.5394273465013	TRUE	TRUE	2
ACKR1	1	3.4567877323462	1.53167195620283	21310835	0.776541615205947	0	0	98.0485483103284	63.0990659929567	TRUE	TRUE	3
ACTG1	1	3.68178320044468	0.902886774722805	21288441.5	0.775725622559009	0	0	99.4764397905759	93.5078854693003	TRUE	TRUE	4
ADAMTS1	1	1.94895618297402	1.28827300149803	21186144	0.771998022684038	0	0	78.4864350309377	37.4215280967693	TRUE	TRUE	5
