cluster	compartment	top10_markers	top50_markers	canonical_positive_marker_evidence	canonical_negative_or_conflicting_evidence	top10_mito_ribosomal_markers	top10_mito_ribosomal_count	top10_conflicting_broad_marker_count	author_sheet	top_author_subtype	top_author_overlap_count	second_author_overlap_count	top_author_overlap_genes	top_author_jaccard	author_label_rule_pass	final_reviewed_label	review_flag	action	cells	samples	subjects	maximum_sample_fraction	maximum_subject_fraction
0	Epithelial	MT-CO3;MT-CYB;MT-ND1;MT-ND4;MT-CO2;MT-ATP6;MT-ND3;MT-CO1;MT-ND2;MT-ND5	MT-CO3;MT-CYB;MT-ND1;MT-ND4;MT-CO2;MT-ATP6;MT-ND3;MT-CO1;MT-ND2;MT-ND5;ADH1C;NXPE4;PNISR;MT-ND4L;NXPE1;MUC4;MLXIP;MUC20-OT1;ZKSCAN1;UGT2A3;ATP2C2;OLFM4;PIGR;FRYL;HMGCS2;PCK1;TRABD2A;ZNF91;PTGDR;CFTR;GABPB1-AS1;ABR;SATB2;NECTIN3;NAALADL2;ZBTB20;AC103702.2;SATB2-AS1;PLCE1;XIST;SPG7;PLCB4;ZFP36L2;SELENBP1;LIMK2;ADD3;BCL11A;ATP10B;PLAGL1;NKTR			MT-CO3;MT-CYB;MT-ND1;MT-ND4;MT-CO2;MT-ATP6;MT-ND3;MT-CO1;MT-ND2;MT-ND5	10	0							FALSE	Epithelial_no_author_sheet	no_author_epithelial_sheet	retain cluster; no whole-cluster deletion	12643	40	19	0.0935695641857154	0.114292493870126
1	Epithelial	RPS3A;RPS14;RPLP1;RPL10;RPS6;RPS8;RPL9;RPL3;RPL13A;RPS4X	RPS3A;RPS14;RPLP1;RPL10;RPS6;RPS8;RPL9;RPL3;RPL13A;RPS4X;RPS12;RPL18A;RPS13;RPL10A;RPL11;RPL13;RPS18;RPL15;RPS23;RPL30;RPS24;RPL32;RPS28;RPS27A;RPL7;RPS15A;RPS3;RPL19;RPL8;RPL41;RPS9;RPL18;RPL7A;RPL5;RPS2;RPL29;RPS19;RPL23A;RPL28;RACK1;RPS7;RPS16;RPLP0;RPL12;TPT1;COX4I1;RPS11;RPL22;RPL21;RPL24			RPS3A;RPS14;RPL10;RPS6;RPS8;RPL9;RPL3;RPL13A;RPS4X	9	0							FALSE	Epithelial_no_author_sheet	no_author_epithelial_sheet	retain cluster; no whole-cluster deletion	9212	40	19	0.0924880590534086	0.124294398610508
2	Epithelial	S100A11;ANXA2;KRT18;ACTB;CD55;CSTB;S100A6;KRT8;GPRC5A;PERP	S100A11;ANXA2;KRT18;ACTB;CD55;CSTB;S100A6;KRT8;GPRC5A;PERP;ACTG1;LDHA;PKM;GAPDH;IFITM3;PHLDA2;TXN;ASS1;S100A14;NEAT1;YWHAZ;S100P;EZR;IL32;RPL22L1;S100A10;SH3BGRL3;TIMP1;KRT19;PRDX1;TPM4;PPA1;SERPINB5;ENO1;CEACAM6;TMSB4X;HSP90B1;PGK1;MYL12B;ANXA4;RPL12;NPM1;MUC13;S100A16;HSP90AA1;TMSB10;ERO1A;HSP90AB1;ACTN4;JPT1				0	0							FALSE	Epithelial_no_author_sheet	no_author_epithelial_sheet	retain cluster; no whole-cluster deletion	6218	38	19	0.222740431006755	0.222740431006755
3	Epithelial	FABP1;SLC26A2;CA2;CA1;SLC26A3;SELENBP1;PHGR1;FXYD3;KRT20;CD24	FABP1;SLC26A2;CA2;CA1;SLC26A3;SELENBP1;PHGR1;FXYD3;KRT20;CD24;KRT19;CDHR5;CEACAM7;ID1;PLAC8;HSD11B2;CKB;TSPAN1;MALL;LGALS4;PIGR;MGLL;MS4A12;SULT1B1;PKIB;TDP2;TMEM54;UGP2;LGALS3;C15orf48;SRI;C10orf99;MT-CO1;CA12;ABCC3;SLC4A4;AMN;CDKN2B-AS1;SLC51B;KRT8;METTL7A;HMGCS2;GPA33;AOC1;CES2;CEACAM1;TST;KLF4;PCK1;MARCKS	CD24			0	0							FALSE	Epithelial_no_author_sheet	no_author_epithelial_sheet	retain cluster; no whole-cluster deletion	6185	40	19	0.0637025060630558	0.105092966855295
4	Epithelial	HMGB2;CENPF;PTTG1;TUBA1B;MKI67;HMGB1;TOP2A;H2AFZ;ARL6IP1;PTMA	HMGB2;CENPF;PTTG1;TUBA1B;MKI67;HMGB1;TOP2A;H2AFZ;ARL6IP1;PTMA;CCNB1;TUBB4B;CDC20;STMN1;ASPM;HMGN2;CKS2;TUBB;KPNA2;UBE2S;CENPE;HNRNPA2B1;RAD21;RAN;UBE2C;HSP90AA1;TPX2;CDKN3;CCNB2;SMC4;TUBA1C;NUCKS1;HNRNPA1;NUSAP1;HSPD1;KIF20B;HSP90AB1;CENPW;RANBP1;MAD2L1;NCL;BIRC5;HSP90B1;ECT2;CCNA2;ANP32E;LSM5;PBK;HNRNPA3;NPM1				0	0							FALSE	Epithelial_no_author_sheet	no_author_epithelial_sheet	retain cluster; no whole-cluster deletion	6037	40	19	0.169951962895478	0.206062613881067
5	Epithelial	PCNA;H2AFZ;RANBP1;TUBA1B;HMGB1;PCLAF;DUT;PTMA;TUBB;STMN1	PCNA;H2AFZ;RANBP1;TUBA1B;HMGB1;PCLAF;DUT;PTMA;TUBB;STMN1;YBX1;RAN;HSPD1;PPIA;MCM3;RPS6;NASP;NPM1;GAPDH;SNRPB;DEK;RPL6;RPS7;TYMS;RPL7A;RPL7;HELLS;MCM4;HMGB2;RPS3;RPL14;RPLP0;RPS2;TXN;RPS13;RPL8;RPS23;RPLP1;RPL35;NCL;FABP5;RPLP2;SET;RPS16;MCM7;LDHB;RPSA;ENO1;RPL23A;NAP1L1				0	0							FALSE	Epithelial_no_author_sheet	no_author_epithelial_sheet	retain cluster; no whole-cluster deletion	5309	39	19	0.234319080806178	0.298737992088906
6	Epithelial	JUN;FOSB;FOS;ELF3;JUNB;IER2;RPL13;HSPA1B;RPL28;ZFP36L2	JUN;FOSB;FOS;ELF3;JUNB;IER2;RPL13;HSPA1B;RPL28;ZFP36L2;RPS18;RPL13A;RPS19;RPS9;HSPA1A;RPS2;SOX4;RPL18A;EGR1;RPS15;GADD45B;RPL36;RPS27;RPL41;RPS14;RPL11;JUND;RPS11;RPS8;PPP1R15A;RHOB;RPL10A;RPS12;RPS5;RPL8;BTG1;RPS29;RPL10;RPS16;RPS3;RPL7A;RPL30;RPL18;RPL29;BTG2;CLDN3;TMEM238;DNAJB1;RPL37A;IER5			RPL13;RPL28	2	0							FALSE	Epithelial_no_author_sheet	no_author_epithelial_sheet	retain cluster; no whole-cluster deletion	5213	40	19	0.0801841549971226	0.0970650297333589
7	Epithelial	CEACAM7;SLC26A3;PLAC8;CEACAM1;TSPAN1;KRT20;FABP1;CLCA4;SLC9A3;SELENOP	CEACAM7;SLC26A3;PLAC8;CEACAM1;TSPAN1;KRT20;FABP1;CLCA4;SLC9A3;SELENOP;GUCA2A;MS4A12;NEAT1;CEACAM5;CDHR5;MALL;DST;B2M;IL32;TRIM31;HPGD;AQP8;CA4;TMPRSS2;FXYD3;MXD1;SDCBP2;PLS1;KLF6;PHGR1;CEACAM6;UGP2;GPA33;LYPD8;MUC13;GCNT3;HLA-B;PKIB;MUC12;CA2;MALAT1;LMO7;EMP1;SMPDL3A;HHLA2;TMIGD1;SPATS2L;MGLL;MISP;MEP1A				0	0							FALSE	Epithelial_no_author_sheet	no_author_epithelial_sheet	retain cluster; no whole-cluster deletion	5131	40	19	0.0785421945039953	0.116546482167219
8	Epithelial	CA7;BEST4;SPIB;CA4;OTOP2;LYPD8;KRT20;NBPF19;GUCA2A;ID1	CA7;BEST4;SPIB;CA4;OTOP2;LYPD8;KRT20;NBPF19;GUCA2A;ID1;HEPACAM2;FKBP1A;NEURL1;CKB;SDCBP2;MT1G;SCIN;AOC1;MT2A;FABP1;CEACAM5;CEACAM1;CEACAM7;FRMD1;MT1H;FXYD3;MEIS1;HES4;SRI;NOTCH2;CCNYL1;NBPF14;DMBT1;B2M;VIPR1;GNPTAB;HSPB1;CDHR5;TDP2;GSN;HLA-B;GUCA2B;CEACAM6;MUC13;MT1E;GPA33;HRCT1;NEAT1;GUCY2C;DST				0	0							FALSE	Epithelial_no_author_sheet	no_author_epithelial_sheet	retain cluster; no whole-cluster deletion	4399	38	18	0.149124801091157	0.178904296431007
9	Epithelial	MT-CO2;PCNA;MT-ND4;MT-ATP6;MT-CO3;MT-CYB;HELLS;ATAD5;BRCA2;HMGB2	MT-CO2;PCNA;MT-ND4;MT-ATP6;MT-CO3;MT-CYB;HELLS;ATAD5;BRCA2;HMGB2;BRCA1;CDCA7;PCLAF;TUBB;ORC6;MCM3;NASP;SMC4;MMS22L;FUS;MYO19;MCM4;CCDC14;PNN;WDR90;DNMT1;TAF1D;ATAD2;SRSF10;SRSF2;MT-ND1;DHFR;ANKRD36C;ZWINT;MKI67;NFATC2IP;RIF1;FANCA;MT-CO1;ILF3;MT-ND5;SYNE2;NCAPD3;NSD2;FANCI;UHRF1;STMN1;EZH2;ASPM;NKTR			MT-CO2;MT-ND4;MT-ATP6;MT-CO3;MT-CYB	5	0							FALSE	Epithelial_no_author_sheet	no_author_epithelial_sheet	retain cluster; no whole-cluster deletion	4397	39	19	0.211052990675461	0.259722538094155
