compartment	cluster	author_subtype	overlap_count	overlap_genes	jaccard	author_overlap_rank	note
Epithelial	0						mmc3.xlsx has no epithelial marker sheet
Epithelial	1						mmc3.xlsx has no epithelial marker sheet
Epithelial	2						mmc3.xlsx has no epithelial marker sheet
Epithelial	3						mmc3.xlsx has no epithelial marker sheet
Epithelial	4						mmc3.xlsx has no epithelial marker sheet
Epithelial	5						mmc3.xlsx has no epithelial marker sheet
Epithelial	6						mmc3.xlsx has no epithelial marker sheet
Epithelial	7						mmc3.xlsx has no epithelial marker sheet
Epithelial	8						mmc3.xlsx has no epithelial marker sheet
Epithelial	9						mmc3.xlsx has no epithelial marker sheet
Epithelial	10						mmc3.xlsx has no epithelial marker sheet
Epithelial	11						mmc3.xlsx has no epithelial marker sheet
Epithelial	12						mmc3.xlsx has no epithelial marker sheet
Epithelial	13						mmc3.xlsx has no epithelial marker sheet
Epithelial	14						mmc3.xlsx has no epithelial marker sheet
Epithelial	15						mmc3.xlsx has no epithelial marker sheet
Epithelial	16						mmc3.xlsx has no epithelial marker sheet
