gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	positive_direction	passes_primary_filter	rank
MT-CO3	0	7.29663793582145	0.624307087071498	664723772.5	0.812467973014991	0	0	100	99.9953640746693	TRUE	TRUE	1
MT-CYB	0	6.21268072536427	0.631962777021588	663613567	0.811111008739706	0	0	100	99.9366423538138	TRUE	TRUE	2
MT-ND1	0	5.48065708103762	0.658319865907591	644995010	0.788354215779885	0	0	99.9683619394131	99.7481147236989	TRUE	TRUE	3
MT-ND4	0	6.21809732316407	0.525745142010685	644480082.5	0.787724838406181	0	0	100	99.9582766720238	TRUE	TRUE	4
MT-CO2	0	6.96985321679559	0.506076509069652	631801887	0.772228735776012	0	0	99.9920904848533	99.9938187662258	TRUE	TRUE	5
MT-ATP6	0	6.53713449090603	0.565140209685366	627701594	0.767217095030942	0	0	100	99.964457905798	TRUE	TRUE	6
MT-ND3	0	5.43266036993289	0.671505683653876	593129570	0.72496095281917	0	0	99.9841809697066	99.8099270614415	TRUE	TRUE	7
MT-CO1	0	6.88622990657277	0.451028017236459	591827195	0.723369106671746	0	0	100	99.9922734577822	TRUE	TRUE	8
MT-ND2	0	4.95534138550733	0.537296150779064	570711874	0.697560608823219	0	0	99.9604524242664	99.6152181975522	TRUE	TRUE	9
MT-ND5	0	4.01418820916614	0.346097064522783	518668268.5	0.633949580576179	0	0	99.8734477576525	98.9600074174805	TRUE	TRUE	10
ADH1C	0	0.863211388602202	0.311693644980718	494730372.5	0.604691150765225	0	0	56.972237601835	35.8202497218445	TRUE	TRUE	11
NXPE4	0	0.49361387668409	0.21378782094557	482493405	0.589734345259107	0	0	43.3757810646207	27.2422425516133	TRUE	TRUE	12
PNISR	0	1.17165664358923	0.224461381580491	480605144	0.587426391714098	9.63412871177403e-218	2.61787455973393e-216	78.5335758917978	70.6283224131537	TRUE	TRUE	13
MT-ND4L	0	1.78456007928768	0.254758136116337	478541429.5	0.584903987662877	1.23899788469686e-201	3.04207168136419e-200	88.752669461362	84.4093831128693	TRUE	TRUE	14
NXPE1	0	0.393802170171128	0.186944335895366	475050203	0.580636787007298	0	0	36.5577790081468	21.8939300284337	TRUE	TRUE	15
MUC4	0	0.720085898468355	0.201854129565568	474954861	0.580520253907855	6.60911901636764e-218	1.79944716664449e-216	56.8615043897809	42.0586599085177	TRUE	TRUE	16
MLXIP	0	0.945787898242888	0.209997437129103	474538818.5	0.580011740115138	1.10100369773936e-189	2.51465952526035e-188	68.0139207466582	59.8528866361726	TRUE	TRUE	17
MUC20-OT1	0	0.784485486650799	0.196285424801669	472431366	0.57743587667872	1.15313981616481e-184	2.54088075358303e-183	61.3303804476786	53.228149338608	TRUE	TRUE	18
ZKSCAN1	0	0.752475968188963	0.166836481650112	463479218	0.566493987971572	1.24792337812298e-137	1.99399447850109e-136	60.1676817211105	52.2808752627024	TRUE	TRUE	19
UGT2A3	0	0.330550898226309	0.137173627058457	463433240.5	0.566437791326026	7.00459932340879e-228	2.03614668915876e-226	33.3227873131377	20.7071331437755	TRUE	TRUE	20
ATP2C2	0	0.437265163266353	0.152066377756905	462737199.5	0.565587045431565	9.24215031319798e-176	1.92683769114959e-174	41.1373882780986	30.0253430584745	TRUE	TRUE	21
OLFM4	0	1.25479518369559	0.324781848720928	462223184	0.564958782762678	9.63014755575943e-152	1.7140416028209e-150	50.1305069999209	37.3501050809742	TRUE	TRUE	22
PIGR	0	2.90589040738179	0.342957396717398	461863592	0.564519266386946	1.88780623127864e-117	2.53728169862812e-116	87.2498615834849	82.508653727284	TRUE	TRUE	23
FRYL	0	0.790590747868914	0.158689161618869	461629081.5	0.564232632632493	3.71045008728754e-126	5.43310260651331e-125	62.3744364470458	55.2787736432192	TRUE	TRUE	24
HMGCS2	0	0.769913576094229	0.184212046698087	460155554.5	0.562431593547686	5.44791626410871e-135	8.57049481388589e-134	52.1632523926283	40.5118061565088	TRUE	TRUE	25
PCK1	0	0.724201585566665	0.193296366498301	459402578	0.561511257438173	6.55439597132837e-139	1.06273192697853e-137	47.59946215297	36.2513907775992	TRUE	TRUE	26
TRABD2A	0	0.442379076973461	0.141949968076536	459271125.5	0.561350587772605	6.11055080029322e-150	1.07028048698894e-148	41.7938780352764	31.5567437260477	TRUE	TRUE	27
ZNF91	0	0.521676378481331	0.143491351262704	458604729.5	0.560536075896027	5.99254150951534e-130	9.0692844782698e-129	47.9237522739856	39.1952033625912	TRUE	TRUE	28
PTGDR	0	0.210878292011424	0.124343389334091	458438094	0.560332403314244	0	0	21.2765957446809	9.43565335640994	TRUE	TRUE	29
CFTR	0	0.383183924108798	0.132151788302229	457524562.5	0.55921582659953	4.73629722900008e-155	8.63110917828186e-154	37.1905402198845	26.6442081839535	TRUE	TRUE	30
GABPB1-AS1	0	0.453472621826562	0.147718828593659	457310732.5	0.558954469876848	1.13339879061687e-142	1.88094950773526e-141	40.2594320968125	30.08406477933	TRUE	TRUE	31
ABR	0	0.448463275460716	0.134908674466949	456495583.5	0.557958142555434	1.67897814607095e-128	2.51198150374347e-127	43.0040338527248	34.165224378786	TRUE	TRUE	32
SATB2	0	0.531441623563662	0.134564466693141	456076322.5	0.557445694905859	3.749518818994e-118	5.07171756042873e-117	47.9158427588389	38.4843614785511	TRUE	TRUE	33
NECTIN3	0	0.313064405158881	0.119401295321845	454905492	0.556014630872296	1.23465145925533e-153	2.21616713303279e-152	32.8482164043344	22.9787365558165	TRUE	TRUE	34
NAALADL2	0	0.219695030473699	0.106909257402802	454545688	0.555574855376584	7.95443388772568e-218	2.16359028168713e-216	24.3375781064621	13.6806156508839	TRUE	TRUE	35
ZBTB20	0	0.380568928045538	0.124938118285847	454293047.5	0.55526606197483	1.24671084907126e-137	1.99321521154712e-136	35.956655856996	26.0554456669551	TRUE	TRUE	36
AC103702.2	0	0.557026761797618	0.130697233897885	454049256	0.554968084387692	1.5422530483704e-105	1.87242457294206e-104	49.276279364075	40.6555198417604	TRUE	TRUE	37
SATB2-AS1	0	0.191535508832616	0.103668513409992	454012031.5	0.554922586219411	1.49271644416827e-258	5.22907127365392e-257	21.2212291386538	10.5065521078007	TRUE	TRUE	38
PLCE1	0	0.37802253149229	0.118922659990206	453733492	0.554582137400921	1.58055336994912e-128	2.36601181928312e-127	37.5227398560468	27.9639015947583	TRUE	TRUE	39
XIST	0	0.834482040780635	0.268904475119231	452861001	0.553515723014118	3.08289770138045e-119	4.20727562730824e-118	37.2300877956181	30.0222524415873	TRUE	TRUE	40
SPG7	0	0.548762852905384	0.128467853443272	452570885	0.553161124655807	2.2143964536234e-96	2.45638112457402e-95	50.0909594241873	43.0801087897144	TRUE	TRUE	41
PLCB4	0	0.307306648373939	0.116605948747655	452412015	0.552966943565536	7.51227733948416e-148	1.29274164304427e-146	30.3725381634106	20.7287674619854	TRUE	TRUE	42
ZFP36L2	0	1.35307540227736	0.142389201199768	451681239.5	0.552073742940288	4.64940304932078e-78	4.28034598102685e-77	77.022858498774	74.2628878724193	TRUE	TRUE	43
SELENBP1	0	0.874242444341298	0.117290213828763	451351019.5	0.551670126904352	1.92712687227882e-84	1.89738853780148e-83	62.0817843866171	50.7911979231055	TRUE	TRUE	44
LIMK2	0	0.364325850598041	0.116314688237237	450713940.5	0.550891448143047	1.36863045223666e-111	1.75786869715347e-110	36.6447836747607	28.3270490789962	TRUE	TRUE	45
ADD3	0	0.651178345105771	0.122567668458058	450610643.5	0.550765191933053	6.61908241449619e-84	6.46141808009339e-83	55.184687178676	47.9462850785017	TRUE	TRUE	46
BCL11A	0	0.344253302773765	0.110766148271903	449667713.5	0.549612682488546	5.5028200098626e-113	7.147947446916e-112	34.3352052519181	25.6583013969588	TRUE	TRUE	47
ATP10B	0	0.574375068840927	0.121969397098745	449297029	0.549159608148793	1.55812977974471e-82	1.49919561977606e-81	50.0830499090406	43.2933613549264	TRUE	TRUE	48
PLAGL1	0	0.293392973014085	0.103245156196806	448853727	0.548617776049095	3.72828352503084e-121	5.18059972990516e-120	30.5702760420786	21.7996662133762	TRUE	TRUE	49
NKTR	0	0.85711528799747	0.113969340039993	446568851.5	0.545825054857411	2.27236167390761e-63	1.76768525235602e-62	66.0207229296844	60.8573371244901	TRUE	TRUE	50
RPS3A	1	3.14957127057852	1.32082341507107	519788783.5	0.828040778227549	0	0	98.8927485887972	82.2388213022614	TRUE	TRUE	1
RPS14	1	3.25590131837177	1.29781762230528	517938365	0.825093000161871	0	0	99.2618323925315	85.0079978867969	TRUE	TRUE	2
RPLP1	1	3.90177205482323	1.23893617974718	517300644	0.824077089449877	0	0	99.9023013460704	93.14089488282	TRUE	TRUE	3
RPL10	1	3.54255237406187	1.32211083461965	517294905.5	0.824067947828979	0	0	99.6200607902736	89.4383869216207	TRUE	TRUE	4
RPS6	1	3.48271979316289	1.2654236282662	517201613	0.82391932978112	0	0	99.3812418584455	87.6260217483821	TRUE	TRUE	5
RPS8	1	3.26615535944906	1.17634485280811	514922000.5	0.820287831433181	0	0	99.4246634824142	86.5283301292869	TRUE	TRUE	6
RPL9	1	2.93124981922827	1.11801986784757	514700188.5	0.819934477557664	0	0	98.523664785063	83.7298035014602	TRUE	TRUE	7
RPL3	1	3.12930522245902	1.19194562756664	513728736.5	0.818386922289783	0	0	98.9036039947894	85.1312680686204	TRUE	TRUE	8
RPL13A	1	3.24775875653765	1.13465685806244	512757696	0.816840022555056	0	0	99.6200607902736	89.0406938350234	TRUE	TRUE	9
RPS4X	1	3.15511542870292	1.21183424097391	512104844	0.815800007658029	0	0	99.0013026487191	84.7218349647066	TRUE	TRUE	10
RPS12	1	3.26212978190664	1.30198097784939	511465698.5	0.814781827670272	0	0	99.4897959183674	83.0415449862789	TRUE	TRUE	11
RPL18A	1	3.12823707567113	1.17514701122617	510913445.5	0.813902070318027	0	0	99.1858445505862	84.8979352244545	TRUE	TRUE	12
RPS13	1	2.79003757933854	1.15155255967852	510835238.5	0.813777483972191	0	0	98.1003039513678	79.2054943281041	TRUE	TRUE	13
