cluster	compartment	top10_markers	top50_markers	canonical_positive_marker_evidence	canonical_negative_or_conflicting_evidence	top10_mito_ribosomal_markers	top10_mito_ribosomal_count	top10_conflicting_broad_marker_count	author_sheet	top_author_subtype	top_author_overlap_count	second_author_overlap_count	top_author_overlap_genes	top_author_jaccard	author_label_rule_pass	final_reviewed_label	review_flag	action	cells	samples	subjects	maximum_sample_fraction	maximum_subject_fraction
0	Fibroblast	DCN;GSN;CFD;FBLN1;TNXB;MGP;CCDC80;SFRP2;MFAP5;FBLN2	DCN;GSN;CFD;FBLN1;TNXB;MGP;CCDC80;SFRP2;MFAP5;FBLN2;EFEMP1;LTBP4;CST3;SFRP1;ADH1B;OGN;C1R;IGFBP6;TIMP2;PLPP3;CXCL12;FBN1;LUM;CD55;ITM2A;PLAC9;GPNMB;SCARA5;CYBRD1;PCOLCE2;GPX3;S100A10;PLTP;COL14A1;MFAP4;SERPING1;FSTL1;MMP2;CD248;PRELP;MRC2;C3;PSAP;S100A4;NPC2;C1S;PI16;CLU;CILP;MGST1				0	0	Fibroblast markers	CXCL12+Fibro	38	0	DCN;GSN;CFD;FBLN1;TNXB;MGP;CCDC80;SFRP2;MFAP5;FBLN2;EFEMP1;LTBP4;CST3;SFRP1;ADH1B;OGN;IGFBP6;TIMP2;PLPP3;CXCL12;FBN1;CD55;ITM2A;PLAC9;GPNMB;SCARA5;CYBRD1;PCOLCE2;GPX3;S100A10;PLTP;FSTL1;CD248;PRELP;PI16;CLU;CILP;MGST1	0.612903225806452	TRUE	CXCL12+Fibro	author_overlap_supported	retain cluster; no whole-cluster deletion	1438	24	16	0.248956884561892	0.248956884561892
1	Fibroblast	MYH11;ADIRF;TAGLN;PLN;ACTA2;MYL9;DSTN;TPM2;C11orf96;CARMN	MYH11;ADIRF;TAGLN;PLN;ACTA2;MYL9;DSTN;TPM2;C11orf96;CARMN;MCAM;SORBS2;FLNA;TSC22D1;CSRP2;RERGL;SPARCL1;CAV1;LMOD1;NTRK2;TINAGL1;PPP1R12A;CSRP1;SNCG;A2M;CRIM1;PTMA;MT-ND1;HSPB1;MYLK;CNN1;PPP1R14A;SYNPO2;KCNMA1;ZFHX3;SLC7A2;IGFBP5;SH3BGRL;NET1;CAV2;PPP1R12B;NDUFA4;ACTG2;SELENOM;SPEG;GADD45B;NR2F2;BCAM;MYL6;RHOB	MYH11;ACTA2			0	0	Fibroblast markers	Myofibroblast	33	0	MYH11;ADIRF;TAGLN;PLN;ACTA2;MYL9;DSTN;TPM2;C11orf96;CARMN;MCAM;SORBS2;FLNA;TSC22D1;CSRP2;RERGL;SPARCL1;CAV1;LMOD1;NTRK2;TINAGL1;PPP1R12A;CSRP1;SNCG;CRIM1;MYLK;CNN1;PPP1R14A;NET1;CAV2;GADD45B;NR2F2;BCAM	0.492537313432836	TRUE	Myofibroblast	author_overlap_supported	retain cluster; no whole-cluster deletion	1428	35	18	0.367647058823529	0.416666666666667
2	Fibroblast	ACTA2;DSTN;MYL9;TPM2;TAGLN;MYH11;ADIRF;RERGL;MCAM;LBH	ACTA2;DSTN;MYL9;TPM2;TAGLN;MYH11;ADIRF;RERGL;MCAM;LBH;TINAGL1;PLN;MYL6;SPARCL1;MGST3;HES4;NET1;PHLDA2;SORBS2;CAV1;TPM1;BCAM;CRIP2;NOTCH3;RCAN2;FRZB;GADD45B;SOD3;CALM2;MYLK;CAV2;CAVIN1;CSRP2;PPP1R14A;C11orf96;MAP3K20;CSRP1;FLNA;MAP3K7CL;TBX2;EFHD1;PTMA;TSC22D1;NTRK2;ZFHX3;IGFBP7;YBX1;CRIP1;CCDC3;CARMN	ACTA2;MYH11			0	0	Fibroblast markers	Myofibroblast	37	0	ACTA2;DSTN;MYL9;TPM2;TAGLN;MYH11;ADIRF;RERGL;MCAM;LBH;TINAGL1;PLN;SPARCL1;HES4;NET1;PHLDA2;SORBS2;CAV1;BCAM;CRIP2;NOTCH3;RCAN2;FRZB;GADD45B;MYLK;CAV2;CSRP2;PPP1R14A;C11orf96;CSRP1;FLNA;MAP3K7CL;TBX2;TSC22D1;NTRK2;IGFBP7;CARMN	0.587301587301587	TRUE	Myofibroblast	author_overlap_supported	retain cluster; no whole-cluster deletion	1167	35	19	0.268209083119109	0.31191088260497
3	Fibroblast	RGS5;COL4A1;COL4A2;COL18A1;IGFBP7;NDUFA4L2;CCDC102B;NOTCH3;ADGRF5;ITGA1	RGS5;COL4A1;COL4A2;COL18A1;IGFBP7;NDUFA4L2;CCDC102B;NOTCH3;ADGRF5;ITGA1;PDGFRB;CALD1;CYTOR;MYO1B;MYH9;SPARC;GJC1;EPS8;PRSS23;EPAS1;MCAM;MEF2C;MIR4435-2HG;UACA;IFITM3;PLXDC1;NR2F2;LHFPL6;ENPEP;PDGFA;ANGPT2;COL5A3;MYL12A;ARPC5;THY1;STOM;ADAP2;SEPT4;CHN1;PHLDA1;JAG1;GUCY1A2;EDNRA;TBX2;EGFL6;ITGB1;SEPT7;OLFML2B;CTSC;ARHGDIB				0	0	Fibroblast markers	Myofibroblast	9	1	RGS5;IGFBP7;NDUFA4L2;NOTCH3;MCAM;MEF2C;NR2F2;JAG1;TBX2	0.0989010989010989	TRUE	Myofibroblast	author_overlap_supported	retain cluster; no whole-cluster deletion	747	34	19	0.227576974564926	0.238286479250335
4	Fibroblast	COL1A1;COL3A1;CTHRC1;COL1A2;VCAN;COL6A3;POSTN;THBS2;LUM;BGN	COL1A1;COL3A1;CTHRC1;COL1A2;VCAN;COL6A3;POSTN;THBS2;LUM;BGN;FAP;MMP2;CDH11;FN1;MXRA5;SPARC;SULF1;COL5A2;SFRP4;AEBP1;MARCKS;RARRES2;C1S;NBL1;HTRA1;PCOLCE;CTSK;VMP1;C3;SERPINF1;COL5A1;ISLR;IGFBP4;CTSB;SULF2;EMILIN1;TMSB10;MXRA8;THY1;MDK;COL11A1;COL8A1;NNMT;SERPINH1;PTGDS;PLXDC2;TIMP1;CHPF;DCN;C1R	COL3A1;COL1A2			0	0	Fibroblast markers	CCL2+Fibro	20	1	COL1A1;COL3A1;CTHRC1;COL1A2;VCAN;COL6A3;POSTN;FAP;CDH11;MXRA5;SULF1;COL5A2;SFRP4;NBL1;VMP1;COL5A1;CTSB;EMILIN1;PTGDS;TIMP1	0.25	TRUE	CCL2+Fibro	author_overlap_supported	retain cluster; no whole-cluster deletion	723	22	16	0.464730290456432	0.474412171507607
5	Fibroblast	SOD2;WNT5A;NEAT1;TMEM158;COL7A1;IER3;CXCL8;SAT1;HIF1A;TNC	SOD2;WNT5A;NEAT1;TMEM158;COL7A1;IER3;CXCL8;SAT1;HIF1A;TNC;MMP1;FTH1;CXCL1;NAMPT;ACSL4;PLOD2;INHBA;COL5A2;PHLDA1;LOXL2;CEBPB;MMP3;TMEM132A;PLAU;COL12A1;COL3A1;CHI3L1;IL24;COL6A3;CD44;CTSB;ADM;GAPDH;SERPINH1;COL4A1;TGFBI;SLC25A37;STC1;PKM;VMP1;AKR1B1;COL6A1;CALU;GK;TIMP1;F3;TCIM;CXCL5;COL4A2;RAI14	COL3A1			0	0	Fibroblast markers	CCL2+Fibro	21	0	SOD2;WNT5A;NEAT1;TMEM158;COL7A1;IER3;SAT1;TNC;FTH1;INHBA;COL5A2;PLAU;COL12A1;COL3A1;COL6A3;CTSB;VMP1;COL6A1;TIMP1;F3;TCIM	0.265822784810127	TRUE	CCL2+Fibro	author_overlap_supported	retain cluster; no whole-cluster deletion	559	23	16	0.282647584973166	0.282647584973166
6	Fibroblast	C1S;ADAMDEC1;TMEM176B;EMILIN1;CCL2;CXCL14;CTSC;C1R;PTGDS;VCAM1	C1S;ADAMDEC1;TMEM176B;EMILIN1;CCL2;CXCL14;CTSC;C1R;PTGDS;VCAM1;SOD2;TYMP;CFH;LUM;APOE;TMEM176A;ADAM28;CCL11;A2M;VMP1;RARRES2;C3;COL3A1;NNMT;MMP2;CD74;CDH11;IGKC;ZFP36L2;GGT5;UGCG;FBLN1;PPA1;WARS;C2;LAP3;TNFSF10;PDPN;CTSK;IL6ST;TCIM;TPT1;TCF21;FGF7;CD63;CTSS;BASP1;NFKBIA;TIMP1;CALR	COL3A1			0	0	Fibroblast markers	CCL2+Fibro	17	1	ADAMDEC1;EMILIN1;CCL2;CXCL14;CTSC;PTGDS;VCAM1;SOD2;CCL11;VMP1;COL3A1;CD74;CDH11;IGKC;PDPN;TCIM;TIMP1	0.204819277108434	TRUE	CCL2+Fibro	author_overlap_supported	retain cluster; no whole-cluster deletion	488	33	18	0.256147540983607	0.276639344262295
7	Fibroblast	CXCL14;F3;PDGFRA;PLAT;FENDRR;POSTN;COL6A1;EDNRB;SOX6;EMILIN1	CXCL14;F3;PDGFRA;PLAT;FENDRR;POSTN;COL6A1;EDNRB;SOX6;EMILIN1;FOXF1;DDHD1;WNT5A;COL5A1;COL3A1;TRPA1;LAMA4;COL6A2;F2R;TCF4;BMP4;PTCH1;LAMB1;HSD17B2;ALKAL2;DLL1;PDGFD;COL6A3;MCTP2;ETS2;NRG1;COL4A5;ABCC4;VCAN;RGS10;TMEM176B;CYGB;HSP90B1;A2M;PLAU;RBP1;CTSC;CDH11;AGT;PITX1;GJA1;ST5;TMEM176A;PCDH18;TGFBI	COL3A1			0	0	Fibroblast markers	CCL2+Fibro	15	0	CXCL14;F3;PDGFRA;PLAT;POSTN;COL6A1;EMILIN1;WNT5A;COL5A1;COL3A1;COL6A3;VCAN;PLAU;CTSC;CDH11	0.176470588235294	TRUE	CCL2+Fibro	author_overlap_supported	retain cluster; no whole-cluster deletion	364	33	16	0.118131868131868	0.131868131868132
8	Fibroblast	DUSP1;C3;ZFP36;CCDC80;EGR1;LMNA;CYR61;KLF6;FOSB;MEG3	DUSP1;C3;ZFP36;CCDC80;EGR1;LMNA;CYR61;KLF6;FOSB;MEG3;NR4A1;ANXA1;THBS1;DCN;JUND;MCL1;GPRC5A;S100A10;EFEMP1;ZFP36L1;ATF3;TSHZ2;PTGIS;EMP1;COL1A2;ABL2;MGP;SERPINE1;FBLN1;COL1A1;SOCS3;NFKBIZ;MYC;MYADM;COL3A1;IGF1;EGR3;FOS;JUNB;FSTL1;MMP19;COL6A2;AHNAK;C1S;OGN;CST3;LIMA1;ALDH1A3;TNXB;MMP2	COL1A2;COL3A1			0	0	Fibroblast markers	CXCL12+Fibro	10	3	CCDC80;DCN;S100A10;EFEMP1;MGP;FBLN1;FSTL1;OGN;CST3;TNXB	0.111111111111111	TRUE	CXCL12+Fibro	author_overlap_supported	retain cluster; no whole-cluster deletion	267	27	17	0.172284644194757	0.183520599250936
9	Fibroblast	PIGR;LGALS4;KRT8;ELF3;EPCAM;TSPAN8;MT-CO1;CD24;KRT18;MT-CO2	PIGR;LGALS4;KRT8;ELF3;EPCAM;TSPAN8;MT-CO1;CD24;KRT18;MT-CO2;PHGR1;MT-CO3;MT-ND4;C15orf48;KRT19;LLGL2;SPINT2;MT-ND1;ATP1B1;KLF5;FXYD3;MT-ND2;CLDN3;FAM3D;ABCC3;CDH17;MT-ND5;FABP1;DSP;CLDN7;CLDN4;CEACAM5;MT-CYB;MT-ND3;HMGCS2;AGR2;TSPAN1;MUC13;ST14;RBM47;DSG2;SLC26A2;SLC44A4;MT-ATP6;GPX2;ERBB3;CA2;SMIM22;AMN;MAL2		EPCAM;CD24	MT-CO1;MT-CO2	2	2	Fibroblast markers	CCL2+Fibro	0	0		0	FALSE	Unresolved_review	manual_review_required	retain cluster; no whole-cluster deletion	233	36	19	0.133047210300429	0.158798283261803
