author_subtype	compartment	cluster	overlap_count	overlap_genes	jaccard	author_overlap_rank
CXCL12+Fibro	Fibroblast	0	38	DCN;GSN;CFD;FBLN1;TNXB;MGP;CCDC80;SFRP2;MFAP5;FBLN2;EFEMP1;LTBP4;CST3;SFRP1;ADH1B;OGN;IGFBP6;TIMP2;PLPP3;CXCL12;FBN1;CD55;ITM2A;PLAC9;GPNMB;SCARA5;CYBRD1;PCOLCE2;GPX3;S100A10;PLTP;FSTL1;CD248;PRELP;PI16;CLU;CILP;MGST1	0.612903225806452	1
CCL2+Fibro	Fibroblast	0	0		0	2
Myofibroblast	Fibroblast	0	0		0	3
Myofibroblast	Fibroblast	1	33	MYH11;ADIRF;TAGLN;PLN;ACTA2;MYL9;DSTN;TPM2;C11orf96;CARMN;MCAM;SORBS2;FLNA;TSC22D1;CSRP2;RERGL;SPARCL1;CAV1;LMOD1;NTRK2;TINAGL1;PPP1R12A;CSRP1;SNCG;CRIM1;MYLK;CNN1;PPP1R14A;NET1;CAV2;GADD45B;NR2F2;BCAM	0.492537313432836	1
CCL2+Fibro	Fibroblast	1	0		0	2
CXCL12+Fibro	Fibroblast	1	0		0	3
CCL2+Fibro	Fibroblast	10	1	IL32	0.0101010101010101	1
CXCL12+Fibro	Fibroblast	10	0		0	2
Myofibroblast	Fibroblast	10	0		0	3
CCL2+Fibro	Fibroblast	11	9	NEAT1;VMP1;COL7A1;COL1A1;IGKC;COL3A1;SAT1;POSTN;VCAN	0.0989010989010989	1
CXCL12+Fibro	Fibroblast	11	0		0	2
Myofibroblast	Fibroblast	11	0		0	3
CCL2+Fibro	Fibroblast	12	2	CD74;IGKC	0.0204081632653061	1
CXCL12+Fibro	Fibroblast	12	0		0	2
Myofibroblast	Fibroblast	12	0		0	3
CXCL12+Fibro	Fibroblast	13	19	DCN;GSN;LTBP4;ADH1B;TNXB;OGN;MGP;MFAP5;CFD;FBLN1;PRELP;IGFBP6;SFRP2;ITM2A;TIMP2;PI16;SFRP1;CCDC80;CYBRD1	0.234567901234568	1
CCL2+Fibro	Fibroblast	13	1	PTGDS	0.0101010101010101	2
Myofibroblast	Fibroblast	13	0		0	3
CXCL12+Fibro	Fibroblast	14	2	CLU;S100A10	0.0204081632653061	1
CCL2+Fibro	Fibroblast	14	1	SAT1	0.0101010101010101	2
Myofibroblast	Fibroblast	14	0		0	3
Myofibroblast	Fibroblast	15	2	SPARCL1;SYNE2	0.0204081632653061	1
CCL2+Fibro	Fibroblast	15	1	CD74	0.0101010101010101	2
CXCL12+Fibro	Fibroblast	15	0		0	3
Myofibroblast	Fibroblast	16	11	MYLK;TAGLN;FLNA;MYH11;ACTA2;TPM2;CSRP1;MYL9;CNN1;CARMN;DSTN	0.123595505617978	1
CCL2+Fibro	Fibroblast	16	4	CXCL14;NBL1;TCIM;GREM1	0.0416666666666667	2
CXCL12+Fibro	Fibroblast	16	0		0	3
CCL2+Fibro	Fibroblast	17	0		0	1
CXCL12+Fibro	Fibroblast	17	0		0	2
Myofibroblast	Fibroblast	17	0		0	3
Myofibroblast	Fibroblast	2	37	ACTA2;DSTN;MYL9;TPM2;TAGLN;MYH11;ADIRF;RERGL;MCAM;LBH;TINAGL1;PLN;SPARCL1;HES4;NET1;PHLDA2;SORBS2;CAV1;BCAM;CRIP2;NOTCH3;RCAN2;FRZB;GADD45B;MYLK;CAV2;CSRP2;PPP1R14A;C11orf96;CSRP1;FLNA;MAP3K7CL;TBX2;TSC22D1;NTRK2;IGFBP7;CARMN	0.587301587301587	1
CCL2+Fibro	Fibroblast	2	0		0	2
CXCL12+Fibro	Fibroblast	2	0		0	3
Myofibroblast	Fibroblast	3	9	RGS5;IGFBP7;NDUFA4L2;NOTCH3;MCAM;MEF2C;NR2F2;JAG1;TBX2	0.0989010989010989	1
CCL2+Fibro	Fibroblast	3	1	CTSC	0.0101010101010101	2
CXCL12+Fibro	Fibroblast	3	0		0	3
CCL2+Fibro	Fibroblast	4	20	COL1A1;COL3A1;CTHRC1;COL1A2;VCAN;COL6A3;POSTN;FAP;CDH11;MXRA5;SULF1;COL5A2;SFRP4;NBL1;VMP1;COL5A1;CTSB;EMILIN1;PTGDS;TIMP1	0.25	1
CXCL12+Fibro	Fibroblast	4	1	DCN	0.0101010101010101	2
Myofibroblast	Fibroblast	4	0		0	3
