gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	positive_direction	passes_primary_filter	rank
DCN	0	4.96303201548145	3.5945118614653	10195480	0.983771572723397	0	0	100	45.4558068544471	TRUE	TRUE	1
GSN	0	3.98390715990211	2.49407596915683	10062166	0.970907977929818	0	0	99.9304589707928	75.2462883307895	TRUE	TRUE	2
CFD	0	4.57375395905978	4.226407607232	10020012	0.966840498333312	0	0	96.4534075104311	14.166782294991	TRUE	TRUE	3
FBLN1	0	3.77185683023233	2.95104208911912	10010043	0.965878580031429	0	0	99.5132127955494	35.5903982239489	TRUE	TRUE	4
TNXB	0	2.72267545418689	2.54445571964147	9881133	0.953439931391073	0	0	94.6453407510431	9.60177605106147	TRUE	TRUE	5
MGP	0	4.70413208008236	3.04980225847448	9848876.5	0.950327470993372	0	0	99.7218358831711	65.200499514361	TRUE	TRUE	6
CCDC80	0	3.19115798931333	2.43639350834915	9827583.5	0.948272889149457	0	0	98.7482614742698	40.8491744137644	TRUE	TRUE	7
SFRP2	0	3.63283341235147	3.20716603504775	9674585.5	0.933509966453956	0	0	93.8803894297636	16.9141112806993	TRUE	TRUE	8
MFAP5	0	3.00743743567845	2.82418274678558	9652592.5	0.931387840943542	0	0	89.8470097357441	9.04676009435271	TRUE	TRUE	9
FBLN2	0	2.28344658938101	2.00896708786524	9615372.5	0.927796447704895	0	0	91.4464534075104	18.4404051616484	TRUE	TRUE	10
MYH11	1	3.18802623739759	2.38536429933981	9068727.5	0.879956977941516	0	0	97.1288515406162	28.8485520299293	TRUE	TRUE	1
ADIRF	1	2.98580696857169	2.0112618171462	8771032.5	0.851071029769813	0	0	92.6470588235294	42.164334210891	TRUE	TRUE	2
TAGLN	1	3.89401145577154	2.19690923135811	8487507	0.823559976852041	0	0	97.8291316526611	55.8819454066787	TRUE	TRUE	3
PLN	1	1.96687241862954	1.4923835300667	8459495	0.820841915815793	0	0	82.4229691876751	23.7633365664404	TRUE	TRUE	4
ACTA2	1	3.94578650880874	2.30497716809701	8399040	0.814975844848124	0	0	98.3893557422969	53.2769848967715	TRUE	TRUE	5
MYL9	1	3.22268680909429	1.53468576470734	8337626.5	0.809016768686136	3.99257838653243e-304	8.44553177317349e-301	97.2689075630252	69.7381183317168	TRUE	TRUE	6
DSTN	1	3.04340785574019	1.33568094915233	8292454.5	0.804633638130325	1.28215531116531e-293	1.9587771612075e-290	95.5882352941177	74.8510461410559	TRUE	TRUE	7
TPM2	1	3.14921966713105	1.53463663497949	8278114.5	0.803242198916424	3.43554950491515e-295	5.90463598972886e-292	96.4285714285714	65.8999584314812	TRUE	TRUE	8
