cluster	compartment	top10_markers	top50_markers	canonical_positive_marker_evidence	canonical_negative_or_conflicting_evidence	top10_mito_ribosomal_markers	top10_mito_ribosomal_count	top10_conflicting_broad_marker_count	author_sheet	top_author_subtype	top_author_overlap_count	second_author_overlap_count	top_author_overlap_genes	top_author_jaccard	author_label_rule_pass	final_reviewed_label	review_flag	action	cells	samples	subjects	maximum_sample_fraction	maximum_subject_fraction
0	Myeloid	GPNMB;CTSB;APOE;CTSD;FTL;APOC1;LIPA;CD63;PRDX1;CSTB	GPNMB;CTSB;APOE;CTSD;FTL;APOC1;LIPA;CD63;PRDX1;CSTB;PLD3;CD9;C1QB;CAPG;CTSL;C1QA;CD68;TREM2;C1QC;NPC2;A2M;PSAP;ACP5;CTSZ;CD81;SPP1;MSR1;LGMN;FABP5;ASAH1;LILRB4;ANXA2;LGALS3;CXCL16;NUPR1;FCGR3A;SERPING1;DAB2;ATP6AP2;MGST3;RNASE1;NPL;GLUL;FBP1;TIMP2;ADAMDEC1;FCER1G;IL4I1;GSN;GRN	CD68			0	0	Myeloid cell markers	SPP1+Mac	37	14	GPNMB;CTSB;APOE;CTSD;FTL;APOC1;LIPA;CD63;PRDX1;CSTB;PLD3;CD9;C1QB;CAPG;CTSL;C1QA;CD68;TREM2;C1QC;A2M;ACP5;CTSZ;CD81;SPP1;MSR1;FABP5;LILRB4;ANXA2;NUPR1;SERPING1;ATP6AP2;MGST3;RNASE1;FBP1;ADAMDEC1;IL4I1;GSN	0.587301587301587	TRUE	SPP1+Mac	author_overlap_supported	retain cluster; no whole-cluster deletion	2000	33	19	0.512	0.515
1	Myeloid	IL1B;NAMPT;SRGN;SOD2;TIMP1;BCL2A1;PLAUR;FTH1;CD44;NFKBIA	IL1B;NAMPT;SRGN;SOD2;TIMP1;BCL2A1;PLAUR;FTH1;CD44;NFKBIA;SLC2A3;SAT1;IER3;SOCS3;SLC25A37;S100A8;CEBPB;S100A9;VEGFA;TNFAIP3;CXCL8;SERPINB9;VCAN;PTGS2;SLC11A1;IL1RN;NEAT1;CD300E;GK;MXD1;EREG;H3F3B;S100A10;C15orf48;G0S2;PPIF;NFKBIZ;TREM1;ATP13A3;H3F3A;FOSL2;AQP9;ZFP36;UPP1;FCN1;S100A12;DDIT4;NLRP3;CD55;FPR1				0	0	Myeloid cell markers	IL1B+Mono	33	10	IL1B;NAMPT;SRGN;SOD2;TIMP1;BCL2A1;PLAUR;CD44;NFKBIA;SLC2A3;IER3;SOCS3;SLC25A37;VEGFA;TNFAIP3;CXCL8;SERPINB9;PTGS2;SLC11A1;IL1RN;NEAT1;CD300E;GK;MXD1;EREG;C15orf48;G0S2;PPIF;ATP13A3;AQP9;S100A12;DDIT4;NLRP3	0.492537313432836	TRUE	IL1B+Mono	author_overlap_supported	retain cluster; no whole-cluster deletion	1552	35	19	0.166237113402062	0.166237113402062
2	Myeloid	FCN1;S100A8;VCAN;S100A4;MNDA;S100A9;S100A6;COTL1;CTSS;H3F3A	FCN1;S100A8;VCAN;S100A4;MNDA;S100A9;S100A6;COTL1;CTSS;H3F3A;S100A12;LYZ;CLEC12A;LST1;NEAT1;RPS24;TXNIP;CEBPD;CSTA;NACA;VMP1;C1orf162;TSPO;FOS;CSF3R;RPL28;CORO1A;CFP;SH3BGRL3;FGL2;PTPRC;SLC11A1;AP1S2;CD300E;RPS13;CD36;CD37;CD48;EVI2B;TKT;STXBP2;AIF1;RPL11;VSIR;RPL39;RPL34;RPL6;PABPC1;RGS2;FGR				0	0	Myeloid cell markers	FCN1+Mono	28	4	FCN1;S100A8;VCAN;S100A4;MNDA;S100A9;S100A6;COTL1;CTSS;S100A12;CLEC12A;LST1;CEBPD;CSTA;FOS;CSF3R;CORO1A;CFP;AP1S2;CD300E;CD36;CD37;CD48;EVI2B;TKT;STXBP2;RGS2;FGR	0.388888888888889	TRUE	FCN1+Mono	author_overlap_supported	retain cluster; no whole-cluster deletion	1299	39	19	0.140107775211701	0.180908391070054
3	Myeloid	SELENOP;C1QA;C1QC;C1QB;MS4A6A;FOLR2;ITM2B;CD74;SLCO2B1;MAF	SELENOP;C1QA;C1QC;C1QB;MS4A6A;FOLR2;ITM2B;CD74;SLCO2B1;MAF;RNASE1;MS4A4A;SLC40A1;STAB1;MS4A7;MRC1;HLA-DRA;HLA-DQA1;CD14;DAB2;HLA-DPA1;A2M;CD163;CST3;PLTP;FCGR3A;CTSC;HLA-DQB1;HLA-DMA;FCGRT;F13A1;MAFB;HLA-DRB1;GPR34;SDC3;VSIG4;HLA-DPB1;NPC2;HLA-DMB;TMEM176B;CSF1R;MARCKS;GPR155;PLD3;SERPING1;APOE;MSR1;HLA-DQA2;ADAP2;KLF2	CD14			0	0	Myeloid cell markers	FOLR2+Mac	43	9	SELENOP;C1QA;C1QC;C1QB;MS4A6A;FOLR2;ITM2B;CD74;SLCO2B1;MAF;RNASE1;MS4A4A;SLC40A1;STAB1;MS4A7;MRC1;HLA-DRA;HLA-DQA1;CD14;DAB2;A2M;CD163;PLTP;FCGR3A;CTSC;HLA-DQB1;HLA-DMA;F13A1;MAFB;GPR34;SDC3;VSIG4;HLA-DMB;TMEM176B;CSF1R;GPR155;PLD3;SERPING1;APOE;MSR1;HLA-DQA2;ADAP2;KLF2	0.754385964912281	TRUE	FOLR2+Mac	author_overlap_supported	retain cluster; no whole-cluster deletion	1282	38	19	0.538221528861155	0.557722308892356
4	Myeloid	HLA-DPB1;PPA1;RPS23;RPS11;HLA-DQB1;RPS24;RPS3A;RPS6;RPS18;HLA-DPA1	HLA-DPB1;PPA1;RPS23;RPS11;HLA-DQB1;RPS24;RPS3A;RPS6;RPS18;HLA-DPA1;RPL6;RPL23A;RPS7;JAML;RPS4X;RPL11;RPL18A;COTL1;LGALS2;CLEC10A;RPL4;RPS2;RPL29;RPS14;RPS19;RPL37;RPL13;RPS8;RPL19;RPL14;RPL7A;RPL15;RPL10A;TMSB4X;RPL9;RPL32;CD1C;RPS13;RPL22;RPS3;RPL18;ACTB;RPS16;HLA-DRB1;RPL3;CD1E;RPL26;RPSA;CST3;RPL5			RPS23;RPS11;RPS24;RPS3A;RPS6;RPS18	6	0	Myeloid cell markers	CD1C+cDC	20	17	HLA-DPB1;PPA1;RPS23;RPS11;HLA-DQB1;RPS3A;RPS6;RPS18;HLA-DPA1;RPL23A;JAML;RPS4X;COTL1;LGALS2;CLEC10A;RPL37;CD1C;HLA-DRB1;CD1E;CST3	0.25	FALSE	Unresolved_review	manual_review_required	retain cluster; no whole-cluster deletion	733	40	19	0.195088676671214	0.229195088676671
5	Myeloid	IL32;TRAC;CD3D;TRBC2;CD2;CD3E;EVL;CCL5;GZMA;CD7	IL32;TRAC;CD3D;TRBC2;CD2;CD3E;EVL;CCL5;GZMA;CD7;CD3G;LCK;BTG1;RPS27;ACAP1;CST7;RPS3;TRBC1;CD52;ITM2A;NKG7;RPL13;RPS29;RPS27A;MALAT1;GZMK;LTB;CLEC2D;CD247;SPOCK2;KLRB1;CD69;RPS4X;CXCR4;SYNE2;TRAF3IP3;RPL23A;RPS26;ETS1;RPSA;RPL3;STK17A;CD96;TSC22D3;CTSW;RPL30;CORO1A;HLA-A;PTPRC;RORA		TRAC;CD3D;CD3E		0	3	Myeloid cell markers	CD1C+cDC	6	4	CST7;CD52;LTB;RPS4X;RPL23A;CORO1A	0.0638297872340426	FALSE	Unresolved_review	manual_review_required	retain cluster; no whole-cluster deletion	509	30	19	0.514734774066798	0.526522593320236
6	Myeloid	HSPA1A;JUNB;HSPA1B;FOSB;JUN;HSP90AA1;ZFP36;GADD45B;FOS;ATF3	HSPA1A;JUNB;HSPA1B;FOSB;JUN;HSP90AA1;ZFP36;GADD45B;FOS;ATF3;DUSP1;DNAJB1;JUND;PPP1R15A;IER2;NEAT1;CD83;KLF4;NR4A2;IER5;AC020916.1;KLF2;ZFP36L1;SAT1;DDX3X;IER3;RHOB;EGR1;NFKBIA;MAFB;MT-ATP6;MCL1;NFKBIZ;EIF4A1;ZFP36L2;CCNL1;MT-ND1;HERPUD1;MT-CO1;MT-ND4;MALAT1;IFRD1;RGS1;MT-CO3;RSRP1;HSPA8;BRD2;MT-ND5;MT-CYB;RGS2				0	0	Myeloid cell markers	CALHM6+Mac	10	3	JUNB;ZFP36;FOS;ATF3;DUSP1;KLF4;NR4A2;ZFP36L1;NFKBIA;ZFP36L2	0.111111111111111	TRUE	CALHM6+Mac	author_overlap_supported	retain cluster; no whole-cluster deletion	409	36	19	0.364303178484108	0.381418092909535
7	Myeloid	GBP1;TYMP;CALHM6;CXCL10;PSME2;VAMP5;GBP5;WARS;PPA1;LAP3	GBP1;TYMP;CALHM6;CXCL10;PSME2;VAMP5;GBP5;WARS;PPA1;LAP3;GBP4;ANKRD22;C15orf48;CXCL11;CXCL9;ACTB;TMSB10;PRELID1;STAT1;PSMB9;FCGR1A;PFN1;S100A11;CALR;IDO1;PSMA4;UBE2L6;TAP1;IL4I1;TNFSF10;CYBA;POMP;CD40;ENO1;SLAMF7;RARRES3;SNX10;CTSH;SMCO4;PLEK;LDHA;PKM;CD53;HSPA5;PSMB3;IFITM3;PSTPIP2;FPR1;DRAM1;SERPINA1				0	0	Myeloid cell markers	CALHM6+Mac	18	2	GBP1;TYMP;CALHM6;CXCL10;PSME2;VAMP5;GBP5;WARS;PPA1;LAP3;GBP4;ANKRD22;TNFSF10;ENO1;RARRES3;SNX10;LDHA;IFITM3	0.219512195121951	TRUE	CALHM6+Mac	author_overlap_supported	retain cluster; no whole-cluster deletion	357	28	18	0.352941176470588	0.364145658263305
8	Myeloid	KRT8;EPCAM;KRT18;LGALS4;PIGR;PHGR1;CD24;ELF3;TSPAN8;MT-CO2	KRT8;EPCAM;KRT18;LGALS4;PIGR;PHGR1;CD24;ELF3;TSPAN8;MT-CO2;AGR2;KRT19;MT-ND4;MT-ND2;MT-CO3;CEACAM5;MT-CO1;KLF5;DSP;MT-CYB;CLDN3;TPM1;FXYD3;MT-ND1;CLDN4;ATP1B1;MGST1;MUC13;CDH17;LCN2;PDLIM1;DSG2;LLGL2;SLC12A2;GPX2;FAM84A;MT-ND5;STARD10;CLDN7;ERBB3;MT-ND3;ATP8B1;SMIM22;SPTBN1;S100A14;FAM3D;ITM2C;SOX9;ITGA6;PERP		EPCAM;CD24	MT-CO2	1	2	Myeloid cell markers	LILR4A+pDC	1	0	ITM2C	0.0101010101010101	FALSE	Unresolved_review	manual_review_required	retain cluster; no whole-cluster deletion	278	33	17	0.122302158273381	0.12589928057554
9	Myeloid	STMN1;H2AFZ;HMGB1;TUBA1B;TUBB;HMGB2;PTMA;HMGN2;PCLAF;CKS1B	STMN1;H2AFZ;HMGB1;TUBA1B;TUBB;HMGB2;PTMA;HMGN2;PCLAF;CKS1B;RAN;PPIA;PCNA;TK1;MKI67;TYMS;DUT;RANBP1;TOP2A;MAD2L1;ZWINT;CDK1;UBE2C;NUCKS1;RPA3;TUBA1C;DEK;H2AFV;PTTG1;GGH;SMC4;IDH2;LDHB;CENPF;KPNA2;NASP;SLC25A5;CENPK;GAPDH;ENO1;NUSAP1;PFN1;SMC2;YWHAH;CENPM;YBX1;H2AFX;HMGN1;LDHA;BIRC5				0	0	Myeloid cell markers	MKI67+Mac	39	3	STMN1;H2AFZ;HMGB1;TUBA1B;TUBB;HMGB2;PTMA;HMGN2;PCLAF;CKS1B;RAN;PCNA;TK1;MKI67;TYMS;DUT;RANBP1;TOP2A;MAD2L1;ZWINT;CDK1;UBE2C;NUCKS1;RPA3;TUBA1C;DEK;PTTG1;GGH;SMC4;IDH2;LDHB;CENPF;KPNA2;NASP;NUSAP1;YWHAH;CENPM;H2AFX;BIRC5	0.639344262295082	TRUE	MKI67+Mac	author_overlap_supported	retain cluster; no whole-cluster deletion	232	26	17	0.245689655172414	0.271551724137931
