author_subtype	compartment	cluster	overlap_count	overlap_genes	jaccard	author_overlap_rank
SPP1+Mac	Myeloid	0	37	GPNMB;CTSB;APOE;CTSD;FTL;APOC1;LIPA;CD63;PRDX1;CSTB;PLD3;CD9;C1QB;CAPG;CTSL;C1QA;CD68;TREM2;C1QC;A2M;ACP5;CTSZ;CD81;SPP1;MSR1;FABP5;LILRB4;ANXA2;NUPR1;SERPING1;ATP6AP2;MGST3;RNASE1;FBP1;ADAMDEC1;IL4I1;GSN	0.587301587301587	1
FOLR2+Mac	Myeloid	0	14	GPNMB;APOE;APOC1;PLD3;C1QB;C1QA;C1QC;A2M;MSR1;LGMN;FCGR3A;SERPING1;DAB2;RNASE1	0.162790697674419	2
TMSB4X+Mac	Myeloid	0	2	FTL;PRDX1	0.0204081632653061	3
CALHM6+Mac	Myeloid	0	0		0	4
CCL19+mDC	Myeloid	0	0		0	5
CD1C+cDC	Myeloid	0	0		0	6
FCN1+Mono	Myeloid	0	0		0	7
IL1B+Mono	Myeloid	0	0		0	8
LILR4A+pDC	Myeloid	0	0		0	9
MKI67+Mac	Myeloid	0	0		0	10
IL1B+Mono	Myeloid	1	33	IL1B;NAMPT;SRGN;SOD2;TIMP1;BCL2A1;PLAUR;CD44;NFKBIA;SLC2A3;IER3;SOCS3;SLC25A37;VEGFA;TNFAIP3;CXCL8;SERPINB9;PTGS2;SLC11A1;IL1RN;NEAT1;CD300E;GK;MXD1;EREG;C15orf48;G0S2;PPIF;ATP13A3;AQP9;S100A12;DDIT4;NLRP3	0.492537313432836	1
FCN1+Mono	Myeloid	1	10	NAMPT;SOCS3;S100A8;S100A9;VCAN;CD300E;FCN1;S100A12;CD55;FPR1	0.111111111111111	2
CALHM6+Mac	Myeloid	1	7	NFKBIA;CEBPB;TNFAIP3;S100A10;ZFP36;FCN1;DDIT4	0.0752688172043011	3
CCL19+mDC	Myeloid	1	0		0	4
CD1C+cDC	Myeloid	1	0		0	5
FOLR2+Mac	Myeloid	1	0		0	6
LILR4A+pDC	Myeloid	1	0		0	7
MKI67+Mac	Myeloid	1	0		0	8
SPP1+Mac	Myeloid	1	0		0	9
TMSB4X+Mac	Myeloid	1	0		0	10
TMSB4X+Mac	Myeloid	10	8	IGKC;RPS3;RPS5;RPL3;RPS4X;RPS6;RPSA;RPL19	0.0869565217391304	1
CD1C+cDC	Myeloid	10	7	LTB;CD52;RPS23;RPL23A;RPS18;RPS4X;RPS6	0.0752688172043011	2
FCN1+Mono	Myeloid	10	3	CD37;CD52;POU2F2	0.0309278350515464	3
LILR4A+pDC	Myeloid	10	3	LTB;BCL11A;JCHAIN	0.0309278350515464	4
CALHM6+Mac	Myeloid	10	1	RPSA	0.0101010101010101	5
CCL19+mDC	Myeloid	10	1	MALAT1	0.0101010101010101	6
FOLR2+Mac	Myeloid	10	0		0	7
IL1B+Mono	Myeloid	10	0		0	8
MKI67+Mac	Myeloid	10	0		0	9
SPP1+Mac	Myeloid	10	0		0	10
CCL19+mDC	Myeloid	11	36	BIRC3;CCR7;FSCN1;LAMP3;TXN;MARCKSL1;CCL19;BASP1;DAPP1;SAMSN1;LSP1;STK4;RAB9A;DUSP5;PPA1;CCL22;GPR157;IL7R;RPS27L;MALAT1;NUB1;REL;EBI3;IDO1;ID2;RGS1;TNFAIP2;POGLUT1;CSF2RA;GRSF1;LAD1;MALT1;CD83;SINHCAF;ETV3;ERICH1	0.5625	1
CD1C+cDC	Myeloid	11	3	LSP1;PPA1;IDO1	0.0309278350515464	2
TMSB4X+Mac	Myeloid	11	3	PPA1;GSTP1;HINT1	0.0309278350515464	3
LILR4A+pDC	Myeloid	11	2	TXN;SEC61B	0.0204081632653061	4
CALHM6+Mac	Myeloid	11	1	PPA1	0.0101010101010101	5
FCN1+Mono	Myeloid	11	0		0	6
FOLR2+Mac	Myeloid	11	0		0	7
IL1B+Mono	Myeloid	11	0		0	8
MKI67+Mac	Myeloid	11	0		0	9
SPP1+Mac	Myeloid	11	0		0	10
