gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	positive_direction	passes_primary_filter	rank
GPNMB	0	2.13630923941424	1.63339163276653	13105302	0.861624063116371	0	0	88.15	29.5595003287311	TRUE	TRUE	1
CTSB	0	3.35066765863238	1.51437490230959	13097004	0.861078500986193	0	0	98.15	76.8178829717291	TRUE	TRUE	2
APOE	0	3.46200323845296	2.45193279524564	12735147.5	0.837287804076266	0	0	88.15	35.3714661406969	TRUE	TRUE	3
CTSD	0	2.7413023522926	1.48164755900236	12521567	0.823245693622617	0	0	94.6	62.6561472715319	TRUE	TRUE	4
FTL	0	5.63549432932007	1.10235634216608	12400894	0.815311900065746	0	0	100	98.8165680473373	TRUE	TRUE	5
APOC1	0	2.19756915982789	1.6456427561113	12396601	0.815029651545036	0	0	82	28.1656804733728	TRUE	TRUE	6
LIPA	0	1.72011481144446	1.21158456559195	12284409.5	0.807653484549638	0	0	81.35	36.4365548980934	TRUE	TRUE	7
CD63	0	2.92919225210496	1.05148467562861	12086599.5	0.794648224852071	0	0	96.45	79.2767915844839	TRUE	TRUE	8
PRDX1	0	2.59104447227297	1.13085203020994	12066618.5	0.793334549638396	0	0	95.2	70.1512163050625	TRUE	TRUE	9
CSTB	0	2.46006122140283	1.13957234259931	12009759	0.789596252465483	0	0	94.2	70.1249178172255	TRUE	TRUE	10
IL1B	1	3.14210455473198	2.7421846660976	10930997	0.874601784440965	0	0	83.4407216494846	19.0612194213337	TRUE	TRUE	1
NAMPT	1	2.79516549898567	1.78414313038275	10895888.5	0.871792712519251	0	0	95.4896907216495	58.1398236681982	TRUE	TRUE	2
SRGN	1	3.87660662042771	1.37177656471332	10865224.5	0.86933925021219	0	0	99.0979381443299	91.5931950825779	TRUE	TRUE	3
SOD2	1	2.99550356808914	1.75280474429489	10671919	0.853872652312451	0	0	94.7164948453608	64.1624239413883	TRUE	TRUE	4
TIMP1	1	3.60677905234013	2.26725839786344	10659070.5	0.852844628882622	0	0	95.3608247422681	66.8570718986713	TRUE	TRUE	5
BCL2A1	1	2.12319016982491	1.55134618654629	10574896	0.846109729229422	0	0	87.2422680412371	38.4452998882404	TRUE	TRUE	6
PLAUR	1	2.23674163940044	1.51549470890874	10526425.5	0.842231548145597	0	0	88.4020618556701	47.7461815472495	TRUE	TRUE	7
FTH1	1	5.42983116717693	1.17182353296129	10392113	0.831485048794008	0	0	100	99.1555941885012	TRUE	TRUE	8
CD44	1	2.4871397916106	1.2699081135976	10268779.5	0.821616992002724	0	0	94.3298969072165	69.1419346827269	TRUE	TRUE	9
NFKBIA	1	3.03688199126813	1.54680045555598	10117536	0.809515823647715	0	0	91.8814432989691	70.2843660747547	TRUE	TRUE	10
FCN1	2	2.35675838608509	1.65924399145755	8805578	0.816125204759371	0	0	83.8337182448037	32.8196484469059	TRUE	TRUE	1
S100A8	2	2.71504861517752	1.82402359952051	8255689	0.765159978771942	2.89885100088483e-261	2.65718345577773e-257	77.5981524249423	35.2997832891885	TRUE	TRUE	2
VCAN	2	1.86537374503895	1.36699812073403	8225428	0.762355306004156	1.16269569119623e-306	1.59864844061026e-302	71.2086220169361	23.9585841560318	TRUE	TRUE	3
S100A4	2	3.26662213947164	1.07365520316465	8108034	0.751474906978956	1.91154290842883e-188	1.05131036877769e-184	93.6104695919938	80.3274741150975	TRUE	TRUE	4
MNDA	2	1.96718049440994	0.949032646500233	7994681	0.740969038955858	3.03882668836385e-181	1.39274491838863e-177	82.4480369515012	60.0409342643872	TRUE	TRUE	5
S100A9	2	3.07753300388854	1.53047392316311	7898151	0.732022372874947	6.01573843245504e-169	2.36323987362973e-165	84.8344880677444	58.4758006260535	TRUE	TRUE	6
S100A6	2	3.22071271175387	0.721888042185599	7517973	0.696786429465552	1.18930217079256e-115	1.92380119968379e-112	94.9961508852964	88.7912352516253	TRUE	TRUE	7
COTL1	2	2.25666136097846	0.610195455948047	7445529	0.690072120156886	9.80772736992949e-109	1.17262041280735e-105	87.2209391839877	79.1114856730075	TRUE	TRUE	8
CTSS	2	2.82761080171086	0.611500122951667	7359718	0.682118920498033	1.82567405794948e-99	1.67347369731843e-96	92.0708237105466	85.6248495063809	TRUE	TRUE	9
H3F3A	2	2.89266018960983	0.391653020151415	7222229	0.669376061565074	4.23330899233382e-86	2.64572190864063e-83	95.6120092378753	94.1006501324344	TRUE	TRUE	10
SELENOP	3	2.29574008896913	1.83137023660703	9013131	0.844710248820862	0	0	83.8533541341654	23.1767391565541	TRUE	TRUE	1
C1QA	3	3.76564258563346	2.17832361467335	8976598.5	0.841286424495548	0	0	96.9578783151326	49.5254115102727	TRUE	TRUE	2
C1QC	3	3.13960932540669	1.89364303996221	8852255	0.829632957035211	0	0	94.4617784711389	44.6353478313108	TRUE	TRUE	3
C1QB	3	3.57266483671601	2.08566574170265	8730843	0.818254229628515	0	0	94.6177847113885	47.0623573230806	TRUE	TRUE	4
MS4A6A	3	2.49753083704655	1.15654506453872	8520582.5	0.798548624631517	1.95824001656663e-268	6.73120527694572e-265	92.3556942277691	65.1688093235612	TRUE	TRUE	5
FOLR2	3	1.59525703538391	1.22301499995202	8435715.5	0.790594893049597	0	0	73.4789391575663	24.1018863390604	TRUE	TRUE	6
ITM2B	3	3.13921878814991	0.865900826013411	8233438.5	0.77163750132848	3.55339191432428e-216	6.10717026575021e-213	96.5678627145086	87.8409227442028	TRUE	TRUE	7
CD74	3	4.93172027764558	1.03750705206917	8160116.5	0.764765766648929	3.20815911620784e-205	4.64321934403155e-202	99.6879875195008	95.987023909648	TRUE	TRUE	8
SLCO2B1	3	1.21872523583708	0.832931161171117	8065722	0.755919118177679	2.14820219989749e-260	6.56371247722012e-257	72.6989079563183	30.0492610837438	TRUE	TRUE	9
MAF	3	1.1170357441354	0.809711675767998	8035124	0.753051474936566	6.10135331192874e-278	2.39687306749612e-274	69.7347893915757	25.1231527093596	TRUE	TRUE	10
HLA-DPB1	4	3.83126533520918	1.22468801207877	5130603.5	0.788938128077727	6.30087548929081e-150	1.57516159163644e-146	98.9085948158254	84.8624887285843	TRUE	TRUE	1
PPA1	4	1.68960920949676	1.08135895105695	5116379	0.786750812218522	4.90704447706809e-174	1.92769737249851e-170	81.4461118690314	43.3160504959423	TRUE	TRUE	2
RPS23	4	3.2727477706645	0.722067359151468	5073905.5	0.7802196188447	8.49493047871052e-141	1.55734728822707e-137	96.4529331514325	92.6510369702435	TRUE	TRUE	3
RPS11	4	2.8373776295384	0.675814404477373	4963920	0.763307036438811	1.21553370557983e-124	1.33703845478958e-121	94.6793997271487	89.224526600541	TRUE	TRUE	4
HLA-DQB1	4	3.34158084842404	1.15510143754342	4945312	0.760445665317992	1.01924011055892e-122	1.0380771777874e-119	97.6807639836289	79.3507664562669	TRUE	TRUE	5
RPS24	4	3.39586843302728	0.571201379554114	4912482	0.755397362765516	2.89946795891366e-117	2.74939549662644e-114	97.4079126875853	95.4801623083859	TRUE	TRUE	6
RPS3A	4	3.22853982589593	0.671494935776003	4888501.5	0.751709856845332	5.25832968253801e-114	4.66447767548751e-111	95.0886766712142	91.8056807935077	TRUE	TRUE	7
RPS6	4	3.05967762575965	0.675387694440325	4886593.5	0.751416461741155	9.16929938066401e-114	7.87958011465248e-111	95.225102319236	90.892696122633	TRUE	TRUE	8
RPS18	4	3.38372121167985	0.66993869694095	4872154	0.749196085112874	9.48512301321112e-112	7.6715116982439e-109	97.1350613915416	93.5752930568079	TRUE	TRUE	9
HLA-DPA1	4	3.84304278245673	1.02456974732006	4868700	0.748664960013384	1.96198902433969e-111	1.49868711611992e-108	97.9536152796726	87.4549143372408	TRUE	TRUE	10
IL32	5	1.9195866818276	1.57851821294444	3993475.5	0.862547042418525	1.93006065490234e-265	2.30759730213737e-262	84.2829076620825	24.901055408971	TRUE	TRUE	1
TRAC	5	1.36829700002729	1.32333746657943	3962641	0.855887127570054	0	0	73.4774066797642	4.18865435356201	TRUE	TRUE	2
CD3D	5	1.19770091361348	1.16715576198089	3888127.5	0.839793026317836	0	0	69.7445972495089	3.12225153913808	TRUE	TRUE	3
TRBC2	5	1.22302159318449	1.1832138005976	3849204	0.831385975916355	0	0	68.565815324165	3.88082673702726	TRUE	TRUE	4
