cluster	compartment	top10_markers	top50_markers	canonical_positive_marker_evidence	canonical_negative_or_conflicting_evidence	top10_mito_ribosomal_markers	top10_mito_ribosomal_count	top10_conflicting_broad_marker_count	author_sheet	top_author_subtype	top_author_overlap_count	second_author_overlap_count	top_author_overlap_genes	top_author_jaccard	author_label_rule_pass	final_reviewed_label	review_flag	action	cells	samples	subjects	maximum_sample_fraction	maximum_subject_fraction
0	T/I/NK	CCL5;NKG7;GZMA;CD8A;CCL4;SH3BGRL3;GZMH;COTL1;CD8B;HLA-DRB1	CCL5;NKG7;GZMA;CD8A;CCL4;SH3BGRL3;GZMH;COTL1;CD8B;HLA-DRB1;HLA-C;ACTB;CST7;B2M;HCST;TMSB4X;HLA-DPB1;CD3D;CTSW;GZMB;PFN1;ALOX5AP;HLA-A;GAPDH;GZMK;HLA-DPA1;CCL4L2;CFL1;IL32;CORO1A;CD74;CLIC1;HLA-DRA;CD63;ACTG1;CYBA;MYL12B;HLA-B;APOBEC3G;RARRES3;VIM;PRF1;MYL12A;PSMB9;S100A6;MYL6;KLRD1;IFNG;S100A4;CD52	CD3D			0	0	T_I_NK cell markers	CD8+Trm	24	16	CCL5;NKG7;GZMA;CD8A;CCL4;GZMH;COTL1;CD8B;HLA-DRB1;CST7;HCST;HLA-DPB1;CTSW;GZMB;ALOX5AP;GZMK;HLA-DPA1;CCL4L2;CD74;HLA-DRA;APOBEC3G;PRF1;KLRD1;IFNG	0.315789473684211	TRUE	CD8+Trm	author_overlap_supported	retain cluster; no whole-cluster deletion	4859	40	19	0.208890718254785	0.229265280922
1	T/I/NK	IL32;TNFRSF4;CTLA4;TNFRSF18;BATF;S100A4;SAT1;LTB;SPOCK2;TIGIT	IL32;TNFRSF4;CTLA4;TNFRSF18;BATF;S100A4;SAT1;LTB;SPOCK2;TIGIT;B2M;TNFRSF1B;FOXP3;SRGN;CD27;IL2RA;LINC01943;MIR4435-2HG;NEAT1;TBC1D4;MAF;TRAC;HLA-A;TMSB10;PIM2;BIRC3;RGS1;CTSC;ICOS;CARD16;GADD45A;DNPH1;MYL6;ARID5B;CYTOR;PBXIP1;RTKN2;ICA1;FTH1;OAZ1;H3F3A;SUMO2;CORO1B;GBP2;TYMP;UBC;LAIR2;UCP2;RPS27L;NFKBIA	TRAC			0	0	T_I_NK cell markers	CD4+Treg	36	23	IL32;TNFRSF4;CTLA4;TNFRSF18;BATF;S100A4;SAT1;LTB;SPOCK2;TIGIT;TNFRSF1B;FOXP3;CD27;IL2RA;LINC01943;MIR4435-2HG;TBC1D4;MAF;PIM2;BIRC3;RGS1;CTSC;ICOS;CARD16;GADD45A;DNPH1;ARID5B;PBXIP1;RTKN2;ICA1;CORO1B;GBP2;TYMP;LAIR2;UCP2;NFKBIA	0.5625	TRUE	CD4+Treg	author_overlap_supported	retain cluster; no whole-cluster deletion	3568	40	19	0.16872197309417	0.214966367713004
2	T/I/NK	MT-CYB;MT-CO3;MT-ATP6;MT-ND4;MT-ND1;MT-CO2;MT-CO1;MT-ND3;MT-ND2;MT-ND5	MT-CYB;MT-CO3;MT-ATP6;MT-ND4;MT-ND1;MT-CO2;MT-CO1;MT-ND3;MT-ND2;MT-ND5;IL7R;MALAT1;MT-ND4L;ATM;TCF7;FYB1;N4BP2L2;NKTR;CCR7;POLR2J3.1;IKZF1;DGKA;GIMAP4;LTB;GIMAP7;PNISR;STK4;SERINC5;ANKRD12;AAK1;AC245297.3;TRAF3IP3;RPL37;PLAC8;PIK3IP1;THEM4;LEF1;SF1;KIAA1551;MT-ND6;DDX17;RIC3;TPT1;TSHZ2;IL6ST;CD40LG;RPL22;ANK3;FAM102A;SORL1			MT-CYB;MT-CO3;MT-ATP6;MT-ND4;MT-ND1;MT-CO2;MT-CO1;MT-ND3;MT-ND2;MT-ND5	10	0	T_I_NK cell markers	CD4+Th	11	8	IL7R;TCF7;FYB1;GIMAP4;LTB;GIMAP7;RPL37;PIK3IP1;TPT1;CD40LG;RPL22	0.123595505617978	FALSE	Unresolved_review	manual_review_required	retain cluster; no whole-cluster deletion	3406	40	19	0.132119788608338	0.208162066940693
3	T/I/NK	KLRB1;IL7R;JUN;DUSP1;TPT1;FOS;RPLP1;S100A4;JUNB;RORA	KLRB1;IL7R;JUN;DUSP1;TPT1;FOS;RPLP1;S100A4;JUNB;RORA;JUND;LTB;EEF1A1;CD40LG;ITM2B;TSC22D3;FOSB;KLF6;HSP90AA1;EIF1;CD69;ANXA1;SLC2A3;RPL10;RPLP0;RPL9;RPS3A;PPP1R15A;RPS4X;RPS12;RPL30;RPL13;NFKBIA;RPL11;RPS27A;RPL32;RPL3;BTG1;DNAJB1;CD2;ZFP36L2;RPS3;HSPA1B;FTH1;TNFAIP3;RPS13;RPL34;RPS2;RPS14;RPS6				0	0	T_I_NK cell markers	CD4+Th	23	16	KLRB1;IL7R;TPT1;LTB;EEF1A1;CD40LG;RPL10;RPL9;RPS3A;RPS4X;RPS12;RPL30;RPL13;RPL11;RPS27A;RPL32;RPL3;ZFP36L2;RPS3;RPS13;RPL34;RPS14;RPS6	0.298701298701299	TRUE	CD4+Th	author_overlap_supported	retain cluster; no whole-cluster deletion	3056	40	19	0.168848167539267	0.211714659685864
4	T/I/NK	FOS;JUNB;DUSP1;CCL5;CD69;FOSB;JUN;JUND;NR4A2;ZFP36	FOS;JUNB;DUSP1;CCL5;CD69;FOSB;JUN;JUND;NR4A2;ZFP36;HSP90AA1;DNAJB1;H3F3B;TSC22D3;PPP1R15A;IER2;BTG2;UBC;EIF1;GADD45B;ZFP36L2;AC020916.1;KLF6;DUSP2;SRSF7;CCL4;NKG7;SLC2A3;CD8A;CXCR4;BTG1;TUBB4B;ID2;GZMA;SERTAD1;TRGC2;HSPA1B;DDX3X;TUBA1A;UBB;DNAJA1;HSPA8;TNFAIP3;NFKBIA;KLRD1;RSRP1;HOPX;UBE2S;CITED2;IFNG				0	0	T_I_NK cell markers	CD8+IEL	33	15	FOS;JUNB;DUSP1;CD69;FOSB;JUN;JUND;NR4A2;ZFP36;HSP90AA1;DNAJB1;TSC22D3;PPP1R15A;IER2;BTG2;GADD45B;AC020916.1;KLF6;SLC2A3;TUBB4B;ID2;SERTAD1;TRGC2;HSPA1B;DDX3X;TUBA1A;DNAJA1;TNFAIP3;NFKBIA;HOPX;UBE2S;CITED2;IFNG	0.492537313432836	TRUE	CD8+IEL	author_overlap_supported	retain cluster; no whole-cluster deletion	2675	40	19	0.22018691588785	0.250841121495327
5	T/I/NK	RPS3A;RPL32;RPL13;RPL11;RPS12;RPL9;RPL10;RPS14;RPS13;RPS6	RPS3A;RPL32;RPL13;RPL11;RPS12;RPL9;RPL10;RPS14;RPS13;RPS6;RPL30;RPS8;EEF1A1;RPS27A;RPS23;RPL19;RPL3;RPS3;TPT1;RPS18;RPL21;RPL18;RPL5;RPL18A;RPS16;RPS4X;RPS2;RPL34;RPL39;RPL29;RPL14;RPS5;RPS25;RPS28;RPL7;RPL22;RPS15A;RPL10A;EEF1B2;RPL12;RPS9;RPL35A;RPL28;RPLP2;RPL37;RPL13A;RPSA;RPL23A;RPS27;RPS10			RPS3A;RPL32;RPL13;RPL11;RPS12;RPL9;RPL10;RPS14;RPS13;RPS6	10	0	T_I_NK cell markers	CD4+Tn	35	30	RPS3A;RPL32;RPL13;RPL11;RPS12;RPL9;RPS14;RPS13;RPS6;RPL30;RPS8;EEF1A1;RPS27A;RPS23;RPL3;TPT1;RPS18;RPL21;RPL18;RPL5;RPL18A;RPS16;RPL34;RPL39;RPL29;RPL14;RPS5;RPS25;RPL7;RPL22;RPL10A;EEF1B2;RPL35A;RPL37;RPS10	0.538461538461538	FALSE	Unresolved_review	manual_review_required	retain cluster; no whole-cluster deletion	2468	39	19	0.164100486223663	0.233792544570502
6	T/I/NK	TRDC;CCL5;KLRD1;CD7;HOPX;CD63;KLRC2;CTSW;NKG7;FCER1G	TRDC;CCL5;KLRD1;CD7;HOPX;CD63;KLRC2;CTSW;NKG7;FCER1G;KIR2DL4;ITGA1;TYROBP;XCL2;GNLY;CD160;KLRC1;TRGC2;GSTP1;GZMA;HCST;CD247;TMSB4X;TMIGD2;ID2;ALOX5AP;IL2RB;XCL1;FTL;MATK;CD96;PRF1;RARRES3;EVL;TRGC1;IFITM2;IL32;TRG-AS1;CTSD;ACTG1;PTMA;ACTB;SEPT7;LSP1;STOM;CLIC3;CAPG;GZMB;PTPN22;CST7				0	0	T_I_NK cell markers	NK-GNLY	30	28	TRDC;CCL5;KLRD1;CD7;HOPX;CD63;KLRC2;CTSW;NKG7;FCER1G;TYROBP;XCL2;GNLY;KLRC1;TRGC2;GSTP1;GZMA;HCST;CD247;ALOX5AP;IL2RB;MATK;PRF1;IFITM2;TRG-AS1;CTSD;STOM;CLIC3;GZMB;CST7	0.428571428571429	TRUE	NK-GNLY	author_overlap_supported	retain cluster; no whole-cluster deletion	2376	40	19	0.186868686868687	0.229377104377104
7	T/I/NK	GZMK;CST7;NKG7;CCL5;CCL4;GZMA;CMC1;CD74;KLRG1;MALAT1	GZMK;CST7;NKG7;CCL5;CCL4;GZMA;CMC1;CD74;KLRG1;MALAT1;HLA-DPB1;CD8A;HLA-C;EOMES;HLA-A;CCL4L2;HCST;CLDND1;LYAR;CD81;CD8B;HLA-DRB1;PTPRC;SH2D1A;RPL23A;RPL28;RPS15A;HLA-DPA1;IGKC;GIMAP4;GIMAP7;GZMM;PPP2R5C;DUSP2;CYBA;B2M;HLA-DRA;RPS27;LYST;GZMH;RPS29;CXCR4;ITM2C;DTHD1;ATM;MT-ND1;RARRES3;PYHIN1;CD84;HLA-F				0	0	T_I_NK cell markers	CD8+Tem	35	18	GZMK;CST7;NKG7;CCL5;CCL4;GZMA;CMC1;CD74;KLRG1;HLA-DPB1;CD8A;CCL4L2;HCST;CLDND1;LYAR;CD81;CD8B;HLA-DRB1;SH2D1A;HLA-DPA1;IGKC;GIMAP4;GIMAP7;GZMM;PPP2R5C;DUSP2;HLA-DRA;LYST;GZMH;CXCR4;ITM2C;ATM;PYHIN1;CD84;HLA-F	0.538461538461538	TRUE	CD8+Tem	author_overlap_supported	retain cluster; no whole-cluster deletion	2267	40	19	0.235994706660785	0.307454786060873
8	T/I/NK	SRGN;CXCL13;ITM2A;FKBP5;NR3C1;PDCD1;MAF;ICA1;TNFRSF4;TRAC	SRGN;CXCL13;ITM2A;FKBP5;NR3C1;PDCD1;MAF;ICA1;TNFRSF4;TRAC;SPOCK2;RNF19A;CORO1B;CTLA4;TIGIT;GAPDH;IL6ST;TOX2;AC004585.1;C9orf16;FTH1;CD4;TNFRSF18;LIMS1;HINT1;HLA-A;CD2;RPL6;SKP1;PKM;UCP2;RPS8;RPL15;EEF1A1;RPLP1;RPL7;HNRNPA1;SOD1;ISCU;COTL1;RBPJ;PFN1;PHACTR2;KLRB1;PRDX1;PPP1CC;CD3D;ATP5MC2;FYB1;OAZ1	TRAC;CD3D			0	0	T_I_NK cell markers	CD4+Tfh	24	15	SRGN;CXCL13;ITM2A;FKBP5;NR3C1;PDCD1;MAF;ICA1;TNFRSF4;RNF19A;CORO1B;CTLA4;TIGIT;IL6ST;TOX2;AC004585.1;C9orf16;CD4;LIMS1;PKM;UCP2;COTL1;PHACTR2;PPP1CC	0.315789473684211	TRUE	CD4+Tfh	author_overlap_supported	retain cluster; no whole-cluster deletion	2016	40	19	0.166170634920635	0.225694444444444
9	T/I/NK	MT-ND4;MT-CO1;MT-ATP6;MT-CYB;MT-CO2;MT-ND1;MT-CO3;MT-ND2;MT-ND3;MT-ND5	MT-ND4;MT-CO1;MT-ATP6;MT-CYB;MT-CO2;MT-ND1;MT-CO3;MT-ND2;MT-ND3;MT-ND5;KLRD1;CCL5;ITGA1;KLRC2;TRGC2;MALAT1;MT-ND4L;TRDC;TRG-AS1;RUNX3;HOPX;GNLY;KLRC1;DDX17;ID2;PTPN22;EVL;SRGAP3;LINC01871;ACAP1;CD160;AC245297.3;ENTPD1;NEAT1;TRGC1;SYTL3;KLRC4;SLFN12L;ATP8B4;KIR2DL4;CD96;SCML4;GPR171;SYTL2;NKTR;GZMA;RNF213;DAPK2;CHST12;CD63			MT-ND4;MT-CO1;MT-ATP6;MT-CYB;MT-CO2;MT-ND1;MT-CO3;MT-ND2;MT-ND3;MT-ND5	10	0	T_I_NK cell markers	γδ T	24	12	MT-CO3;KLRD1;CCL5;ITGA1;KLRC2;TRGC2;TRDC;TRG-AS1;RUNX3;HOPX;KLRC1;ID2;PTPN22;EVL;LINC01871;CD160;ENTPD1;TRGC1;KIR2DL4;CD96;SCML4;GPR171;GZMA;CD63	0.315789473684211	FALSE	Unresolved_review	manual_review_required	retain cluster; no whole-cluster deletion	1817	40	19	0.11557512383049	0.149146945514585
