author_subtype	compartment	cluster	overlap_count	overlap_genes	jaccard	author_overlap_rank
CD8+Trm	T/I/NK	0	24	CCL5;NKG7;GZMA;CD8A;CCL4;GZMH;COTL1;CD8B;HLA-DRB1;CST7;HCST;HLA-DPB1;CTSW;GZMB;ALOX5AP;GZMK;HLA-DPA1;CCL4L2;CD74;HLA-DRA;APOBEC3G;PRF1;KLRD1;IFNG	0.315789473684211	1
CD8+Tem	T/I/NK	0	16	CCL5;NKG7;GZMA;CD8A;CCL4;GZMH;CD8B;HLA-DRB1;CST7;HCST;HLA-DPB1;GZMK;HLA-DPA1;CCL4L2;CD74;HLA-DRA	0.19047619047619	2
NK-GNLY	T/I/NK	0	15	CCL5;NKG7;GZMA;CCL4;GZMH;CST7;HCST;CTSW;GZMB;ALOX5AP;HLA-DRA;CD63;APOBEC3G;PRF1;KLRD1	0.176470588235294	3
CD8+MAIT	T/I/NK	0	11	CCL5;CD8A;SH3BGRL3;COTL1;CD8B;ACTB;CD3D;ALOX5AP;VIM;KLRD1;CD52	0.123595505617978	4
NK-FGFBP2	T/I/NK	0	9	NKG7;CCL4;GZMH;CST7;CTSW;GZMB;CYBA;PRF1;KLRD1	0.0989010989010989	5
γδ T	T/I/NK	0	4	CCL5;GZMA;CD63;KLRD1	0.0416666666666667	6
CD4+Th1-like	T/I/NK	0	3	ACTB;CD3D;S100A4	0.0309278350515464	7
CD4+Texh	T/I/NK	0	2	IL32;S100A4	0.0204081632653061	8
CD4+Treg	T/I/NK	0	2	IL32;S100A4	0.0204081632653061	9
CD8+IEL	T/I/NK	0	2	CCL4L2;IFNG	0.0204081632653061	10
CD4+Prolif.	T/I/NK	0	1	GAPDH	0.0101010101010101	11
CD4+Tfh	T/I/NK	0	1	COTL1	0.0101010101010101	12
CD8+Trm-mitotic	T/I/NK	0	1	GZMB	0.0101010101010101	13
CD4 Tfh	T/I/NK	0	0		0	14
CD4 Treg	T/I/NK	0	0		0	15
CD4+Th	T/I/NK	0	0		0	16
CD4+Tn	T/I/NK	0	0		0	17
CD8 Trm-mitotic	T/I/NK	0	0		0	18
ILC3	T/I/NK	0	0		0	19
CD4+Treg	T/I/NK	1	36	IL32;TNFRSF4;CTLA4;TNFRSF18;BATF;S100A4;SAT1;LTB;SPOCK2;TIGIT;TNFRSF1B;FOXP3;CD27;IL2RA;LINC01943;MIR4435-2HG;TBC1D4;MAF;PIM2;BIRC3;RGS1;CTSC;ICOS;CARD16;GADD45A;DNPH1;ARID5B;PBXIP1;RTKN2;ICA1;CORO1B;GBP2;TYMP;LAIR2;UCP2;NFKBIA	0.5625	1
CD4+Texh	T/I/NK	1	23	IL32;TNFRSF4;CTLA4;BATF;S100A4;SAT1;LTB;SPOCK2;TIGIT;SRGN;CD27;MIR4435-2HG;MAF;PIM2;BIRC3;RGS1;CARD16;GADD45A;ARID5B;PBXIP1;FTH1;CORO1B;NFKBIA	0.298701298701299	2
CD4+Tfh	T/I/NK	1	10	TNFRSF4;CTLA4;TIGIT;SRGN;TBC1D4;MAF;ICOS;ICA1;CORO1B;UCP2	0.111111111111111	3
CD4+Th1-like	T/I/NK	1	8	CTLA4;TNFRSF18;S100A4;SPOCK2;SRGN;MAF;TRAC;RGS1	0.0869565217391304	4
CD4+Prolif.	T/I/NK	1	4	TNFRSF4;CTLA4;TNFRSF18;IL2RA	0.0416666666666667	5
ILC3	T/I/NK	1	3	TNFRSF18;LTB;NFKBIA	0.0309278350515464	6
CD8+IEL	T/I/NK	1	2	RGS1;NFKBIA	0.0204081632653061	7
CD4+Th	T/I/NK	1	1	LTB	0.0101010101010101	8
CD8+MAIT	T/I/NK	1	1	TRAC	0.0101010101010101	9
CD8+Trm	T/I/NK	1	1	CYTOR	0.0101010101010101	10
CD4 Tfh	T/I/NK	1	0		0	11
CD4 Treg	T/I/NK	1	0		0	12
CD4+Tn	T/I/NK	1	0		0	13
CD8 Trm-mitotic	T/I/NK	1	0		0	14
CD8+Tem	T/I/NK	1	0		0	15
CD8+Trm-mitotic	T/I/NK	1	0		0	16
NK-FGFBP2	T/I/NK	1	0		0	17
NK-GNLY	T/I/NK	1	0		0	18
