gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	positive_direction	passes_primary_filter	rank
CCL5	0	3.96124313957599	2.07256322617825	110800705	0.828213089231088	0	0	98.9504013171435	55.5987360621799	TRUE	TRUE	1
NKG7	0	2.63886363615495	1.62931564211067	106496683.5	0.796041390119318	0	0	88.6807985182136	38.9568880979189	TRUE	TRUE	2
GZMA	0	2.60702086132547	1.5207695188179	103401215.5	0.772903386485713	0	0	85.7378061329492	40.1445538081575	TRUE	TRUE	3
CD8A	0	1.65792566939405	1.14987004689001	99843160	0.746307633892707	0	0	68.5326198806339	23.6225620164893	TRUE	TRUE	4
CCL4	0	2.14414326228067	1.40661083432733	99075185.5	0.740567178242215	0	0	72.3194072854497	27.9991283187448	TRUE	TRUE	5
SH3BGRL3	0	2.9064001014326	0.75054425935002	96476972	0.721146052453197	0	0	95.6781230705907	83.8884247993317	TRUE	TRUE	6
GZMH	0	1.33020056845899	1.03086392485333	95032912.5	0.71035199676981	0	0	54.0234616176168	13.7035557331203	TRUE	TRUE	7
COTL1	0	2.02815841419299	0.806195500696453	93302373.5	0.697416564172834	0	0	80.3869108870138	56.637489557985	TRUE	TRUE	8
CD8B	0	1.15864819350309	0.832970865684924	92784612.5	0.693546404345843	0	0	53.5089524593538	16.5437838230487	TRUE	TRUE	9
HLA-DRB1	0	1.580918891943	0.848366212758491	91159543	0.681399335147951	0	0	64.7664128421486	34.1771692151237	TRUE	TRUE	10
HLA-C	0	3.31330012996289	0.512999127695354	90852711.5	0.679105831108528	0	0	96.9129450504219	92.6052373515418	TRUE	TRUE	11
ACTB	0	4.30199258465976	0.494035104328271	90724456	0.678147146920861	0	0	99.8353570693558	98.3147495732394	TRUE	TRUE	12
CST7	0	1.64440130192117	0.79421879079843	90690472	0.677893123323949	0	0	69.6233792961515	40.2026658918389	TRUE	TRUE	13
B2M	0	5.21574542289335	0.320425310642568	89724667.5	0.670673928026065	0	0	100	99.8801438274071	TRUE	TRUE	14
HCST	0	1.8410837039185	0.664289389556652	89031575.5	0.665493204072716	0	0	77.9790080263429	56.1290088257727	TRUE	TRUE	15
TMSB4X	0	4.87118728058543	0.331601250588828	88841720.5	0.664074075953848	4.24784720129063e-292	4.67246200753165e-289	99.9794196336695	99.749391639124	TRUE	TRUE	16
HLA-DPB1	0	1.36046979744087	0.689046320434897	88793845	0.663716216175307	0	0	61.699938258901	34.1771692151237	TRUE	TRUE	17
CD3D	0	2.39669422817435	0.610894067353296	88670143.5	0.662791572225997	3.38403620466911e-291	3.44657820711836e-288	89.4216917061124	74.5614353684669	TRUE	TRUE	18
CTSW	0	1.1652034845017	0.694654799048683	88115670.5	0.658646997548198	0	0	52.9327022020992	22.7145607089674	TRUE	TRUE	19
GZMB	0	1.18704166447441	0.809794639677289	88048566	0.658145404844016	0	0	46.758592302943	16.2895434569426	TRUE	TRUE	20
PFN1	0	2.77869218898968	0.553494702884291	87777806	0.656121528046118	1.93792452739194e-265	1.83762022685348e-262	94.7520065857172	84.1317691497476	TRUE	TRUE	21
ALOX5AP	0	1.49413752221634	0.670403016379428	87682286.5	0.655407538905193	0	0	64.5194484461823	40.6094504776087	TRUE	TRUE	22
HLA-A	0	3.44607675539299	0.431616891764587	86992398.5	0.650250764210452	2.52127087135995e-245	2.0391890497508e-242	98.2506688619057	94.8098645262049	TRUE	TRUE	23
GAPDH	0	2.77486689817941	0.568317850268096	86730539.5	0.648293420605707	7.03815312040053e-240	5.37617146271928e-237	94.07285449681	82.8932553662877	TRUE	TRUE	24
GZMK	0	1.56191756604493	0.919169215324734	86698492	0.648053871958638	0	0	50.1543527474789	21.7956633857553	TRUE	TRUE	25
HLA-DPA1	0	1.28107856149314	0.613703327418733	86697512	0.648046546654819	0	0	59.3537764972217	34.4241455707696	TRUE	TRUE	26
CCL4L2	0	1.18076575249053	0.825480629037402	86261465.5	0.644787186357306	0	0	42.4572957398642	14.5570769621908	TRUE	TRUE	27
CFL1	0	2.39723913477162	0.47774206862925	85808006.5	0.641397671108016	5.62733942912274e-219	3.9678514605499e-216	90.080263428689	79.3883703192533	TRUE	TRUE	28
IL32	0	3.00523905096373	0.521911693659125	85403198	0.638371808607123	9.12987605621768e-209	5.57916581488734e-206	95.060712080675	86.223804162278	TRUE	TRUE	29
CORO1A	0	1.99040205796184	0.50207953093617	85237826.5	0.637135689749524	1.37702244147687e-210	8.60607729958465e-208	81.2718666392262	67.4753931645662	TRUE	TRUE	30
CD74	0	1.91978606968202	0.602711365853765	85072868.5	0.635902661721648	2.27242934439904e-214	1.48784606051498e-211	74.7067297797901	57.7379871427015	TRUE	TRUE	31
CLIC1	0	1.52326885611154	0.51328834546606	84655314.5	0.632781529159714	5.19913704807643e-213	3.32490859732683e-210	69.17061123688	50.9352413467475	TRUE	TRUE	32
HLA-DRA	0	1.45239782473373	0.622736459631565	84293981.5	0.630080637318176	4.58809582654559e-235	3.40994721984263e-232	59.0039102696028	36.4798605309992	TRUE	TRUE	33
CD63	0	1.3651005997661	0.527860696132246	84087309	0.628535801753419	3.33803518977029e-215	2.23884462642667e-212	62.7701173080881	42.0695165801039	TRUE	TRUE	34
ACTG1	0	3.16565298766936	0.42465108642498	83977607.5	0.627715805001519	6.43383308844941e-178	3.21679956544128e-175	96.4601769911504	90.8800348672502	TRUE	TRUE	35
CYBA	0	1.98514358083326	0.454105935963759	83797703	0.626371054878209	3.17994824695464e-178	1.6193592007964e-175	81.9304383618029	69.6328042712382	TRUE	TRUE	36
MYL12B	0	1.82995827911928	0.435357538482678	83600752	0.624898885579853	1.00898023680449e-175	4.95463348783691e-173	79.2549907388352	66.2768314386373	TRUE	TRUE	37
HLA-B	0	3.3461579143531	0.336765019616355	83379246.5	0.623243176309441	9.70435020782499e-166	4.37475289122917e-163	96.8923646840914	95.0822649184615	TRUE	TRUE	38
APOBEC3G	0	0.870469371798325	0.497365961541887	83353813	0.623053065988348	3.34607324184734e-291	3.44657820711836e-288	43.239349660424	20.8222859840918	TRUE	TRUE	39
RARRES3	0	1.4373601954625	0.476693921245363	83224683.5	0.622087848825642	1.15162107593112e-183	6.09008230135192e-181	66.1452973862935	48.6616060727128	TRUE	TRUE	40
VIM	0	2.04583622357973	0.509797593933404	83179061.5	0.621746833508484	1.66975743889723e-167	7.65277663537247e-165	79.8929820950813	65.1981258853013	TRUE	TRUE	41
PRF1	0	0.856363585038774	0.501047063803979	83178014.5	0.621739007393078	2.83976153473484e-303	3.25377510181973e-300	41.8398847499485	18.7992590709331	TRUE	TRUE	42
MYL12A	0	2.28241404445055	0.406655031123844	83132374.5	0.621397857529523	4.35497013359806e-162	1.90090990006052e-159	87.8370034986623	78.9343696654923	TRUE	TRUE	43
PSMB9	0	1.40910859215053	0.457967755289816	83119871.5	0.621304400107437	2.19600134511084e-180	1.13939322621138e-177	65.8777526239967	49.5042312860931	TRUE	TRUE	44
S100A6	0	2.01865448001864	0.462598038088742	83010654	0.620488021158647	3.39544675669723e-162	1.50599016713576e-159	83.2887425396172	69.4148839574329	TRUE	TRUE	45
MYL6	0	2.26978597090693	0.432277642061311	82986711.5	0.620309055764077	1.75856100406186e-159	7.55604203917143e-157	88.2691911916032	77.3580793956343	TRUE	TRUE	46
KLRD1	0	1.07566601936626	0.548986916270344	82887478.5	0.61956730895404	1.05965362193196e-253	9.10606717172096e-251	46.9643959662482	23.5608179275778	TRUE	TRUE	47
IFNG	0	0.812995290156177	0.556051111681318	82709667.5	0.618238207324142	0	0	34.9043012965631	11.6914248356518	TRUE	TRUE	48
S100A4	0	2.52090861432646	0.559069144316729	82632401	0.61766065570424	1.04167506540046e-153	4.34015494294654e-151	87.075529944433	72.4258162931755	TRUE	TRUE	49
CD52	0	2.03788053774461	0.477839247917968	82492176.5	0.616612505637587	6.30254312974944e-153	2.58677064962657e-150	78.6375797489195	67.7151055097519	TRUE	TRUE	50
IL32	1	3.42430822194571	0.969479713015724	78957901.5	0.767744126367974	0	0	96.4686098654709	86.4453233416597	TRUE	TRUE	1
TNFRSF4	1	1.5025151845134	1.31278495779941	78020408.5	0.758628449145207	0	0	59.0807174887892	9.82861504301971	TRUE	TRUE	2
CTLA4	1	1.29097285716574	1.10506412441933	76938418	0.74810775602419	0	0	57.6233183856502	10.0506522342492	TRUE	TRUE	3
TNFRSF18	1	1.26949144209742	1.02359078429045	74318279	0.722630934967622	0	0	54.8766816143498	12.9024424091035	TRUE	TRUE	4
BATF	1	1.26680933623447	0.965509161723832	74291261.5	0.722368231342777	0	0	57.3710762331839	17.0760477379961	TRUE	TRUE	5
S100A4	1	2.92448920528682	0.987567070942976	74155533	0.721048480479645	0	0	90.4428251121076	72.665140160977	TRUE	TRUE	6
SAT1	1	1.82222035720486	0.924799203453738	73280861	0.71254364084053	0	0	74.4674887892377	44.8931446017208	TRUE	TRUE	7
LTB	1	1.80032248013957	1.02807412639305	72692042.5	0.706818286743172	0	0	69.4506726457399	35.3316680543991	TRUE	TRUE	8
SPOCK2	1	1.35412348063111	0.825666600770733	72155941	0.701605524373062	0	0	63.0885650224215	28.5907577019151	TRUE	TRUE	9
TIGIT	1	1.23956983174531	0.791313508820883	70826527	0.688679018341094	0	0	57.9596412556054	24.1118512350819	TRUE	TRUE	10
B2M	1	5.23459350765592	0.327254969454313	70691265.5	0.687363808334547	8.18253666628431e-293	5.00025723969227e-290	99.9439461883408	99.8924507354982	TRUE	TRUE	11
TNFRSF1B	1	1.0485844378795	0.766308736104494	70556706	0.686055424198071	0	0	50.5605381165919	16.6874826533444	TRUE	TRUE	12
FOXP3	1	0.671989424573266	0.650330131599169	69070021	0.671599699630602	0	0	35.5100896860987	1.33569247849015	TRUE	TRUE	13
SRGN	1	2.4924908232926	0.661836565804957	69038388.5	0.671292122230291	3.04887349804957e-248	1.42103342920111e-245	88.2847533632287	75.1491812378574	TRUE	TRUE	14
CD27	1	1.11810711395147	0.652083938592416	68011291.5	0.661305183950781	0	0	54.512331838565	24.732861504302	TRUE	TRUE	15
IL2RA	1	0.702815041972813	0.663678356590595	67729254.5	0.658562808000371	0	0	33.7443946188341	2.30016652789342	TRUE	TRUE	16
LINC01943	1	0.750152302646265	0.64451084440205	67370089.5	0.655070480900632	0	0	36.322869955157	5.755620316403	TRUE	TRUE	17
MIR4435-2HG	1	0.773337394466315	0.586635567694016	67049489	0.651953134237289	0	0	40.3307174887892	11.0810435747988	TRUE	TRUE	18
NEAT1	1	2.5146156069733	0.650888549118528	66900759	0.650506963787651	2.34697969165658e-192	8.27430699241851e-190	87.079596412556	74.5281709686373	TRUE	TRUE	19
TBC1D4	1	0.718711848254951	0.574855170488061	66855235	0.650064312919976	0	0	37.7522421524664	8.36455731334999	TRUE	TRUE	20
MAF	1	0.900070733272772	0.603957045528215	66823821.5	0.649758864957764	0	0	44.7589686098655	15.9311684707188	TRUE	TRUE	21
TRAC	1	2.43913854663532	0.578064314719753	66640094.5	0.64797240252113	7.35957033193436e-186	2.43832318744413e-183	86.6872197309417	75.0763252844852	TRUE	TRUE	22
HLA-A	1	3.43970372301571	0.405123252018792	66603489	0.647616470346087	1.41057655088679e-182	4.5104005317251e-180	96.9170403587444	95.1290591174022	TRUE	TRUE	23
