compartment	resolution	clusters	cells	working_resolution
T/I/NK	0.2	8	32392	FALSE
T/I/NK	0.4	12	32392	FALSE
T/I/NK	0.6	15	32392	TRUE
T/I/NK	0.8	17	32392	FALSE
T/I/NK	1	20	32392	FALSE
B	0.2	8	23464	FALSE
B	0.4	12	23464	FALSE
B	0.6	13	23464	TRUE
B	0.8	13	23464	FALSE
B	1	19	23464	FALSE
Myeloid	0.2	12	9605	FALSE
Myeloid	0.4	15	9605	FALSE
Myeloid	0.6	16	9605	TRUE
Myeloid	0.8	18	9605	FALSE
Myeloid	1	22	9605	FALSE
Endothelial	0.2	11	15163	FALSE
Endothelial	0.4	15	15163	FALSE
Endothelial	0.6	17	15163	TRUE
Endothelial	0.8	18	15163	FALSE
Endothelial	1	20	15163	FALSE
Fibroblast	0.2	11	8645	FALSE
Fibroblast	0.4	17	8645	FALSE
Fibroblast	0.6	18	8645	TRUE
Fibroblast	0.8	19	8645	FALSE
Fibroblast	1	19	8645	FALSE
Epithelial	0.2	10	77355	FALSE
Epithelial	0.4	15	77355	FALSE
Epithelial	0.6	17	77355	TRUE
Epithelial	0.8	21	77355	FALSE
Epithelial	1	22	77355	FALSE
