geo_accession	cells_paper_basic_qc_pass	scDblFinder_singlets	scDblFinder_doublets	scDblFinder_doublet_fraction	primary_object_exclusion_by_scDblFinder	route	record_type	paper_first_round_cluster_r1_2	paper_first_round_broad_compartment	cells	filter_state	proportion_within_filter_state
GSM6213956	913	886	27	0.0295728368017525	0	secondary sensitivity only	per_sample_call_summary					
GSM6213957	3158	3001	157	0.0497150094996833	0	secondary sensitivity only	per_sample_call_summary					
GSM6213958	4648	4372	276	0.0593803786574871	0	secondary sensitivity only	per_sample_call_summary					
GSM6213959	5407	5040	367	0.0678749768818199	0	secondary sensitivity only	per_sample_call_summary					
GSM6213960	6289	5823	466	0.0740976307839084	0	secondary sensitivity only	per_sample_call_summary					
GSM6213961	11512	10173	1339	0.11631341209173	0	secondary sensitivity only	per_sample_call_summary					
GSM6213962	11222	10002	1220	0.108715024059882	0	secondary sensitivity only	per_sample_call_summary					
GSM6213963	2509	2403	106	0.0422479075328816	0	secondary sensitivity only	per_sample_call_summary					
GSM6213964	4083	3851	232	0.0568209649767328	0	secondary sensitivity only	per_sample_call_summary					
GSM6213965	6050	5673	377	0.0623140495867769	0	secondary sensitivity only	per_sample_call_summary					
GSM6213966	3956	3729	227	0.0573811931243681	0	secondary sensitivity only	per_sample_call_summary					
GSM6213967	7310	6777	533	0.0729138166894665	0	secondary sensitivity only	per_sample_call_summary					
GSM6213968	3571	3380	191	0.0534864183702044	0	secondary sensitivity only	per_sample_call_summary					
GSM6213969	1050	1018	32	0.0304761904761905	0	secondary sensitivity only	per_sample_call_summary					
GSM6213970	5645	5330	315	0.0558015943312666	0	secondary sensitivity only	per_sample_call_summary					
GSM6213971	7718	7124	594	0.0769629437678155	0	secondary sensitivity only	per_sample_call_summary					
GSM6213972	3296	3147	149	0.0452063106796117	0	secondary sensitivity only	per_sample_call_summary					
GSM6213973	4778	4479	299	0.0625784847216409	0	secondary sensitivity only	per_sample_call_summary					
GSM6213974	5882	5481	401	0.0681740904454267	0	secondary sensitivity only	per_sample_call_summary					
GSM6213975	4551	4288	263	0.0577894968138871	0	secondary sensitivity only	per_sample_call_summary					
GSM6213976	6835	6372	463	0.0677395757132407	0	secondary sensitivity only	per_sample_call_summary					
GSM6213977	3850	3662	188	0.0488311688311688	0	secondary sensitivity only	per_sample_call_summary					
GSM6213978	4531	4263	268	0.0591480909291547	0	secondary sensitivity only	per_sample_call_summary					
GSM6213979	4775	4479	296	0.0619895287958115	0	secondary sensitivity only	per_sample_call_summary					
GSM6213980	4105	3901	204	0.0496954933008526	0	secondary sensitivity only	per_sample_call_summary					
GSM6213981	2221	2122	99	0.0445745159837911	0	secondary sensitivity only	per_sample_call_summary					
GSM6213982	5198	4767	431	0.0829165063485956	0	secondary sensitivity only	per_sample_call_summary					
GSM6213983	4259	4044	215	0.0504813336463959	0	secondary sensitivity only	per_sample_call_summary					
GSM6213984	4618	4333	285	0.0617150281507146	0	secondary sensitivity only	per_sample_call_summary					
GSM6213985	3235	3062	173	0.0534775888717156	0	secondary sensitivity only	per_sample_call_summary					
GSM6213986	2954	2815	139	0.0470548408937035	0	secondary sensitivity only	per_sample_call_summary					
GSM6213987	3703	3503	200	0.0540102619497705	0	secondary sensitivity only	per_sample_call_summary					
GSM6213988	6143	5726	417	0.067882142275761	0	secondary sensitivity only	per_sample_call_summary					
GSM6213989	8929	8289	640	0.0716765595251428	0	secondary sensitivity only	per_sample_call_summary					
GSM6213990	3303	3128	175	0.0529821374508023	0	secondary sensitivity only	per_sample_call_summary					
GSM6213991	2693	2576	117	0.0434459710360193	0	secondary sensitivity only	per_sample_call_summary					
GSM6213992	5549	5172	377	0.0679401693998919	0	secondary sensitivity only	per_sample_call_summary					
GSM6213993	5549	5139	410	0.073887186880519	0	secondary sensitivity only	per_sample_call_summary					
GSM6213994	9218	8239	979	0.106205250596659	0	secondary sensitivity only	per_sample_call_summary					
GSM6213995	5447	5141	306	0.0561777125022949	0	secondary sensitivity only	per_sample_call_summary					
							broad_cluster_composition	1	B	15283	all_primary_cells	0.0761625212420825
							broad_cluster_composition	8	Epithelial	7688	all_primary_cells	0.0383129924300942
