gene_id	gene_symbol	feature_type	seurat_feature_name	detected_cells_merged_raw	formal_merged_gene_filter_pass
ENSG00000243485	MIR1302-2HG	Gene Expression	MIR1302-2HG	1	FALSE
ENSG00000237613	FAM138A	Gene Expression	FAM138A	0	FALSE
ENSG00000186092	OR4F5	Gene Expression	OR4F5	4	TRUE
ENSG00000238009	AL627309.1	Gene Expression	AL627309.1	515	TRUE
ENSG00000239945	AL627309.3	Gene Expression	AL627309.3	62	TRUE
ENSG00000239906	AL627309.2	Gene Expression	AL627309.2	0	FALSE
ENSG00000241599	AL627309.4	Gene Expression	AL627309.4	5	TRUE
ENSG00000236601	AL732372.1	Gene Expression	AL732372.1	1	FALSE
ENSG00000284733	OR4F29	Gene Expression	OR4F29	0	FALSE
ENSG00000235146	AC114498.1	Gene Expression	AC114498.1	0	FALSE
ENSG00000284662	OR4F16	Gene Expression	OR4F16	0	FALSE
ENSG00000229905	AL669831.2	Gene Expression	AL669831.2	14	TRUE
ENSG00000237491	AL669831.5	Gene Expression	AL669831.5	6136	TRUE
ENSG00000177757	FAM87B	Gene Expression	FAM87B	57	TRUE
ENSG00000225880	LINC00115	Gene Expression	LINC00115	6006	TRUE
ENSG00000230368	FAM41C	Gene Expression	FAM41C	1608	TRUE
ENSG00000272438	AL645608.7	Gene Expression	AL645608.7	0	FALSE
ENSG00000230699	AL645608.3	Gene Expression	AL645608.3	407	TRUE
ENSG00000241180	AL645608.5	Gene Expression	AL645608.5	89	TRUE
ENSG00000223764	AL645608.1	Gene Expression	AL645608.1	150	TRUE
ENSG00000187634	SAMD11	Gene Expression	SAMD11	1252	TRUE
ENSG00000188976	NOC2L	Gene Expression	NOC2L	58830	TRUE
ENSG00000187961	KLHL17	Gene Expression	KLHL17	5823	TRUE
ENSG00000187583	PLEKHN1	Gene Expression	PLEKHN1	2728	TRUE
ENSG00000187642	PERM1	Gene Expression	PERM1	59	TRUE
ENSG00000272512	AL645608.8	Gene Expression	AL645608.8	3643	TRUE
ENSG00000188290	HES4	Gene Expression	HES4	23843	TRUE
ENSG00000187608	ISG15	Gene Expression	ISG15	52320	TRUE
ENSG00000224969	AL645608.2	Gene Expression	AL645608.2	2	FALSE
ENSG00000188157	AGRN	Gene Expression	AGRN	22821	TRUE
ENSG00000273443	AL645608.9	Gene Expression	AL645608.9	6	TRUE
ENSG00000237330	RNF223	Gene Expression	RNF223	3324	TRUE
ENSG00000131591	C1orf159	Gene Expression	C1orf159	14290	TRUE
ENSG00000223823	LINC01342	Gene Expression	LINC01342	647	TRUE
ENSG00000272141	AL390719.2	Gene Expression	AL390719.2	42842	TRUE
ENSG00000205231	TTLL10-AS1	Gene Expression	TTLL10-AS1	110	TRUE
ENSG00000162571	TTLL10	Gene Expression	TTLL10	2344	TRUE
ENSG00000186891	TNFRSF18	Gene Expression	TNFRSF18	9908	TRUE
ENSG00000186827	TNFRSF4	Gene Expression	TNFRSF4	10915	TRUE
ENSG00000078808	SDF4	Gene Expression	SDF4	71784	TRUE
ENSG00000176022	B3GALT6	Gene Expression	B3GALT6	13720	TRUE
ENSG00000184163	C1QTNF12	Gene Expression	C1QTNF12	14270	TRUE
ENSG00000260179	AL162741.1	Gene Expression	AL162741.1	139	TRUE
ENSG00000160087	UBE2J2	Gene Expression	UBE2J2	39166	TRUE
ENSG00000230415	LINC01786	Gene Expression	LINC01786	75	TRUE
ENSG00000162572	SCNN1D	Gene Expression	SCNN1D	767	TRUE
ENSG00000131584	ACAP3	Gene Expression	ACAP3	18738	TRUE
ENSG00000169972	PUSL1	Gene Expression	PUSL1	13031	TRUE
ENSG00000127054	INTS11	Gene Expression	INTS11	45897	TRUE
ENSG00000224051	CPTP	Gene Expression	CPTP	20130	TRUE
ENSG00000169962	TAS1R3	Gene Expression	TAS1R3	1204	TRUE
ENSG00000107404	DVL1	Gene Expression	DVL1	29282	TRUE
ENSG00000162576	MXRA8	Gene Expression	MXRA8	4052	TRUE
ENSG00000175756	AURKAIP1	Gene Expression	AURKAIP1	91837	TRUE
ENSG00000221978	CCNL2	Gene Expression	CCNL2	73201	TRUE
ENSG00000242485	MRPL20	Gene Expression	MRPL20	91829	TRUE
ENSG00000272455	AL391244.3	Gene Expression	AL391244.3	2158	TRUE
ENSG00000235098	ANKRD65	Gene Expression	ANKRD65	2030	TRUE
ENSG00000225905	AL391244.2	Gene Expression	AL391244.2	4	TRUE
ENSG00000205116	TMEM88B	Gene Expression	TMEM88B	0	FALSE
ENSG00000225285	LINC01770	Gene Expression	LINC01770	43	TRUE
ENSG00000179403	VWA1	Gene Expression	VWA1	21107	TRUE
ENSG00000215915	ATAD3C	Gene Expression	ATAD3C	2215	TRUE
ENSG00000160072	ATAD3B	Gene Expression	ATAD3B	21650	TRUE
ENSG00000197785	ATAD3A	Gene Expression	ATAD3A	20641	TRUE
ENSG00000205090	TMEM240	Gene Expression	TMEM240	746	TRUE
ENSG00000160075	SSU72	Gene Expression	SSU72	87483	TRUE
ENSG00000215014	AL645728.1	Gene Expression	AL645728.1	3438	TRUE
ENSG00000228594	FNDC10	Gene Expression	FNDC10	4921	TRUE
ENSG00000272106	AL691432.2	Gene Expression	AL691432.2	7630	TRUE
ENSG00000197530	MIB2	Gene Expression	MIB2	39085	TRUE
ENSG00000189409	MMP23B	Gene Expression	MMP23B	3749	TRUE
ENSG00000248333	CDK11B	Gene Expression	CDK11B	45034	TRUE
ENSG00000272004	FO704657.1	Gene Expression	FO704657.1	514	TRUE
ENSG00000189339	SLC35E2B	Gene Expression	SLC35E2B	27197	TRUE
ENSG00000008128	CDK11A	Gene Expression	CDK11A	40466	TRUE
ENSG00000215790	SLC35E2A	Gene Expression	SLC35E2A	15704	TRUE
ENSG00000008130	NADK	Gene Expression	NADK	45908	TRUE
ENSG00000078369	GNB1	Gene Expression	GNB1	88134	TRUE
ENSG00000231050	AL109917.1	Gene Expression	AL109917.1	511	TRUE
ENSG00000169885	CALML6	Gene Expression	CALML6	139	TRUE
ENSG00000178821	TMEM52	Gene Expression	TMEM52	5356	TRUE
ENSG00000142609	CFAP74	Gene Expression	CFAP74	222	TRUE
ENSG00000233542	AL391845.2	Gene Expression	AL391845.2	132	TRUE
ENSG00000187730	GABRD	Gene Expression	GABRD	670	TRUE
ENSG00000226969	AL391845.1	Gene Expression	AL391845.1	96	TRUE
ENSG00000067606	PRKCZ	Gene Expression	PRKCZ	24264	TRUE
ENSG00000271806	AL590822.2	Gene Expression	AL590822.2	974	TRUE
ENSG00000182873	PRKCZ-AS1	Gene Expression	PRKCZ-AS1	268	TRUE
ENSG00000162585	FAAP20	Gene Expression	FAAP20	44932	TRUE
