gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	positive_direction	passes_primary_filter	rank
MT-CO2	0	6.91683532927661	1.00846448656499	1758202052	0.862079590354535	0	0	99.9924823334837	99.9947822230339	TRUE	TRUE	1
MT-ND4	0	6.13904026715332	0.897784073112587	1740252093.5	0.8532783875275	0	0	99.9924823334837	99.9602144506333	TRUE	TRUE	2
MT-CYB	0	6.1298197785778	0.922385513521486	1734410585.5	0.850414186101979	0	0	99.9624116674184	99.9112977915759	TRUE	TRUE	3
MT-CO3	0	7.18271517857016	1.00504607969611	1733431542.5	0.849934142874058	0	0	100	99.9967388893962	TRUE	TRUE	4
MT-ATP6	0	6.4863339078272	0.872286055286594	1699701761.5	0.83339579578582	0	0	99.9924823334837	99.9484744524595	TRUE	TRUE	5
MT-CO1	0	6.80922522098398	0.891871121141433	1687742713.5	0.827532049244777	0	0	99.9924823334837	99.9915211124301	TRUE	TRUE	6
MT-ND1	0	5.32555082688822	0.909572887300923	1668629809.5	0.818160632329376	0	0	99.9097880018043	99.5956222851254	TRUE	TRUE	7
MT-ND2	0	4.82049176165037	0.852529816735087	1587723332	0.778490662145409	0	0	99.9097880018043	99.2590756708105	TRUE	TRUE	8
MT-ND5	0	3.99836903448727	0.797820923971468	1562867178	0.766303221553053	0	0	99.639152007217	96.7414982846558	TRUE	TRUE	9
MT-ND3	0	5.25754859775415	0.841847300663885	1544981951.5	0.757533758045159	0	0	99.9548940009021	99.7234578207954	TRUE	TRUE	10
TXN	1	2.30967410458731	1.12723952377443	1264336917	0.7727758855695	0	0	91.7732391677801	61.0467126919678	TRUE	TRUE	1
KRT18	1	2.29727340946626	1.2885304028114	1256205457	0.767805852568025	0	0	90.274861614812	46.2701574167766	TRUE	TRUE	2
AGR2	1	1.83417053012889	1.13620392542974	1250428865	0.764275139402609	0	0	83.288795571674	35.1792553123359	TRUE	TRUE	3
MGST1	1	1.37159899304005	0.875480270174012	1238214155.5	0.756809381799617	0	0	78.5836991792327	32.2345753333419	TRUE	TRUE	4
HSPD1	1	1.44394975579896	0.840257351121242	1235785180	0.75532476668809	0	0	81.5804542851689	42.6293340847668	TRUE	TRUE	5
H2AFZ	1	1.65591206980186	0.86033113099465	1221094569	0.746345712313866	0	0	86.2282878411911	50.6846156801968	TRUE	TRUE	6
SLC12A2	1	1.24662395276762	0.802914472560405	1216299314.5	0.743414802844291	0	0	74.7375453330789	29.2527506308199	TRUE	TRUE	7
PCNA	1	0.997542399759283	0.727282545774639	1213301936	0.741582773902021	0	0	66.2721893491124	22.4398959947741	TRUE	TRUE	8
MLEC	1	1.21669480045597	0.7054892878691	1199173053	0.732947053529052	0	0	77.0089711777057	38.0189053834232	TRUE	TRUE	9
KRT8	1	2.24294375341392	1.0752868252606	1184622659	0.724053701244904	0	0	91.2960488642871	49.2635097921176	TRUE	TRUE	10
TRAC	2	2.34099313402721	2.01843001584814	1372020145	0.890519039891155	0	0	88.1131691430898	15.4192017755329	TRUE	TRUE	1
B2M	2	5.06665104556899	1.40590770583337	1338714635.5	0.868901871622079	0	0	99.9898229187869	97.4074924425057	TRUE	TRUE	2
CD3D	2	2.05870450343239	1.77200152874498	1333464111.5	0.865493983182216	0	0	84.4799511500102	12.7852396076481	TRUE	TRUE	3
