cluster	assigned_broad_compartment	assigned_signature_score	second_broad_compartment	second_signature_score	signature_score_margin	cells	samples	subjects	maximum_sample	maximum_sample_cells	maximum_subject	maximum_subject_cells	maximum_sample_fraction	maximum_subject_fraction	top10_markers	top50_markers	positive_marker_evidence	negative_or_conflicting_marker_evidence	assigned_marker_positive_fraction	assigned_marker_coexpression_fraction_ge_2	second_marker_positive_fraction	second_marker_coexpression_fraction_ge_2	annotation_method
0	Epithelial	0.648467764412792	Fibroblast	-0.227024817847161	0.875492582259953	13302	40	19	GSM6213989	2100	P31	2484	0.15787099684258	0.186738836265223	MT-CO2;MT-ND4;MT-CYB;MT-CO3;MT-ATP6;MT-CO1;MT-ND1;MT-ND2;MT-ND5;MT-ND3	MT-CO2;MT-ND4;MT-CYB;MT-CO3;MT-ATP6;MT-CO1;MT-ND1;MT-ND2;MT-ND5;MT-ND3;ELF3;SLC12A2;KLF5;MT-ND4L;PIGR;RNF43;KRT18;TSPAN8;EPCAM;SOX9;FAM84A;KRT8;ATP1B1;CD24;MLXIP;DSP;LLGL2;CDCA7;LGALS4;AGR2;MUC4;MGST1;ERBB3;ABCC3;TAF1D;ZKSCAN1;FRYL;PAWR;VEGFA;ATP2C2;OLFM4;TMEM63A;ATP10B;CDH17;FERMT1;MLEC;RRBP1;CCDC14;RGMB;SLC25A37	EPCAM;CD24		0.897534205382649	0.620132310930687	0.0496917756728312	0.00255600661554653	highest cluster-standardized source-paper broad marker signature with Top10/Top50, co-expression, conflicting evidence, sample and subject support
1	Epithelial	0.937608754029861	Fibroblast	-0.228408018399519	1.16601677242938	10478	40	19	GSM6213989	1884	P31	2399	0.179805306356175	0.228955907615957	TXN;KRT18;AGR2;MGST1;HSPD1;H2AFZ;SLC12A2;PCNA;MLEC;KRT8	TXN;KRT18;AGR2;MGST1;HSPD1;H2AFZ;SLC12A2;PCNA;MLEC;KRT8;STMN1;HMGB1;CDCA7;TUBA1B;EPCAM;HMGB2;RANBP1;PCLAF;HSPE1;RPL22L1;HNRNPAB;NCL;ATP1B1;MKI67;C1QBP;LCN2;GPX2;FABP5;SNRPF;PAICS;CENPF;PRDX3;TUBB;PLA2G2A;MT-CO2;DSG2;SPINT2;PA2G4;CD24;PPP1R1B;GAPDH;KLF5;RAN;NME1;ATP5F1B;REG1A;MCM3;TUBB4B;ATP5MC1;EIF5A	EPCAM;CD24		0.944359610612712	0.746707386905898	0.0571673983584654	0.00314945600305402	highest cluster-standardized source-paper broad marker signature with Top10/Top50, co-expression, conflicting evidence, sample and subject support
2	T/I/NK	2.73319878754072	Fibroblast	-0.157047488507789	2.89024627604851	9826	40	19	GSM6213961	1234	P15	1856	0.125585182169754	0.188886627315286	TRAC;B2M;CD3D;IL32;CD2;PTPRC;SRGN;S100A4;TRBC2;BTG1	TRAC;B2M;CD3D;IL32;CD2;PTPRC;SRGN;S100A4;TRBC2;BTG1;FYB1;TMSB4X;RPLP1;HLA-A;CD3E;RPL10;RPS27A;RPL28;RPS15A;RPS27;HLA-C;EIF1;ARHGDIB;RPL30;IL7R;LTB;CD3G;EVL;RPS3;RPS14;RPL11;RPS4X;RPL13;CORO1A;RAC2;GMFG;SPOCK2;RPS3A;KLRB1;CD7;TSC22D3;ACTB;RPL19;RPL41;RPL21;TRBC1;TPT1;RPS12;EEF1A1;RPS19	TRAC;CD3D;CD3E;TRBC1		0.986668023610828	0.920109912477102	0.127824140036638	0.00712395684917566	highest cluster-standardized source-paper broad marker signature with Top10/Top50, co-expression, conflicting evidence, sample and subject support
3	B	1.83024398036502	Fibroblast	-0.196167045973105	2.02641102633813	9347	40	19	GSM6213962	1008	P32	1550	0.1078420883706	0.165828608109554	CD37;HLA-DRA;CD74;MS4A1;CD79A;HLA-DPB1;HLA-DPA1;HLA-DQB1;HLA-DRB1;RPS23	CD37;HLA-DRA;CD74;MS4A1;CD79A;HLA-DPB1;HLA-DPA1;HLA-DQB1;HLA-DRB1;RPS23;RPS8;RPL11;HLA-DQA1;RPL18A;RPS3A;RPL30;RPL19;RPL10;CD79B;RPS27A;RPL9;CD52;RPL13;RPS5;RPS27;RPL18;RPL21;FAU;RPL32;RPSA;BANK1;RPL23A;RPS11;RPL13A;RPS14;VPREB3;RPS2;RPS13;RPL10A;LTB;RPL28;EEF1A1;RPL3;RPS16;RPL15;RPS12;RPL5;RPS3;RPS7;RPS25	MS4A1;CD79A;CD79B		0.99689740023537	0.945437038622018	0.0745693805499091	0.00449342034877501	highest cluster-standardized source-paper broad marker signature with Top10/Top50, co-expression, conflicting evidence, sample and subject support
4	T/I/NK	2.6311976640859	Fibroblast	-0.168422287137754	2.79961995122366	8675	40	19	GSM6213961	833	P15	1111	0.0960230547550432	0.12806916426513	CCL5;NKG7;IL32;GZMA;CD3D;B2M;TMSB4X;HLA-C;CD7;EVL	CCL5;NKG7;IL32;GZMA;CD3D;B2M;TMSB4X;HLA-C;CD7;EVL;SH3BGRL3;HCST;TRAC;PTPRC;SRGN;CORO1A;CST7;CD2;HLA-A;TRBC2;CD52;ACTB;CD3E;HLA-B;CD8A;S100A4;CCL4;CD3G;KLRD1;RARRES3;PFN1;ALOX5AP;RAC2;ARHGDIB;MYL12A;CD69;EIF1;COTL1;HLA-E;RPS27;CTSW;RPS3;CD48;RPL28;BTG1;RPS15A;LCK;RPS27A;ID2;HOPX	CD3D;TRAC;CD3E		0.971066282420749	0.895792507204611	0.116080691642651	0.00610951008645533	highest cluster-standardized source-paper broad marker signature with Top10/Top50, co-expression, conflicting evidence, sample and subject support
5	Epithelial	1.53583378586272	Fibroblast	-0.218883402375847	1.75471718823856	8645	40	19	GSM6213960	636	P25	804	0.0735685367264315	0.0930017351069983	LGALS4;PIGR;TSPAN8;C15orf48;ADH1C;FAM3D;EPCAM;AGR2;GPX2;PHGR1	LGALS4;PIGR;TSPAN8;C15orf48;ADH1C;FAM3D;EPCAM;AGR2;GPX2;PHGR1;MGST1;CD24;TXN;LGALS3;CLDN3;PPP1R1B;COX5B;MT1E;CHCHD10;STARD10;KLF5;SELENBP1;ELF3;SPINK1;LCN2;ATP5MC1;LEFTY1;COX5A;MT1G;PRDX5;CD9;CDC42EP5;ITM2C;ATP5MC3;COX4I1;SMIM22;AGR3;KRT8;S100A6;FXYD3;CLDN7;KRT18;MLEC;S100A10;FAM162A;UQCRH;C10orf99;SRI;HMGCS2;KRT19	EPCAM;CD24		0.980335454019665	0.868941584731059	0.0822440717177559	0.00404858299595142	highest cluster-standardized source-paper broad marker signature with Top10/Top50, co-expression, conflicting evidence, sample and subject support
6	Epithelial	1.41374494446259	Myeloid	-0.0542173257846079	1.4679622702472	8580	39	19	GSM6213971	1672	P31	1880	0.194871794871795	0.219114219114219	KRT18;KRT8;S100A6;KRT19;ANXA2;TXN;PERP;GPRC5A;S100A14;MUC13	KRT18;KRT8;S100A6;KRT19;ANXA2;TXN;PERP;GPRC5A;S100A14;MUC13;ATP1B1;EPCAM;S100A10;LGALS3;AGR2;ASS1;CLDN4;TSPAN8;ANXA4;LCN2;CD55;CEACAM5;SPINT2;S100A11;PHLDA2;DSG2;CYSTM1;CD24;CSTB;MISP;ELF3;CEACAM6;CD9;JUP;MGST1;KLF5;GAPDH;DSP;MAL2;TSPAN1;LMO7;MYH14;TFF3;SERPINB6;FAT1;EZR;ACTN4;S100P;S100A16;PPA1	EPCAM;CD24		0.986013986013986	0.855244755244755	0.234149184149184	0.00664335664335664	highest cluster-standardized source-paper broad marker signature with Top10/Top50, co-expression, conflicting evidence, sample and subject support
7	T/I/NK	1.82824700682012	Fibroblast	-0.146312987699627	1.97455999451975	7618	40	19	GSM6213961	2181	P15	2519	0.286295615647152	0.330664216329745	CCL5;IL32;NKG7;B2M;GZMA;TMSB4X;PTPRC;HCST;EVL;CD3D	CCL5;IL32;NKG7;B2M;GZMA;TMSB4X;PTPRC;HCST;EVL;CD3D;CST7;HLA-C;GZMK;TRAC;SH3BGRL3;TRBC2;HLA-A;RPS15A;RPS27;CCL4;RPL28;BTG1;MALAT1;CD52;RPS27A;RPS29;CD3E;CD2;RPL30;RPS19;ACAP1;CORO1A;FYB1;SRGN;CD7;S100A4;RPL10;RPS3;RPS12;CD8A;RPL41;RPL13;CTSW;RPL23A;RARRES3;RPLP1;CD3G;RPS14;KLRD1;RPL39	CD3D;TRAC;CD3E		0.914807035967445	0.721186663166185	0.117878708322394	0.00918876345497506	highest cluster-standardized source-paper broad marker signature with Top10/Top50, co-expression, conflicting evidence, sample and subject support
8	Endothelial	3.28213489846794	Myeloid	-0.169304617124288	3.45143951559223	7557	40	19	GSM6213967	1748	P19	1901	0.23130872039169	0.251554849808125	ACKR1;SPARCL1;VWF;PECAM1;IGFBP7;CLU;IGFBP4;VIM;IFITM3;ITM2B	ACKR1;SPARCL1;VWF;PECAM1;IGFBP7;CLU;IGFBP4;VIM;IFITM3;ITM2B;A2M;CAV1;GNG11;EGFL7;TGFBR2;NPDC1;TCF4;PLVAP;TSPAN7;ENG;JAM2;CRIP2;RAMP2;CAVIN1;FKBP1A;TM4SF1;RNASE1;CD93;CD59;EPAS1;ECSCR;CAVIN2;NNMT;CLEC14A;HSPG2;RAMP3;CLDN5;YBX3;NPC2;IFI27;CNN3;LIFR;PALMD;HLA-E;SOX18;SPARC;ADGRL4;NFIB;EMCN;IFITM2	VWF;PECAM1		0.990207754399894	0.903136165144899	0.162763001190949	0.00979224560010586	highest cluster-standardized source-paper broad marker signature with Top10/Top50, co-expression, conflicting evidence, sample and subject support
9	Myeloid	4.33273298945818	Fibroblast	-0.151328407912729	4.48406139737091	6549	40	19	GSM6213961	2778	P15	2888	0.42418689876317	0.440983356237594	HLA-DRA;CD74;HLA-DPA1;FTL;TYROBP;HLA-DRB1;HLA-DPB1;LYZ;HLA-DQA1;FCER1G	HLA-DRA;CD74;HLA-DPA1;FTL;TYROBP;HLA-DRB1;HLA-DPB1;LYZ;HLA-DQA1;FCER1G;HLA-DQB1;AIF1;TYMP;CST3;CTSB;NPC2;C1QA;FTH1;PSAP;MS4A6A;C1QB;CTSS;SAT1;C1QC;HLA-DMA;CD14;SRGN;CD68;HLA-DMB;S100A11;LST1;ITGB2;GRN;CYBB;CTSC;CYBA;CTSZ;FCGR2A;LGALS1;ZEB2;FCGR3A;SPI1;APOE;MS4A7;MAFB;TMSB4X;CTSH;MNDA;CAPG;ITM2B	CD14;CD68		0.821194075431364	0.61978928080623	0.187509543441747	0.0250419911436861	highest cluster-standardized source-paper broad marker signature with Top10/Top50, co-expression, conflicting evidence, sample and subject support
