cluster	compartment	signature_score	mean_normalized_expression	mean_detection_fraction	marker_genes	signature_rank
0	Epithelial	0.648467764412792	1.3966730546318	0.758833258156668	EPCAM;CD24	1
0	Fibroblast	-0.227024817847161	0.0141553918735506	0.0131183280709668	COL1A2;COL3A1;MYH11;ACTA2	2
0	Myeloid	-0.307104759538137	0.0281151307067505	0.0257480078183732	CD14;CD68	3
0	B	-0.380623054880203	0.00924369142372357	0.00691625319500827	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
0	Endothelial	-0.419296702711633	0.0146136032003745	0.00864531649376034	VWF;PECAM1	5
0	T/I/NK	-0.480866796983375	0.0145369593865439	0.0108254397834912	CD3D;CD3E;TRAC;TRBC1	6
1	Epithelial	0.937608754029861	1.64951422127623	0.845533498759305	EPCAM;CD24	1
1	Fibroblast	-0.228408018399519	0.0133511645248302	0.0151269326207291	COL1A2;COL3A1;MYH11;ACTA2	2
1	Myeloid	-0.263212109351149	0.0415169217436262	0.0527772475663295	CD14;CD68	3
1	B	-0.379672825795627	0.00917584043526989	0.00878030158427181	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
1	Endothelial	-0.428495605216576	0.00888087358691094	0.00796907806833365	VWF;PECAM1	5
1	T/I/NK	-0.472755316717188	0.0187639612740393	0.0174174460774957	CD3D;CD3E;TRAC;TRBC1	6
2	T/I/NK	2.73319878754072	1.79003262667783	0.728729900264604	CD3D;CD3E;TRAC;TRBC1	1
2	Fibroblast	-0.157047488507789	0.0562549965442908	0.0338642377366171	COL1A2;COL3A1;MYH11;ACTA2	2
2	B	-0.247272286669088	0.0804681982049467	0.0488296356604926	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	3
2	Myeloid	-0.282320870652994	0.0397293570199108	0.0238143700386729	CD14;CD68	4
2	Endothelial	-0.413644405256233	0.0182385148073532	0.0116018725829432	VWF;PECAM1	5
2	Epithelial	-0.852429970668108	0.114987045058587	0.0712904538978221	EPCAM;CD24	6
3	B	1.83024398036502	1.3331782918525	0.555215577190542	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	1
3	Fibroblast	-0.196167045973105	0.0310591987037483	0.019765700224671	COL1A2;COL3A1;MYH11;ACTA2	2
3	Myeloid	-0.264865554259841	0.0406791177840216	0.0271744944902108	CD14;CD68	3
3	T/I/NK	-0.360851719195496	0.0947444137244238	0.0572911094468814	CD3D;CD3E;TRAC;TRBC1	4
3	Endothelial	-0.399303060434391	0.0273424003407558	0.017652722798759	VWF;PECAM1	5
3	Epithelial	-0.458592671733259	0.420471333039161	0.23943511287044	EPCAM;CD24	6
4	T/I/NK	2.6311976640859	1.7261218144728	0.716167146974063	CD3D;CD3E;TRAC;TRBC1	1
4	Fibroblast	-0.168422287137754	0.0498241406366747	0.0307492795389049	COL1A2;COL3A1;MYH11;ACTA2	2
4	Myeloid	-0.308807586262727	0.0295864432699519	0.0172334293948127	CD14;CD68	3
4	B	-0.311569667212845	0.0487643671389185	0.0300864553314121	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
4	Endothelial	-0.325014166670416	0.0742934057744242	0.0463400576368876	VWF;PECAM1	5
4	Epithelial	-0.847943438505769	0.117952854984311	0.073371757925072	EPCAM;CD24	6
5	Epithelial	1.53583378586272	2.15168621119847	0.924638519375361	EPCAM;CD24	1
5	Fibroblast	-0.218883402375847	0.0193622444764874	0.021631000578369	COL1A2;COL3A1;MYH11;ACTA2	2
5	Myeloid	-0.231122308672645	0.0570596969199305	0.0699248120300752	CD14;CD68	3
5	B	-0.379350954389114	0.0096435447826392	0.0101561596298438	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
5	Endothelial	-0.430041679538855	0.0079582994589373	0.00850202429149798	VWF;PECAM1	5
5	T/I/NK	-0.48419203196868	0.012603252031719	0.0128976286871024	CD3D;CD3E;TRAC;TRBC1	6
6	Epithelial	1.41374494446259	2.05194097056308	0.920629370629371	EPCAM;CD24	1
6	Myeloid	-0.0542173257846079	0.104528188134689	0.12039627039627	CD14;CD68	2
6	Fibroblast	-0.224240804182502	0.0158612138192508	0.0188811188811189	COL1A2;COL3A1;MYH11;ACTA2	3
6	B	-0.380747447723961	0.00859931703534917	0.00883449883449883	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
6	Endothelial	-0.430847071226768	0.00740530653547275	0.00862470862470862	VWF;PECAM1	5
6	T/I/NK	-0.460809659555103	0.0261366372471196	0.0228146853146853	CD3D;CD3E;TRAC;TRBC1	6
7	T/I/NK	1.82824700682012	1.28155194571195	0.542202677868207	CD3D;CD3E;TRAC;TRBC1	1
7	Fibroblast	-0.146312987699627	0.0619407357935609	0.0319637700183775	COL1A2;COL3A1;MYH11;ACTA2	2
7	Myeloid	-0.177753091029645	0.0786354506611834	0.0399054870044631	CD14;CD68	3
7	B	-0.317135786030008	0.0462802134719989	0.0241270674717774	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
7	Endothelial	-0.356923906342478	0.0541178455134541	0.0282882646363875	VWF;PECAM1	5
7	Epithelial	-0.788543353463459	0.168768869250213	0.0899186138093988	EPCAM;CD24	6
8	Endothelial	3.28213489846794	2.31220870204439	0.946671959772397	VWF;PECAM1	1
8	Myeloid	-0.169304617124288	0.0828838151136407	0.0862776233955273	CD14;CD68	2
8	Fibroblast	-0.170660875034307	0.0450765276261743	0.0441643509329099	COL1A2;COL3A1;MYH11;ACTA2	3
8	B	-0.329463640996557	0.0340025093833573	0.0327378589387323	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
8	T/I/NK	-0.468908165715905	0.0212887382831575	0.0189228529839884	CD3D;CD3E;TRAC;TRBC1	5
8	Epithelial	-0.872227577583527	0.0982961429322054	0.0899827974063782	EPCAM;CD24	6
9	Myeloid	4.33273298945818	1.70056318920364	0.720491678118797	CD14;CD68	1
9	Fibroblast	-0.151328407912729	0.0589461333418781	0.0542067491220034	COL1A2;COL3A1;MYH11;ACTA2	2
9	Endothelial	-0.205431347013369	0.149844940746697	0.148114215910826	VWF;PECAM1	3
9	T/I/NK	-0.315322050180311	0.105803925631234	0.0766529241105512	CD3D;CD3E;TRAC;TRBC1	4
9	B	-0.315994354649887	0.0442360920576937	0.0310581768208887	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	5
9	Epithelial	-0.819940121479469	0.141408006373671	0.114597648495954	EPCAM;CD24	6
10	Epithelial	1.01233824884202	1.71656917025872	0.905782096208984	EPCAM;CD24	1
10	Fibroblast	-0.22726165989541	0.0137485477505668	0.0208665179993629	COL1A2;COL3A1;MYH11;ACTA2	2
10	Myeloid	-0.245178124021308	0.0466940865964761	0.0735106721885951	CD14;CD68	3
10	B	-0.373803301680349	0.0121307771980045	0.0125836253583944	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
10	Endothelial	-0.429214861532142	0.00846422683252941	0.0112296909843899	VWF;PECAM1	5
10	T/I/NK	-0.459128380846126	0.0269917950508705	0.0246495699267283	CD3D;CD3E;TRAC;TRBC1	6
11	B	1.59351975503619	0.923149073570309	0.526593406593407	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	1
11	Fibroblast	-0.212372261586918	0.0226398492325826	0.0261904761904762	COL1A2;COL3A1;MYH11;ACTA2	2
11	Endothelial	-0.29476474701873	0.0935003946120178	0.104487179487179	VWF;PECAM1	3
11	Myeloid	-0.312538595429908	0.0276832516659654	0.033974358974359	CD14;CD68	4
11	T/I/NK	-0.421661253769964	0.0476725878227244	0.0431318681318681	CD3D;CD3E;TRAC;TRBC1	5
11	Epithelial	-0.827093957755779	0.136683213610521	0.132875457875458	EPCAM;CD24	6
12	Epithelial	1.3194012545519	1.99647063695877	0.874855935459086	EPCAM;CD24	1
12	Myeloid	-0.11426010333102	0.0906596503040775	0.108816749903957	CD14;CD68	2
12	Fibroblast	-0.225813233088004	0.0149886544624189	0.017047637341529	COL1A2;COL3A1;MYH11;ACTA2	3
12	B	-0.372201551728129	0.0136653025251841	0.014329619669612	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
12	Endothelial	-0.428983593321824	0.00856895084358134	0.00989243180945063	VWF;PECAM1	5
12	T/I/NK	-0.475510212141399	0.017283789467783	0.0177199385324625	CD3D;CD3E;TRAC;TRBC1	6
13	B	1.23016954347406	0.996033537823902	0.421714728082059	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	1
13	Fibroblast	-0.178325227836691	0.0409686294715011	0.0219179407780143	COL1A2;COL3A1;MYH11;ACTA2	2
13	Myeloid	-0.300672077891007	0.0301508005524701	0.0180956067350494	CD14;CD68	3
13	T/I/NK	-0.382038798640402	0.0785210365643717	0.0419489065221599	CD3D;CD3E;TRAC;TRBC1	4
13	Endothelial	-0.405086729783044	0.0236318428858643	0.0127733694600348	VWF;PECAM1	5
13	Epithelial	-0.443826775850133	0.439732787882162	0.226630539965164	EPCAM;CD24	6
14	Fibroblast	2.94209448900745	1.90203779664284	0.562237131984779	COL1A2;COL3A1;MYH11;ACTA2	1
14	Myeloid	-0.0496006014319163	0.117817876520319	0.107250150210294	CD14;CD68	2
14	T/I/NK	-0.348898568435581	0.0955936158001283	0.0672441417985179	CD3D;CD3E;TRAC;TRBC1	3
14	B	-0.35129426226085	0.025693061266983	0.0192269176847587	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
14	Endothelial	-0.390308093502661	0.032717584006084	0.0250350490686962	VWF;PECAM1	5
14	Epithelial	-0.749093075560678	0.197043464167273	0.13959543360705	EPCAM;CD24	6
15	T/I/NK	1.75864694693612	1.24805491095503	0.539666666666667	CD3D;CD3E;TRAC;TRBC1	1
15	Fibroblast	-0.147509319903113	0.0600850509043595	0.0311111111111111	COL1A2;COL3A1;MYH11;ACTA2	2
15	Myeloid	-0.24750928898679	0.0533223625568039	0.0274444444444444	CD14;CD68	3
15	B	-0.304467431140013	0.0519440608149791	0.0276888888888889	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
15	Endothelial	-0.383630655259163	0.0370700700915993	0.0203333333333333	VWF;PECAM1	5
15	Epithelial	-0.780867030349647	0.175146684178939	0.0955555555555556	EPCAM;CD24	6
16	Epithelial	0.945107191615305	1.70279330859811	0.773836941501612	EPCAM;CD24	1
16	Fibroblast	-0.224884100270357	0.0156159793068053	0.0153730999539383	COL1A2;COL3A1;MYH11;ACTA2	2
16	Myeloid	-0.278186718461167	0.0370094900384921	0.0447950253339475	CD14;CD68	3
16	B	-0.376547660118204	0.0106760188099782	0.00907415937356057	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
16	Endothelial	-0.428458358415739	0.008926909978445	0.00829111008751727	VWF;PECAM1	5
16	T/I/NK	-0.482108323655391	0.0137681559486868	0.0126093965914325	CD3D;CD3E;TRAC;TRBC1	6
17	Epithelial	0.749673909007253	1.51486988115616	0.801129677571193	EPCAM;CD24	1
17	Fibroblast	-0.229502298665992	0.0124989516932129	0.0162391150859026	COL1A2;COL3A1;MYH11;ACTA2	2
17	Myeloid	-0.30738001859142	0.0287512502628132	0.0393033654977642	CD14;CD68	3
17	B	-0.380828560118553	0.00860838843519694	0.00922570016474464	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
17	Endothelial	-0.429602568917515	0.00824874494659112	0.0103553777359379	VWF;PECAM1	5
17	T/I/NK	-0.481712985112723	0.0138297698421619	0.0124735231819252	CD3D;CD3E;TRAC;TRBC1	6
18	Endothelial	2.74594390265291	1.98349164300323	0.865352843993392	VWF;PECAM1	1
18	Fibroblast	-0.189267443660899	0.0350517717507084	0.0326882227991503	COL1A2;COL3A1;MYH11;ACTA2	2
