integration_feature	anchor_feature	integrated_correction_feature
JCHAIN	TRUE	TRUE
IGKC	TRUE	TRUE
IGHA1	TRUE	TRUE
ACTA2	TRUE	TRUE
IGLC2	TRUE	TRUE
COL1A2	TRUE	TRUE
TAGLN	TRUE	TRUE
LUM	TRUE	TRUE
COL3A1	TRUE	TRUE
IGHG1	TRUE	TRUE
DCN	TRUE	TRUE
COL1A1	TRUE	TRUE
IGHG2	TRUE	TRUE
ACKR1	TRUE	TRUE
LYZ	TRUE	TRUE
IGHA2	TRUE	TRUE
CCL4	TRUE	TRUE
IGHG4	TRUE	TRUE
MGP	TRUE	TRUE
GNLY	TRUE	TRUE
IGFBP5	TRUE	TRUE
MYL9	TRUE	TRUE
IGLC3	TRUE	TRUE
SFRP2	TRUE	TRUE
TPM2	TRUE	TRUE
CCL21	TRUE	TRUE
S100A9	TRUE	TRUE
TFF3	TRUE	TRUE
APOE	TRUE	TRUE
CA1	TRUE	TRUE
OLFM4	TRUE	TRUE
CCL2	TRUE	TRUE
C11orf96	TRUE	TRUE
CLCA4	TRUE	TRUE
MUC2	TRUE	TRUE
S100A8	TRUE	TRUE
CCL3	TRUE	TRUE
MZB1	TRUE	TRUE
AQP8	TRUE	TRUE
CCL4L2	TRUE	TRUE
CTGF	TRUE	TRUE
MYH11	TRUE	TRUE
SLC26A3	TRUE	TRUE
FN1	TRUE	TRUE
GUCA2B	TRUE	TRUE
CCL20	TRUE	TRUE
RERGL	TRUE	TRUE
C1QA	TRUE	TRUE
GUCA2A	TRUE	TRUE
IGFBP7	TRUE	TRUE
FCGBP	TRUE	TRUE
OTOP2	TRUE	TRUE
IGFBP3	TRUE	TRUE
CA7	TRUE	TRUE
CXCL14	TRUE	TRUE
PTGDS	TRUE	TRUE
CLCA1	TRUE	TRUE
C1QB	TRUE	TRUE
SPARCL1	TRUE	TRUE
COL6A3	TRUE	TRUE
FBLN1	TRUE	TRUE
CA4	TRUE	TRUE
FABP1	TRUE	TRUE
TYROBP	TRUE	TRUE
SPP1	TRUE	TRUE
CYR61	TRUE	TRUE
REG1A	TRUE	TRUE
IL1B	TRUE	TRUE
CXCL13	TRUE	TRUE
COL6A2	TRUE	TRUE
CLDN5	TRUE	TRUE
RGS5	TRUE	TRUE
SPARC	TRUE	TRUE
CXCL8	TRUE	TRUE
C1S	TRUE	TRUE
CCL3L1	TRUE	TRUE
GZMA	TRUE	TRUE
CARMN	TRUE	TRUE
FCER1G	TRUE	TRUE
CAV1	TRUE	TRUE
TM4SF1	TRUE	TRUE
VWF	TRUE	TRUE
FCN1	TRUE	TRUE
C1QC	TRUE	TRUE
SOX18	TRUE	TRUE
IGHM	TRUE	TRUE
MT1H	TRUE	TRUE
FABP4	TRUE	TRUE
PLVAP	TRUE	TRUE
AIF1	TRUE	TRUE
PI3	TRUE	TRUE
MMP2	TRUE	TRUE
CXCL12	TRUE	TRUE
SELE	TRUE	TRUE
SPINK4	TRUE	TRUE
IGHG3	TRUE	TRUE
POSTN	TRUE	TRUE
REG1B	TRUE	TRUE
MS4A6A	TRUE	TRUE
CXCL3	TRUE	TRUE
RAMP2	TRUE	TRUE
ADAMDEC1	TRUE	TRUE
BEST4	TRUE	TRUE
CLU	TRUE	TRUE
REG3A	TRUE	TRUE
UBE2C	TRUE	TRUE
CEACAM7	TRUE	TRUE
CALD1	TRUE	TRUE
CKB	TRUE	TRUE
C1R	TRUE	TRUE
TIMP1	TRUE	TRUE
PLN	TRUE	TRUE
HLA-DRA	TRUE	TRUE
GZMK	TRUE	TRUE
MMP1	TRUE	TRUE
COL6A1	TRUE	TRUE
SERPINE1	TRUE	TRUE
CENPF	TRUE	TRUE
MFAP5	TRUE	TRUE
C2CD4B	TRUE	TRUE
CFD	TRUE	TRUE
CXCL2	TRUE	TRUE
CXCL1	TRUE	TRUE
MCAM	TRUE	TRUE
CCDC80	TRUE	TRUE
TOP2A	TRUE	TRUE
GPNMB	TRUE	TRUE
DUOX2	TRUE	TRUE
PCOLCE2	TRUE	TRUE
PCSK1N	TRUE	TRUE
C3	TRUE	TRUE
CPE	TRUE	TRUE
REG4	TRUE	TRUE
TRDC	TRUE	TRUE
MT1G	TRUE	TRUE
RGCC	TRUE	TRUE
ADAMTS1	TRUE	TRUE
SERPINF1	TRUE	TRUE
PYY	TRUE	TRUE
CCL5	TRUE	TRUE
HSPA6	TRUE	TRUE
HLA-DQA1	TRUE	TRUE
IGKV1-5	TRUE	TRUE
ESM1	TRUE	TRUE
CXCL9	TRUE	TRUE
KRT20	TRUE	TRUE
CHGA	TRUE	TRUE
VCAN	TRUE	TRUE
G0S2	TRUE	TRUE
IGLL5	TRUE	TRUE
LYPD8	TRUE	TRUE
ITLN1	TRUE	TRUE
LGALS1	TRUE	TRUE
CEACAM6	TRUE	TRUE
GNG11	TRUE	TRUE
DERL3	TRUE	TRUE
COL14A1	TRUE	TRUE
NKG7	TRUE	TRUE
IGKV4-1	TRUE	TRUE
ASPM	TRUE	TRUE
TIMP3	TRUE	TRUE
MMP3	TRUE	TRUE
CLEC10A	TRUE	TRUE
DUOXA2	TRUE	TRUE
THY1	TRUE	TRUE
HLA-DPB1	TRUE	TRUE
SLC26A2	TRUE	TRUE
EGFL7	TRUE	TRUE
A2M	TRUE	TRUE
RAMP3	TRUE	TRUE
GCG	TRUE	TRUE
ACTG2	TRUE	TRUE
NDUFA4L2	TRUE	TRUE
PECAM1	TRUE	TRUE
FRZB	TRUE	TRUE
CXCL10	TRUE	TRUE
MADCAM1	TRUE	TRUE
FCGR3A	TRUE	TRUE
APOC1	TRUE	TRUE
RARRES2	TRUE	TRUE
PCOLCE	TRUE	TRUE
CTSK	TRUE	TRUE
TCL1A	TRUE	TRUE
MS4A12	TRUE	TRUE
DPT	TRUE	TRUE
TFF1	TRUE	TRUE
COL4A1	TRUE	TRUE
ZG16	TRUE	TRUE
CEACAM1	TRUE	TRUE
SCGN	TRUE	TRUE
TRBC1	TRUE	TRUE
MMP12	TRUE	TRUE
CCL18	TRUE	TRUE
MKI67	TRUE	TRUE
SELENOP	TRUE	TRUE
SLC9A3R2	TRUE	TRUE
HLA-DPA1	TRUE	TRUE
IGKV3-20	TRUE	TRUE
AREG	TRUE	TRUE
CD14	TRUE	TRUE
SOCS3	TRUE	TRUE
KLRB1	TRUE	TRUE
CRIP2	TRUE	TRUE
NNMT	TRUE	TRUE
RGS1	TRUE	TRUE
VIM	TRUE	TRUE
STMN1	TRUE	TRUE
HLA-DQB1	TRUE	TRUE
GREM1	TRUE	TRUE
COL15A1	TRUE	TRUE
PHGR1	TRUE	TRUE
COL5A2	TRUE	TRUE
CSF3	TRUE	TRUE
