cluster	compartment	signature_score	mean_normalized_expression	mean_detection_fraction	marker_genes	signature_rank
0	Epithelial	0.588895891699583	1.27573852296172	0.733806078147612	EPCAM;CD24	1
0	Fibroblast	-0.227514806763384	0.0133743129563331	0.0124023154848046	COL1A2;COL3A1;MYH11;ACTA2	2
0	Myeloid	-0.319485889576753	0.0229100381880335	0.0203762662807525	CD14;CD68	3
0	B	-0.325314507549777	0.00652829051647088	0.00596237337192475	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
0	Endothelial	-0.378889180747243	0.00920205097896253	0.00610709117221418	VWF;PECAM1	5
0	T/I/NK	-0.484841405549114	0.00979300452950006	0.00837916063675832	CD3D;CD3E;TRAC;TRBC1	6
1	B	1.9256309134726	1.19024234734052	0.504599882222077	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	1
1	Fibroblast	-0.189358101232914	0.0345033080314566	0.0208565072302558	COL1A2;COL3A1;MYH11;ACTA2	2
1	Myeloid	-0.274430697158721	0.0364496051913702	0.0239154616240267	CD14;CD68	3
1	Endothelial	-0.350245242936304	0.0253282152785034	0.015801871360335	VWF;PECAM1	4
1	T/I/NK	-0.368089846888986	0.0882601287453928	0.0519204344696722	CD3D;CD3E;TRAC;TRBC1	5
1	Epithelial	-0.475373052283887	0.428817064655999	0.241346594255055	EPCAM;CD24	6
2	T/I/NK	2.39609016447993	1.62181154508824	0.679533508541393	CD3D;CD3E;TRAC;TRBC1	1
2	Fibroblast	-0.16673101218798	0.0503262194239867	0.0300180683311432	COL1A2;COL3A1;MYH11;ACTA2	2
2	B	-0.233468631423853	0.0460996826836449	0.027973061760841	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	3
2	Endothelial	-0.276381558670131	0.0669495661207234	0.0408180026281209	VWF;PECAM1	4
2	Myeloid	-0.286855678645321	0.0358449594366498	0.0203268725361367	CD14;CD68	5
2	Epithelial	-0.910700546617666	0.12725422908662	0.0779402102496715	EPCAM;CD24	6
3	Epithelial	1.37461782318609	1.88875378771404	0.889248181083266	EPCAM;CD24	1
3	Fibroblast	-0.222582072301518	0.0164911940534186	0.0169091888978712	COL1A2;COL3A1;MYH11;ACTA2	2
3	Myeloid	-0.258123358792922	0.0439199736491274	0.0479205964250427	CD14;CD68	3
3	B	-0.322785803105981	0.00745370273529814	0.00716787927782269	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
3	Endothelial	-0.382080397001215	0.00746041910373111	0.0067367286445702	VWF;PECAM1	5
3	T/I/NK	-0.483491939112715	0.0103271011060463	0.00985807958322106	CD3D;CD3E;TRAC;TRBC1	6
4	Epithelial	1.21963232367358	1.77446296033847	0.911646373742721	EPCAM;CD24	1
4	Fibroblast	-0.22697486185421	0.0135122685481752	0.0192165166754897	COL1A2;COL3A1;MYH11;ACTA2	2
4	Myeloid	-0.230550478007937	0.0498333159105596	0.0717310746426681	CD14;CD68	3
4	B	-0.316038138664433	0.0103031559395832	0.0110746426680784	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
4	Endothelial	-0.380781927248509	0.00815401643437814	0.0106405505558497	VWF;PECAM1	5
4	T/I/NK	-0.46692305861165	0.0202329389168953	0.0205399682371625	CD3D;CD3E;TRAC;TRBC1	6
5	Epithelial	-0.0468180074223024	0.782354901950544	0.663037590726899	EPCAM;CD24	1
5	Fibroblast	-0.234409723316775	0.00924060429644038	0.0116455421947785	COL1A2;COL3A1;MYH11;ACTA2	2
5	B	-0.326155122761625	0.00605068392480497	0.00736648250460405	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	3
5	Myeloid	-0.365618723259224	0.00741637341836947	0.00996641750622901	CD14;CD68	4
5	Endothelial	-0.388131588920611	0.00411284087548823	0.00536236594085148	VWF;PECAM1	5
5	T/I/NK	-0.491136384280933	0.00619219441909579	0.0073123171920702	CD3D;CD3E;TRAC;TRBC1	6
6	Endothelial	3.71346341766036	2.26858683576154	0.93362038033728	VWF;PECAM1	1
