integration_feature	anchor_feature	integrated_correction_feature
IGKC	TRUE	TRUE
JCHAIN	TRUE	TRUE
ACTA2	TRUE	TRUE
COL1A2	TRUE	TRUE
IGHA1	TRUE	TRUE
IGLC2	TRUE	TRUE
LUM	TRUE	TRUE
TAGLN	TRUE	TRUE
COL3A1	TRUE	TRUE
IGHG1	TRUE	TRUE
COL1A1	TRUE	TRUE
ACKR1	TRUE	TRUE
DCN	TRUE	TRUE
IGHG4	TRUE	TRUE
LYZ	TRUE	TRUE
MGP	TRUE	TRUE
IGHG2	TRUE	TRUE
CCL4	TRUE	TRUE
TPM2	TRUE	TRUE
MYL9	TRUE	TRUE
IGHA2	TRUE	TRUE
IGFBP5	TRUE	TRUE
IGLC3	TRUE	TRUE
SFRP2	TRUE	TRUE
TFF3	TRUE	TRUE
GNLY	TRUE	TRUE
S100A9	TRUE	TRUE
CCL21	TRUE	TRUE
MUC2	TRUE	TRUE
APOE	TRUE	TRUE
C11orf96	TRUE	TRUE
CCL2	TRUE	TRUE
IGFBP7	TRUE	TRUE
MYH11	TRUE	TRUE
S100A8	TRUE	TRUE
CCL3	TRUE	TRUE
OLFM4	TRUE	TRUE
MZB1	TRUE	TRUE
CLCA4	TRUE	TRUE
CCL4L2	TRUE	TRUE
SPARCL1	TRUE	TRUE
FN1	TRUE	TRUE
CTGF	TRUE	TRUE
C1QA	TRUE	TRUE
CCL20	TRUE	TRUE
GUCA2B	TRUE	TRUE
CLDN5	TRUE	TRUE
GUCA2A	TRUE	TRUE
RERGL	TRUE	TRUE
CXCL14	TRUE	TRUE
OTOP2	TRUE	TRUE
CLCA1	TRUE	TRUE
REG1B	TRUE	TRUE
IGFBP3	TRUE	TRUE
C1QB	TRUE	TRUE
COL6A3	TRUE	TRUE
CAV1	TRUE	TRUE
REG1A	TRUE	TRUE
VWF	TRUE	TRUE
CA7	TRUE	TRUE
SPARC	TRUE	TRUE
FCGBP	TRUE	TRUE
GZMA	TRUE	TRUE
FBLN1	TRUE	TRUE
COL6A2	TRUE	TRUE
SPP1	TRUE	TRUE
AQP8	TRUE	TRUE
PTGDS	TRUE	TRUE
IL1B	TRUE	TRUE
CYR61	TRUE	TRUE
TM4SF1	TRUE	TRUE
IGHM	TRUE	TRUE
TYROBP	TRUE	TRUE
PLVAP	TRUE	TRUE
CCL3L1	TRUE	TRUE
C1S	TRUE	TRUE
CA4	TRUE	TRUE
CXCL13	TRUE	TRUE
CA1	TRUE	TRUE
FCN1	TRUE	TRUE
MMP2	TRUE	TRUE
TIMP1	TRUE	TRUE
RGS5	TRUE	TRUE
CARMN	TRUE	TRUE
FCER1G	TRUE	TRUE
SOX18	TRUE	TRUE
CXCL8	TRUE	TRUE
CXCL12	TRUE	TRUE
C1QC	TRUE	TRUE
RAMP2	TRUE	TRUE
AIF1	TRUE	TRUE
REG3A	TRUE	TRUE
IGHG3	TRUE	TRUE
