gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	positive_direction	passes_primary_filter	rank
MT-CO2	0	7.06711955110528	0.937962819281404	2565087393.5	0.809679597656296	0	0	99.9942112879884	99.9956376644055	TRUE	TRUE	1
MT-CO3	0	7.37922564534154	0.966415925308724	2551822903	0.805492610749584	0	0	100	99.9972735402535	TRUE	TRUE	2
MT-CYB	0	6.2722361905966	0.859881011731933	2551184143	0.805290983724669	0	0	99.9768451519537	99.9252950029446	TRUE	TRUE	3
MT-ND4	0	6.2596581824231	0.821702914749374	2537084282.5	0.800840309098307	0	0	99.9942112879884	99.9667371910921	TRUE	TRUE	4
MT-ND1	0	5.49223950604326	0.861794246526856	2482078439	0.783477505262975	0	0	99.9363241678726	99.6613736994787	TRUE	TRUE	5
MT-ATP6	0	6.60547008854146	0.79014686738965	2477464260	0.782021022101543	0	0	99.9942112879884	99.9569219360045	TRUE	TRUE	6
MT-CO1	0	6.97249207706773	0.840565760151523	2468663713.5	0.779243096106767	0	0	100	99.9923659127097	TRUE	TRUE	7
MT-ND2	0	4.92170731793367	0.782766178829725	2373374307	0.749164632304194	0	0	99.9363241678726	99.3800030536349	TRUE	TRUE	8
MT-ND3	0	5.39724673626815	0.793167751343644	2338189600.5	0.738058445795787	0	0	99.9536903039074	99.7698867973913	TRUE	TRUE	9
MT-ND5	0	4.04712417245272	0.694040427048903	2312687715.5	0.73000867874356	0	0	99.7800289435601	97.2702685017558	TRUE	TRUE	10
ELF3	0	1.53548582047796	0.67020413221258	2139035980.5	0.675194847728131	0	0	79.1548480463097	46.936004536829	TRUE	TRUE	11
PIGR	0	2.34675839456973	0.88809699951795	2097479582.5	0.662077412549139	0	0	82.0318379160637	55.3247758850088	TRUE	TRUE	12
MT-ND4L	0	1.7064098784095	0.445799175391781	1982000186	0.625625901566454	0	0	85.3371924746744	69.7144851353415	TRUE	TRUE	13
MUC4	0	0.631808236314671	0.352775218233814	1977076320.5	0.62407166468273	0	0	46.1476121562952	24.3881824328746	TRUE	TRUE	14
KLF5	0	0.842136434493681	0.35845454676029	1974462515	0.623246607029351	0	0	58.2575976845152	36.7177786987153	TRUE	TRUE	15
LGALS4	0	1.44278568610937	0.395738848872721	1938115384	0.611773496803705	0	0	76.671490593343	51.2601696948546	TRUE	TRUE	16
TSPAN8	0	1.1629918170894	0.346348710517173	1927251360	0.608344226283123	0	0	68.8393632416787	44.1430191724649	TRUE	TRUE	17
CD24	0	1.22306828107149	0.366095202928535	1925285064	0.607723557467632	0	0	70.8654124457308	48.2899644469649	TRUE	TRUE	18
