integration_order	geo_accession	cells	sample_tree_dataset_index
1	GSM6213961	11512	-1
2	GSM6213962	11222	-2
3	GSM6213994	9218	-3
4	GSM6213989	8929	-4
5	GSM6213971	7718	-5
6	GSM6213967	7310	-6
7	GSM6213976	6835	-7
8	GSM6213960	6289	-8
9	GSM6213988	6143	-9
10	GSM6213965	6050	-10
11	GSM6213974	5882	-11
12	GSM6213970	5645	-12
13	GSM6213992	5549	-13
14	GSM6213993	5549	-14
15	GSM6213995	5447	-15
16	GSM6213959	5407	-16
17	GSM6213982	5198	-17
18	GSM6213973	4778	-18
19	GSM6213979	4775	-19
20	GSM6213958	4648	-20
21	GSM6213984	4618	-21
22	GSM6213975	4551	-22
23	GSM6213978	4531	-23
24	GSM6213983	4259	-24
25	GSM6213980	4105	-25
26	GSM6213964	4083	-26
27	GSM6213966	3956	-27
28	GSM6213977	3850	-28
29	GSM6213987	3703	-29
30	GSM6213968	3571	-30
31	GSM6213990	3303	-31
32	GSM6213972	3296	-32
33	GSM6213985	3235	-33
34	GSM6213957	3158	-34
35	GSM6213986	2954	-35
36	GSM6213991	2693	-36
37	GSM6213963	2509	-37
38	GSM6213981	2221	-38
39	GSM6213969	1050	-39
40	GSM6213956	913	-40
