geo_accession	genes_total	genes_detected_in_at_least_3_cells_per_sample	interpretation
GSM6213956	33538	17168	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213957	33538	18479	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213958	33538	20130	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213959	33538	20315	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213960	33538	18609	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213961	33538	20826	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213962	33538	20574	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213963	33538	17307	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213964	33538	18508	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213965	33538	19065	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213966	33538	17988	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213967	33538	21188	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213968	33538	18586	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213969	33538	17379	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213970	33538	19644	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213971	33538	18855	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213972	33538	20163	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213973	33538	19026	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213974	33538	20480	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213975	33538	19513	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213976	33538	21038	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213977	33538	19123	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213978	33538	19501	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213979	33538	18390	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213980	33538	21036	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213981	33538	17422	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213982	33538	18645	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213983	33538	20760	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213984	33538	19195	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213985	33538	18106	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213986	33538	18191	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213987	33538	18238	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213988	33538	19853	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213989	33538	19557	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213990	33538	17785	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213991	33538	18962	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213992	33538	18789	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213993	33538	18983	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213994	33538	21392	sensitivity only; formal route applies the >=3-cell rule after merging all samples
GSM6213995	33538	19664	sensitivity only; formal route applies the >=3-cell rule after merging all samples
MERGED_FORMAL_ROUTE	33538	27499	formal route; genes detected in at least three cells across the merged raw object
