cluster	cells	samples	subjects	assigned_broad_compartment	second_broad_compartment	signature_score_margin	assigned_marker_coexpression_fraction_ge_2	second_marker_coexpression_fraction_ge_2	maximum_sample	maximum_sample_fraction	maximum_subject	maximum_subject_fraction	marker_conflict_review	abundance_rank_smallest_first	abundance_review	action	top10_markers	positive_marker_evidence	negative_or_conflicting_marker_evidence
0	17275	40	19	Epithelial	Fibroblast	0.816410698462967	0.576729377713459	0.00289435600578871	GSM6213989	0.114848046309696	P31	0.147438494934877	FALSE	34	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	MT-CO2;MT-CO3;MT-CYB;MT-ND4;MT-ND1;MT-ATP6;MT-CO1;MT-ND2;MT-ND3;MT-ND5	CD24;EPCAM	
1	15283	40	19	B	Fibroblast	2.11498901470552	0.866518353726363	0.00464568474775895	GSM6213962	0.158738467578355	P32	0.212327422626448	FALSE	33	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	CD74;HLA-DRA;MS4A1;CD37;CD79A;HLA-DPB1;HLA-DPA1;HLA-DQB1;RPS23;HLA-DRB1	MS4A1;CD79A;CD79B	
2	12176	40	19	T/I/NK	Fibroblast	2.56282117666791	0.860955978975033	0.00558475689881735	GSM6213961	0.119661629434954	P15	0.159494086727989	FALSE	32	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	CCL5;NKG7;IL32;B2M;GZMA;TMSB4X;CD3D;HLA-C;EVL;PTPRC	CD3D;TRAC;CD3E	
3	11133	40	19	Epithelial	Fibroblast	1.59719989548761	0.810293721368903	0.00251504536063954	GSM6213989	0.104823497709512	P31	0.133746519356867	FALSE	31	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	TXN;AGR2;TSPAN8;LGALS4;EPCAM;SLC12A2;MGST1;GPX2;KRT18;PIGR	EPCAM;CD24	
4	9445	40	19	Epithelial	Fibroblast	1.44660718552779	0.851985177342509	0.00518793012175754	GSM6213989	0.148755955532028	P31	0.189412387506617	FALSE	30	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	H2AFZ;HMGB2;TUBA1B;STMN1;HMGB1;MKI67;TXN;TUBB4B;HSPD1;TOP2A	EPCAM	
5	9231	40	19	Epithelial	Fibroblast	0.187591715894473	0.476871411548045	0.00249160437655725	GSM6213973	0.0599068356624418	P27	0.0996641750622901	TRUE	29	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	MT-CO3;MT-CO2;MT-CYB;MT-ATP6;MT-ND4;MT-ND1;MT-CO1;MT-ND3;MT-ND2;MT-ND5		
6	8361	40	19	Endothelial	Fibroblast	3.88563351758513	0.882310728381773	0.0163855998086353	GSM6213967	0.214328429613683	P19	0.237172587011123	FALSE	28	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	ACKR1;SPARCL1;VWF;IGFBP7;PECAM1;VIM;IFITM3;A2M;ITM2B;IGFBP4	VWF;PECAM1	
7	7963	40	19	Epithelial	Myeloid	1.68779137988159	0.868893633052869	0.0067813638076102	GSM6213971	0.177320105487881	P31	0.190506090669346	FALSE	27	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	KRT8;KRT18;S100A6;KRT19;ANXA2;TXN;PERP;GPRC5A;S100A10;EPCAM	EPCAM;CD24	
8	7688	40	19	Epithelial	Fibroblast	1.74995140069438	0.962278876170656	0.00741415192507804	GSM6213989	0.0611342351716962	P31	0.121748178980229	FALSE	26	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	AGR2;MGST1;TSPAN8;PPP1R1B;EPCAM;GPX2;LGALS4;SLC12A2;MLEC;FAM3D	EPCAM;CD24	
9	7582	40	19	Epithelial	Fibroblast	1.07478117492212	0.767871274070166	0.00316539171722501	GSM6213962	0.072276444209971	P27	0.111184384067528	FALSE	25	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	SLC26A3;MT-CO1;SLC26A2;MT-CO2;CEACAM7;FABP1;MT-ND4;MT-CO3;KRT20;MT-ND5	CD24	
