"relative_path"	"absolute_path"	"size_bytes"	"sha256"	"delivery"	"notes"
"01_build_gse205506_paper_basic_qc.stderr.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\01_build_gse205506_paper_basic_qc.stderr.log"	"423"	"fc6446e27a03fab988aaff5a87c3ed1c8f2cd9c93eb9d1034d4b0bf7bf138f2f"	"github_upload"	"analysis execution log"
"01_build_gse205506_paper_basic_qc.stdout.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\01_build_gse205506_paper_basic_qc.stdout.log"	"7889"	"d41d83da7aff917a627e2ecba9d12af35a25f999e492b2188f890c8f6e8a7f58"	"github_upload"	"analysis execution log"
"02_first_round_rpca_broad_mt_qc.attempt1.stderr.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\02_first_round_rpca_broad_mt_qc.attempt1.stderr.log"	"107946"	"1ea274f0d230e5cc5a4e4b5851260f01904c1516f38f75b0caf6d51e1089e8ca"	"github_upload"	"analysis execution log"
"02_first_round_rpca_broad_mt_qc.attempt1.stdout.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\02_first_round_rpca_broad_mt_qc.attempt1.stdout.log"	"2516"	"6330fc552b663af09bef42656638446798fde86d0ff390d0c8edff8f2713a231"	"github_upload"	"analysis execution log"
"02_first_round_rpca_broad_mt_qc.attempt2.stderr.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\02_first_round_rpca_broad_mt_qc.attempt2.stderr.log"	"571"	"171899331811c54842410c3b27cd979341531e5e3b9f96efc4a7f559b963c6bb"	"github_upload"	"analysis execution log"
"02_first_round_rpca_broad_mt_qc.attempt2.stdout.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\02_first_round_rpca_broad_mt_qc.attempt2.stdout.log"	"2435"	"9a306b3ceb7dbe77889ad24188cea965cab118a5384bfc99ce7da008b05849e6"	"github_upload"	"analysis execution log"
"02_first_round_rpca_broad_mt_qc.attempt5_2000_correction.stderr.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\02_first_round_rpca_broad_mt_qc.attempt5_2000_correction.stderr.log"	"111668"	"641b454a8b1971121608951b6c74e6e6de76583ad652e96931996cd8da50ff80"	"github_upload"	"analysis execution log"
"02_first_round_rpca_broad_mt_qc.attempt5_2000_correction.stdout.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\02_first_round_rpca_broad_mt_qc.attempt5_2000_correction.stdout.log"	"2531"	"c6c6c63c0f6b1a6353c40edfc2d0996277bf447a58f8ad560cd8259cb6fd92c9"	"github_upload"	"analysis execution log"
"02_first_round_rpca_broad_mt_qc.audit_failure_attempt9.stderr.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\02_first_round_rpca_broad_mt_qc.audit_failure_attempt9.stderr.log"	"2550"	"05e13b0c8fa07968680c105c2b8e0fa23ed37266b77c4d1d9582e0379288f2fc"	"github_upload"	"analysis execution log"
"02_first_round_rpca_broad_mt_qc.audit_failure_attempt9.stdout.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\02_first_round_rpca_broad_mt_qc.audit_failure_attempt9.stdout.log"	"290"	"ce96569809a29f54f422d98d7bf78bdc4a4ee3a47573ef717d2087cce28f0d38"	"github_upload"	"analysis execution log"
